Abel Guilhermino da Silva Filho,UFPE
Adenilton da Silva,UFRPE
Adiel Almeida Filho,UFPE
Adriane Serapiao,UNESP
Adriano Oliveira,UFPE
Adriao Duarte Doria Neto,UFRN
Agma Traina,ICMC/USP
Alana Da Gama,UFPE
Alba Melo,UnB
Alberto Ferreira De Souza,UFES
Alceu Souza Britto,PUC/PR
Alejandro Frery,UFAL
Alessandra Alaniz Macedo,FFCLRP/USP
Alexandre Delbem,ICMC/USP
Alexandre Falcao,UNICAMP
Alexandre Plastino,UFF
Alneu de Andrade Lopes,ICMC/USP
Aluizio Araujo,UFPE
Ana Bazzan,UFRGS
Ana Carolina Lorena,UNIFESP
Ana Carolina Salgado,UFPE
Ana Cristina Vendramin,UTFPR
Anarosa Brandao,POLI/USP
Anderson Rocha,UNICAMP
Andre Backes,UFU
Andre Coelho,UNIFOR
Andre Ponce de Leon Carvalho,ICMC/USP
Andre Renato Villela da Silva,UFF
Andre Rossi,UNESP
Anelise Munaretto,UTFPR
Anisio Lacerda,UFMG
Anna Costa,POLI/USP
Anne Canuto,UFRN
Anselmo Cardoso de Paiva,UFMA
Aparecido Marana,UNESP
Arnaldo Araujo,UFMG
Aurora Pozo,UFPR
Baldoino Fonseca,UFAL
Benjamin Bedregal,UFRN
Bruno Castro da Silva,UFRGS
Bruno Souza,UFMA
Caetano Traina,ICMC/USP
Carla Delgado,DCC/UFRJ
Carlos Alexandre Barros de Mello,UFPE
Carlos Ferraz,UFPE
Carlos Henrique Costa Ribeiro,ITA
Carlos Lucena,PUC-Rio
Carlos Silla,PUC-PR
Celia Ralha,UnB
Celia Zorzo Barcelos,UFU
Cesar Tacla,UTFPR
Christiano Braga,UFF
Claudine Badue,UFES
Claudio Campelo,UFCG
Claudio Jung,UFRGS
Claudio Toledo,ICMC/USP
Cleber Zanchettin,UFPE
Clodoaldo Lima,EACH/USP
Clodoveu Davis,UFMG
Creto Vidal,UFC
Cristiano Costa,Unisinos
Daniel Carlos Guimaraes Pedronette,UNESP
Danilo Sanches,UTFPR
Dante Augusto Couto Barone,UFRGS
Dario Aloise,UERN
David Menotti,UFPR
Denis Fernando Wolf,ICMC/USP
Denis Maua,IME/USP
Diego Amancio,ICMC/USP
Diego Dermeval,UFAL
Douglas Rodrigues,UFSCAR
Duncan Ruiz,PUC-RS
Edison Pignaton de Freitas,UFRGS
Eduardo Antonio Guimaraes Tavares,UFPE
Eduardo Candido Xavier,UNICAMP
Eduardo Nakamura,UFAM
Eduardo Ogasawara,CEFET-RJ
Elizabeth Wanner,CEFET-MG
Emerson Paraiso,PUC-PR
Ernesto Birgin,IME/USP
Estevam Hruschka,UFSCAR
Evandro Costa,UFAL
Fabiano Silva,UFPR
Fabio Augusto Faria,UNIFESP
Fabio Cappabianco,UNIFESP
Fabio Cozman,POLI/USP
Fabio Porto,LNCC
Fabio Protti,UFF
Fabricio Breve,UNESP
Fabricio Enembreck,PUC-PR
Fabricio Olivetti de Franca,UFABC
Fatima Nunes,EACH/USP
Felipe Franca,COPPE/UFRJ
Felipe Meneguzzi,PUC-RS
Fernando Osorio,ICMC/USP
Fernando Paulovich,ICMC/USP
Fernando Von Zuben,UNICAMP
Flavio Figueiredo,UFMG
Flavio Keidi Miyazawa,UNICAMP
Francisco Tenorio de Carvalho,UFPE
George Cavalcanti,UFPE
Geraldo Robson Mateus,UFMG
Gilson Giraldi,LNCC
Gina Maira Oliveira,UFU
Gisele Pappa,UFMG
Gracaliz Dimuro,FURG
Guilherme Barreto,UFC
Gustavo Pessin,ITV
Helio Lopes,PUC-Rio
Helio Pedrini,UNICAMP
Heloisa Camargo,UFSCAR
Hyggo Almeida,UFCG
Ig Ibert Bittencourt,UFAL
Ingrid Oliveira,UFRGS
Jacob Scharcanski,UFRGS
Jano Moreira de Souza,COPPE/UFRJ
Jo Ueyama,ICMC/USP
Joao Alcantara,UFC
Joao Bertini,UNICAMP
Joao Fabro,UTFPR
Joao Gluz,Unisinos
Joao Paulo Papa,UNESP
Joao Paulo Pordeus Gomes,UFC
Joao Paulo Silva do Monte Lima,UFRPE
Joaquim Cavalcante,UFC
Joel Rodrigues,Inatel
Jonathan de Andrade Silva,UFMS
Jonice Oliveira,DCC/UFRJ
Jorge Luis Victoria Barbosa,Unisinos
Jose Augusto Baranauskas,FFCLRP/USP
Jose Fernando Rodrigues Junior,ICMC/USP
Jose Palazzo de Oliveira,UFRGS
Julio Dos Reis,UNICAMP
Karin Becker,UFRGS
Karina Valdivia Delgado,IME/USP
Kelvin Lopes Dias,UFPE
Laurence Amaral,UFU
Leliane Nunes de Barros,IME/USP
Leonardo da Rocha,UFSJ
Li Weigang,UnB
