UFPE,31.52
UFRN,26.01
ICMC/USP,23.6
UFRGS,20.7
FURG,13.73
UFV,13.0
UFMG,11.79
PUC-RS,11.38
UNESP,11.11
UFSCar,9.59
IME/USP,9.53
UFRPE,9.39
POLI/USP,8.45
UFPR,7.34
FFCLRP/USP,6.77
UNICAMP,6.5
UFU,5.36
UFBA,5.1
UNIFESP,5.1
UFC,4.77
UTFPR,4.69
Unisinos,4.43
UFF,4.11
COPPE/UFRJ,3.7
PUC-Rio,3.7
PUC-PR,3.38
FGV,3.31
UFPEL,3.19
FEEC/UNICAMP,3.06
UFMA,3.04
UFES,3.04
UFABC,2.97
Inatel,2.78
UnB,2.78
UEL,2.64
UERJ,2.64
UFMS,2.45
UFSC,2.45
UFSJ,2.38
FEI,1.72
LNCC,1.72
UFOP,1.72
CEFET-MG,1.65
UFAL,1.65
UFAM,1.65
UNIOESTE,1.46
EACH/USP,1.39
 PUC-Rio,1.33
DCC/UFRJ,1.32
PUC/PR,1.32
CEFET-RJ,1.06
FT/UNICAMP,1.06
ITV,0.99
UFJF,0.99
UFPA,0.99
UFPB,0.99
UNICENTRO,0.99
FCT/UFPA,0.73
IFCE,0.66
PUC Minas,0.66
UNIRIO,0.66
IFPE,0.4
UFCG,0.4
IMPA,0.33
UDESC,0.33
UEM,0.33
UFG,0.33
UNIFOR,0.33
