Expert Systems with Applications,Elsevier,621,92,other,6
IEEE Trans. Cybernetics,IEEE SMC,347,88,,10
IEEE Trans. Neural Networks Learning Syst.,IEEE CIS,217,87,top,10
IEEE Trans. Fuzzy Systems,IEEE CIS,120,74,top,10
Neurocomputing,Elsevier,1063,71,other,6
Neural Networks,Elsevier,110,56,,10
Engineering Applications of AI,Elsevier,166,50,,10
Neural Computing and Applications,Springer,393,54,other,6
Artificial Intelligence,Springer,89,46,,10
Journal of AI Research,JAIR,67,37,top,10
Applied Soft Computing,Elsevier,605,77,other,6
Knowledge-Based Systems,Elsevier,312,74,,10
Fuzzy Sets and Systems,Elsevier,171,44,,10
Soft Computing,Springer,516,41,other,6
Int. J. of Approximate Reasoning,Elsevier,171,40,,10
