ASPLOS,ASPLOS,1
ISCA,ISCA,1
MICRO,MICRO,1
HPCA,HPCA,1
SC,SC,1
ICS,ICS,3
Euro-Par,Euro-Par,3
HPDC,HPDC,3
PDP,PDP,3
HiPC,HiPC,3
ICPP,ICPP,3
IPDPS,IPDPS,3
PACT,PACT,3
SPAA,SPAA,3
CLUSTER,CLUSTER,3
IEEE Trans. Parallel Distrib. Syst.,IEEE TPDS,4
Future Gener. Comput. Syst.,Future Generation CS,5
J. Supercomput.,Supercomputing,7
J. Parallel Distributed Comput.,J. Parallel Distrib. Comput.,5
Concurr. Comput. Pract. Exp.,Concurrency and Computation,7
Parallel Comput.,Parallel Computing,5
Int. J. Parallel Program.,Int. J. Parallel Programming,5
TACO,ACM TACO,4
Sci. Comput. Program.,Sci. of Comput. Program.,5
ACM Trans. Parallel Comput.,ACM TOPC,4
