Adenauer Yamin,UFPEL
Alba Melo,UnB
Aleteia de Araujo,UnB
Alexandre Plastino,UFF
Alexandre Sena,UERJ
Alexandre Sztajnberg,UERJ
Alexandro Baldassin,UNESP
Alfredo Goldman,IME/USP
Altair Olivo Santin,PUC-PR
Altigran Silva,UFAM
Alvaro Fazenda,UNIFESP
Anderson Rocha,UNICAMP
Andre Luiz Lins de Aquino,UFAL
Andrey Brito,UFCG
Angelo Brayner,UFC
Anselmo Montenegro,UFF
Antonio Alfredo Ferreira Loureiro,UFMG
Antonio Augusto Medeiros Frohlich,UFSC
Antonio Augusto de Aragao Rocha,UFF
Antonio Carlos Schneider Beck,UFRGS
Antonio Tadeu Gomes,LNCC
Augusto Jose Venancio Neto,UFRN
Auri Vincenzi,UFSCar
Aurora Pozo,UFPR
Bruno Guazzelli Batista,UNIFEI
Bruno Schulze,LNCC
Carlos Eduardo Santos Pires,UFCG
Carlos Maziero,UFPR
Celia Ralha,UnB
Celio Vinicius Neves de Albuquerque,UFF
Cesar Augusto Fonticielha De Rose,PUC-RS
Claudia Bauzer Medeiros,UNICAMP
Claudio Amorim,COPPE/UFRJ
Claudio Geyer,UFRGS
Cristian Cechinel,UFPEL
Cristiana Bentes,UERJ
Cristiano Costa,Unisinos
Cristina Boeres,UFF
Daniel Carlos Guimaraes Pedronette,UNESP
Daniel Cordeiro,EACH/USP
Daniel Guidoni,UFSJ
Daniel de Oliveira,UFF
David Martins,UFABC
Debora Muchaluat Saade,UFF
Diego Aranha,UNICAMP
Diego Gimenez Passos,UFF
Divanilson Campelo,UFPE
Djamel Sadok,UFPE
Dorgival Guedes,UFMG
Edmundo Madeira,UNICAMP
Edson Borin,UNICAMP
Edson Caceres,UFMS
Eduardo Antonio Guimaraes Tavares,UFPE
Eduardo Nakamura,UFAM
Eduardo Ogasawara,CEFET-RJ
Edward Moreno,UFS
Elias Duarte,UFPR
Emilio Francesquini,UFABC
Esteban Clua,UFF
Fabio Costa,UFG
Fabio Kon,IME/USP
Fabio Porto,LNCC
Fabio Verdi,UFSCar
Felipe Franca,COPPE/UFRJ
Fernanda Campos,UFJF
Fernando Dotti,PUC-RS
Fernando Gehm Moraes,PUC-RS
Fernando Pereira,UFMG
Fernando Trinta,UFC
Flavia Delicato,DCC/UFRJ
Flavio Figueiredo,UFMG
Francisco Heron de Carvalho,UFC
Francisco Vilar Brasileiro,UFCG
Genaina Rodrigues,UnB
George Teodoro,UFMG
Guido Araujo,UNICAMP
Guilherme Maia,UFMG
Gustavo Pavani,UFABC
Gustavo Pessin,ITV
Henrique Cota de Freitas,PUC Minas
Hermes Senger,UFSCar
Horacio Oliveira,UFAM
Igor Machado Coelho,UERJ
Isabel Rosseti,UFF
Jacir Bordim,UnB
Jairo Panetta,ITA
Javam Machado,UFC
Jo Ueyama,ICMC/USP
Joao Comba,UFRGS
Joao Eduardo Ferreira,IME/USP
Joao Paulo Papa,UNESP
Joao Paulo Pordeus Gomes,UFC
Joel Rodrigues,Inatel
Jonice Oliveira,DCC/UFRJ
Jose Marcos Nogueira,UFMG
Jose Maria David,UFJF
Jose Maria Monteiro,UFC
Judith Kelner,UFPE
Jussara Almeida,UFMG
Kelvin Lopes Dias,UFPE
Laercio Pilla,UFSC
Leandro Marzulo,UERJ
Leandro Villas,UNICAMP
Leonardo Barbosa Oliveira,UFMG
Leonardo Montecchi,UNICAMP
Leonardo Murta,UFF
Leonardo da Rocha,UFSJ
Levi Lelis,UFV
Li Weigang,UnB
Liria Sato,POLI/USP
Lucas Schnorr,UFRGS
Lucas Wanner,UNICAMP
Luci Pirmez,NCE/UFRJ
Lucia Catabriga,UFES
Lucia Drummond,UFF
Luciana Rech,UFSC
Luciano Gaspary,UFRGS
Luidi Simonetti,COPPE/UFRJ
Luigi Carro,UFRGS
Luis Carlos De Bona,UFPR
Luis Fabricio Goes,PUC Minas
Luis Henrique Costa,COPPE/UFRJ
Luiz Eduardo Buzato,UNICAMP
Luiz Fernando Bittencourt,UNICAMP
Luiz Gustavo Leao Fernandes,PUC-RS
Luiz Satoru Ochi,UFF
Luiza Mourelle,UERJ
Magnos Martinello,UFES
Marcelo Lobosco,UFJF
Marcio Castro,UFSC
Marco Antonio Zanata Alves,UFPR
Marcos Andre Goncalves,UFMG
Marcos Barreto,UFBA
Marcos Didonet Del Fabro,UFPR
Marcos Lage,UFF
Maria Clicia Castro,UERJ
Mario Antonio Ribeiro Dantas,UFJF
Marjory Abreu,UFRN
Marta Mattoso,COPPE/UFRJ
Mauricio Pilla,UFPEL
Maycon Peixoto,UFBA
Nadia Nedjah,UERJ
Nazareno Andrade,UFCG
Nicolas Maillard,UFRGS
Noemi Rodriguez,PUC-Rio
Otto Carlos Duarte,COPPE/UFRJ
Paolo Rech,UFRGS
Patricia Della Mea Plentz,UFSC
Paulo Maciel,UFPE
Paulo Pires,DCC/UFRJ
Philippe Navaux,UFRGS
Rafael de Sousa Junior,UnB
Raimundo Barreto,UFAM
Raphael Camargo,UFABC
Raquel Lopes,UFCG
Raquel Mini,PUC Minas
Regina Braga,UFJF
Renata Reiser,UFPEL
Renato Ferreira,UFMG
Ricardo Torres,UNICAMP
Rodolfo Azevedo,UNICAMP
Rodrigo Righi,Unisinos
Rodrigo de Souza Couto,COPPE/UFRJ
Siang Song,IME/USP
Sidney Lucena,UNIRIO
Thais Batista,UFRN
Vanessa Braganholo,UFF
Vasco Furtado,UNIFOR
Victor Stroele,UFJF
Vinicius Petrucci,UFBA
Viviane Moreira,UFRGS
Wagner Meira,UFMG
Wellington Santos Martins,UFG
Yuri Frota,UFF
