UFRGS,22.2
UNICAMP,15.76
UFMG,9.89
UFSC,8.91
Inatel,8.66
UnB,8.56
UFF,8.24
UERJ,6.45
UFPR,6.45
COPPE/UFRJ,5.25
PUC-RS,5.1
UFCG,4.2
DCC/UFRJ,3.4
IME/USP,3.19
UNESP,3.12
UFPE,3.11
UFABC,2.86
UFBA,2.73
UFC,2.45
UFJF,2.45
UFSCar,2.38
Unisinos,2.33
UFAL,2.13
PUC Minas,1.98
NCE/UFRJ,1.6
PUC-Rio,1.4
LNCC,1.39
UFV,1.33
UFPEL,1.13
UFRN,1.13
ITA,1.06
PUC-PR,0.8
UFAM,0.8
UFG,0.73
UFS,0.73
UFES,0.66
CEFET-RJ,0.4
ICMC/USP,0.4
ITV,0.4
UFMS,0.4
UNIFEI,0.4
UNIFESP,0.4
UNIFOR,0.4
UNIRIO,0.4
EACH/USP,0.33
POLI/USP,0.33
UFSJ,0.33
