IEEE Trans. on Parallel and Distributed Systems,IEEE CS,262,79,top,10
ACM Trans. on Arch. and Code Optimization (TACO),ACM,55,26,top,10
Future Generation Computer Systems,Elsevier,246,68,,10
The Journal of Supercomputing,Springer,258,41,,10
Journal of Parallel and Distributed Computing,Elsevier,145,39,,10
Concurrency and Computation: Practice and Experience,Wiley,243,35,,10
Parallel Computing,Elsevier,38,24,,10
International Journal of Parallel Programming,Springer,75,20,,10
Science of Computer Programming (SCP),Elsevier,64,28,,10
ACM Transactions on Parallel Computing (TOPC),ACM,13,0,top,10
