ISCA,ACM SIGARCH,322,54,17,54,top,11
ASPLOS,ACM SIGARCH,320,53,16.6,50,top,11
SC,ACM SIGHPC,327,61,18.6,47,top,10
HPCA,IEEE,224,50,22.3,46,top,11
MICRO,IEEE/ACM SIGMICRO,327,61,18,41,top,11
IPDPS,IEEE CS,508,116,22.8,41,,10
PACT,IEEE CS/ACM SIGARCH,108,25,23.1,33,,11
HPDC,ACM SIGARCH,100,19,19,29,,12
ICS,ACM SIGARCH,177,28,15.82,26,,10
Euro-Par,Euro-Par,176,50,28.4,24,,12
SPAA,ACM SIGARCH/SIGACT,120,36,30.0,22,,10
PDP,EUROMICRO,162,52,32,20,,8
ICPP,IEEE CS,211,60,28.4,20,,15
IEEE CLUSTER (2018),IEEE CS,154,44,28.6,20,,10
HiPC,IEEE,184,42,22.8,24,,10
