Adriano Pereira,UFMG,73/6430
Adriano Veloso,UFMG,12/919
Agma J. Traina,ICMC/USP,t/AgmaJMTraina
Alberto Laender,UFMG,l/AHFLaender
Alexandre Plastino,UFF,54/401
Altigran Silva,UFAM,s/ASdaSilva
Ana Carolina Salgado,UFPE,23/6139
Ana Paula Couto,UFMG,47/2795
Andre Santanche,UNICAMP,72/3424
Angelo Brayner,UNIFOR,b/AngeloBrayner
Antonio Furtado,PUC-Rio,f/AntonioLFurtado
Artur Ziviani,LNCC,47/772
Bernadette Loscio,UFPE,51/6689
Bernardo Pereira Nunes,PUC-Rio,08/10894
Berthier Ribeiro-Neto,UFMG,r/BerthierARibeiroNeto
Caetano Traina Jr,ICMC/USP,t/CaetanoTrainaJr
Carina Dorneles,UFSC,74/2312
Carla Delgado,UFRJ,73/6931
Carmem Hara,UFPR,26/3914
Celso Massaki Hirata,ITA,h/CelsoMassakiHirata
Clodoveu Davis,UFMG,d/ClodoveuADavis
Cristina Ciferri,ICMC/USP,13/4069
Daniel Figueiredo,UFRJ,46/4473
Daniel Kaster,UEL,k/DanielSKaster
Daniel Menasche,UFRJ,44/4915
Daniel Oliveira,UFF,68/7553-1
Daniel Schwabe,PUC-Rio,s/DanielSchwabe
Duncan Ruiz,PUCRS,22/1939
Edleno de Moura,UFAM,m/EdlenoSilvadeMoura
Eduardo Ogasawara,CEFET-RJ,24/788
Edmundo de Souza e Silva,UFRJ,96/5137
Elaine de Sousa,USP,91/5321
Fabio Porto,LNCC,p/FabioPorto
Fabricio Benevenuto,UFMG,90/2878
Fernanda Baiao,UNIRIO,b/FAraujoBaiao
Flavio Figueiredo,UFMG,98/7536
Giseli Lopes,UFRJ,21/8385
Humberto Rezente,UFU,86/470
Jano Moreira de Souza,UFRJ,m/JMoreiradeSouza
Javam Machado,UFC,12/3896
Joao Eduardo Ferreira,USP,69/279
Joao Paixao,UFRJ,60/10141
Jonice Oliveira,UFRJ,o/JoniceOliveira
Jose Antonio Fernandes de Macedo,UFC,f/JAFernandesdeMacedo
Jose Palazzo de Oliveira,UFRGS,o/JosePalazzoMoreiradeOliveira
Juliana Valerio,UFRJ,51/9754
Jussara Almeida,UFMG,34/5480
Karin Becker,UFRGS,00/3080
Leonardo C. da Rocha,UFSJ,89/1792
Li Weigang,UnB,l/WeigangLi
Loic Cerf,UFMG,43/3578
Luciano Digiampietri,USP,09/6587
Luiz Andre Paes Leme,UFF,75/6273
Marco Antonio Casanova,PUC-Rio,c/MarcoACasanova
Marcos Andre Goncalves,UFMG,45/1395
Maria Camila N. Barioni,UFU,37/2450
Maria Claudia Cavalcanti,IME-RJ,c/MariaClaudiaReisCavalcanti
Marta Mattoso,UFRJ,m/MartaLQueirosMattoso
Mirella Moro,UFMG,m/MirellaMouraMoro
Nazareno Andrade,UFCG,14/1054
Nivio Ziviani,UFMG,z/NZiviani
Pedro Olmo,UFMG,28/3311
Renata Galante,UFRGS,37/2418
Renato Fileto,UFSC,35/2350
Ricardo Ciferri,UFSCar,58/1079
Ricardo Torres,UNICAMP,s/RicardodaSilvaTorres
Roberto Cesar Junior,USP,c/RobertoMarcondesCesarJunior
Roberto Imbuzeiro Oliveira,IMPA,74/3915
Rodrygo Santos,UFMG,36/1247
Ronaldo dos Santos Mello,UFSC,82/6647
Sergio Lifschitz,PUC-Rio,l/SLifschitz
Valeria Times,UFPE,31/4518
Vanessa Braganholo,UFF,84/2055
Vania Bogorny,UFSC,16/2965
Vaninha Vieira,UFBA,17/535
Virgilio Almeida,UFMG,a/VirgilioAlmeida
Viviane P. Moreira,UFRGS,o/VivianeMoreiraOrengo
Wagner Meira,UFMG,m/WagnerMeiraJr
Wellington Santos Martins,UFG,120/9618
