Adriao Duarte Doria Neto,UFRN
Alba Melo,UnB
Alcione de Paiva Oliveira,UFV
Aleteia de Araujo,UnB
Alexandre Rossi Paschoal,UTFPR
Alvaro Fazenda,UNIFESP
Andre Fujita,IME/USP
Andre Kashiwabara,UTFPR
Andre Ponce de Leon Carvalho,ICMC/USP
Anna Costa,POLI/USP
Celina de Figueiredo,COPPE/UFRJ
Danilo Sanches,UTFPR
David Martins,UFABC
Duncan Ruiz,PUC-RS
Eanes Torres Pereira,UFCG
Edward Hermann Haeusler,PUC-Rio
Fabiano Silva,UFPR
Fabricio Martins Lopes,UTFPR
George Teodoro,UFMG
Gerson Zaverucha,COPPE/UFRJ
Gisele Pappa,UFMG
Guilherme Pimentel Telles,UNICAMP
Hermes Senger,UFSCar
Joao Eduardo Ferreira,IME/USP
Joao Meidanis,UNICAMP
Katia Guimaraes,UFPE
Luciano Digiampietri,EACH/USP
Luis Antonio Kowada,UFF
Luis Zarate,PUC Minas
Marcelo Lobosco,UFJF
Marcio Dorn,UFRGS
Marcos Augusto dos Santos,UFMG
Maria Emilia Telles Walter,UnB
Maristela Holanda,UnB
Nalvo Franco de Almeida,UFMS
Priscila Saito,UTFPR
Raquel Minardi,UFMG
Renato Tinos,FFCLRP/USP
Ricardo Cerri,UFSCar
Ricardo Ferreira,UFV
Ricardo Prudencio,UFPE
Roberto Cesar Junior,IME/USP
Rodrigo Barros,PUC-RS
Ronnie Alves,UFPA
Rosane Minghim,ICMC/USP
Sergio Lifschitz,PUC-Rio
Simone Dantas de Souza,UFF
Victor Campos,UFC
Zanoni Dias,UNICAMP
