1,CHI,ACM SIGCHI,2500,600,24.0,85,1,10
2,CSCW,ACM SIGCHI,530,183,34.5,56,1,10
3,Ubicomp,ACM SIGCHI/SIGMOBILE,,,,50,2,10
4,UIST,ACM SIGCHI/SIGGRAPH,324,73,22.5,44,2,10
5,HIR,"ACM SIGCHI/SIGAI, IEEE Robotics",211,51,24.2,35,3,8
6,DIS,ACM SIGCHI ,487,107,22.0,31,3,10
7,ICMI,ACM SIGCHI,151,26,17.2,29,3,8
8,MobileHCI,ACM SIGCHI,224,44,19.6,27,3,8
9,IUI,ACM SIGCHI/SIGAI,272,63,23.2,27,3,10
10,TEI,ACM SIGCHI,151,41,27.0,23,3,8
11,ASSETS,SIGACCESS,126,33,26.2,22,3,10
12,ISS,ACM SIGCHI,119,32,26.9,22,3,10
13,AVI,"ACM SIGCHI/SIGWEB/SIGMM",96,26,27.0,21,3,9
14,UMAP,"ACM SIGWEB/SIGCHI",131,41,31.3,21,3,8
15,EICS,ACM SIGCHI ,,,,20,3,10
16,INTERACT,IFIP,221,68,30.7,17,3,18
