Aldo von Wangenhein,UFSC
Alexandro Baldassin,UNESP
Alneu de Andrade Lopes,ICMC/USP
Ana Carolina Lorena,UNIFESP
Anderson Maciel,UFRGS
Andre Drummond,UnB
Andre Gregio,UFPR
Andre Ponce de Leon Carvalho,ICMC/USP
Andreia Malucelli,PUC-PR
Angelo Brayner,UFC
Antonio Alfredo Ferreira Loureiro,UFMG
Antonio Tadeu Gomes,LNCC
Bianchi Meiguins,UFPA
Carina Dorneles,UFSC
Carla Freitas,UFRGS
Carlos Maziero,UFPR
Celio Vinicius Neves de Albuquerque,UFF
Celso Saibel Santos,UFES
Christiane von Wangenheim,UFSC
Cristiano Costa,Unisinos
Daniel de Oliveira,UFF
Debora Muchaluat Saade,UFF
Diego Amancio,ICMC/USP
Edson Matsubara,UFMS
Eliane Martins,UNICAMP
Elias Duarte,UFPR
Elisa Yumi Nakagawa,ICMC/USP
Emerson Paraiso,PUC-PR
Estevam Hruschka,UFSCar
Fabiane Barreto Vavassori Beniti,UFSC
Fabio Cappabianco,UNIFESP
Fabio Kon,IME/USP
Fabricio Benevenuto,UFMG
Fabricio Enembreck,PUC-PR
Fatima Nunes,EACH/USP
Fernando Castor,UFPE
Frank Siqueira,UFSC
Gustavo Pinto,UFPA
Hudson Borges,UFMS
Ingrid Oliveira,UFRGS
Jayme Szwarcfiter,COPPE/UFRJ
Jo Ueyama,ICMC/USP
Joaquim Celestino,UECE
Jorge Luis Victoria Barbosa,Unisinos
Jose Maria Monteiro,UFC
Julio Cezar Estrella,ICMC/USP
Kleinner Farias,Unisinos
Leandro Villas,UNICAMP
Leonardo Murta,UFF
Lina Garces,UNIFEI
Lisandro Zambenedetti Granville,UFRGS
Luciana Porcher Nedel,UFRGS
Lucineia Heloisa Thom,UFRGS
Luis Lamb,UFRGS
Luiz Filipe Vieira,UFMG
Luiz Gonzaga,Unisinos
Luiz Henrique de Figueiredo,IMPA
Marcio Delamaro,ICMC/USP
Marco Antonio Zanata Alves,UFPR
Marco Tulio Valente,UFMG
Marcos Vieira,UFMG
Maria Augusta Netto Nunes,UFS
Maria Cristina Ferreira Oliveira,ICMC/USP
Mario Antonio Ribeiro Dantas,UFJF
Maristela Holanda,UnB
Paulo Henrique Pisani,UFABC
Paulo Licio de Geus,UNICAMP
Philippe Navaux,UFRGS
Renato Ishii,UFMS
Roberto Ierusalimschy,PUC-Rio
Rodrigo Righi,Unisinos
Sergio Soares,UFPE
Sheila Reinehr,PUC-PR
Thiago Silva,UTFPR
Toacy Oliveira,COPPE/UFRJ
Vanessa Braganholo,UFF
Waldemar Celes,PUC-Rio
Yoshiharu Kohayakawa,IME/USP
