Afonso Sales,PUC-RS
Alex Sandro Gomes,UFPE
Christiane von Wangenheim,UFSC
Dalton Guerrero,UFCG
Davi Viana,UFMA
Eduardo Aranha,UFRN
Elaine Oliveira,UFAM
Elisa Yumi Nakagawa,ICMC/USP
Ellen Barbosa,ICMC/USP
Geber Ramalho,UFPE
Humberto Rezente,UFU
Kiev Gama,UFPE
Leandro Silva Galvao de Carvalho,UFAM
Leila Ribeiro,UFRGS
Luciana Zaina,UFSCar
Maristela Holanda,UnB
Milene Silveira,PUC-RS
Nabor Mendonca,UNIFOR
Rafael Prikladnicki,PUC-RS
Roberto Bittencourt,UEFS
Rodolfo Azevedo,UNICAMP
Rodrigo Duran,IFMS
Rodrigo Pereira dos Santos,UNIRIO
Rogerio Eduardo Garcia,UNESP
Ronaldo Correia,UNESP
Rosana Braga,ICMC/USP
Seiji Isotani,ICMC/USP
Silvia Amelia Bim,UTFPR
Simone Cristiane dos Santos,UFPE
Taciana Pontual Falcao,UFRPE
Wilkerson Andrade,UFCG
