Adriana Soares Pereira,UFSM,21/2286
Alberto Castro,UFAM,61/2142
Alessandro Vivas,UFVJM,135/1037
Alex Sandro Gomes,UFPE,43/5447
Alexander Robert Kutzke,UFPR,75/9680
Ayla Dantas,UFPB,46/536
Amanda Melo,UNIPAMPA,94/4531
Anarosa Brandao,POLI/USP,68/870
Andre Raabe,UNIVALI,85/2030
Andrey Pimentel,UFPR,70/2041
Anelise Kologeski,IFRS,45/8745
Arturo Hernandez-Dominguez,UFAL,95/3261
Bernardo Pereira Nunes,PUC-Rio,08/10894
Bruno Gadelha,UFAM,77/7361
Bruno Santana,UFRN,85/4056
Cabral Lima,UFRJ,36/1587
Carla Berkenbrock,UDESC,62/1318
Carlos Lopes,UFU,87/2415
Christiane von Wangenheim,UFSC,w/ChristianeGressevonWangenheim
Christina Chavez,UFBA,c/ChristinavonFlachGChavez
Claudia Motta,UFRJ,19/3129
Clodis Boscarioli,UNIOESTE,97/993
Credine de Menezes,UFRGS,58/7028
Cristian Cechinel,UFPEL,50/8769
Cristiano Maciel,UFMT,62/5474
Dalton Guerrero,UFCG,g/DaltonSereyGuerrero
Daniel Paiva,UFF,152/5755
Daniela Cascini,CEFET-MG,46/6031
Daniela Leal Musa,UFSP,61/1183
Daniela Trevisan,UFF,t/DanielaGorskiTrevisan
David Moises Santos,UEFS,173/1717
Davidson Cury,UFES,157/9229
Diego Dermeval,UFAL,50/365
Dinani Amorim,UEBA,80/2986
Edilson Ferneda,UCB,01/5579
Edson Pimentel,UFABC,08/2464
Eduardo Aranha,UFRN,31/1490
Eduardo Figueiredo,UFMG,03/335
Elaine Oliveira,UFAM,193/1016
Eliseo Reategui,UFRGS,44/2777
Elisa Yumi Nakagawa,ICMC/USP,67/5214
Ellen Barbosa,ICMC/USP,66/2060
Evandro Costa,UFAL,04/6610
Fabiano Dorca,UFU,10/4098
Fabio Ferrentini Sampaio,UFRJ,150/7788
Fernanda Campos,UFJF,30/3085
Flavia Bernardini,UFF,88/5413
Flavia Santoro,UNIRIO,33/6173
Germana Nobrega,UNB,17/1217
Gilda Bernardino de Campos,PUC-Rio,71/3775
Glaucia Braga e Silva,UFV,15/8144
Ig Ibert Bittencourt,UFAL,11/2860
Ilana Concilio,MACKENZIE,138/9615
Isabel Nunes,UFRN,151/4297
Isabela Gasparini,UDESC,83/667
Ismar Frango Silveira,UNICSUL,19/5780
Joao Gluz,UNISINOS,55/3847
Joice Otsuka,UFSCAR,94/1828
Jose Francisco Netto,UFAM,152/1696
Jorge Figueiredo,UFCG,06/3004
Jose Carlos Maldonado,ICMC/USP,28/2292
Jose Valdeni De Lima,UFRGS,l/JVdeLima
Laurence Amaral,UFU,09/8570
Leonidas Brandao,IME/USP,22/6910
Lucila Ishitani, PUC Minas,67/564
Magali Longhi,UFRGS,48/11225
Magda Bercht,UFRGS,60/11212
Marcello Thiry,UNIVALI,78/176
Marcelo Morandini,EACH-USP,67/2834
Marcia de Borba Campos,PUC-RS,131/8247
Marcia Fernandes,UFU,88/7436
Marcia Notare,UFRGS,39/6246
Marcos Borges,UNICAMP,72/5227
Maria Augusta Netto Nunes,UFS,29/1494
Mariano Pimentel,UNIRIO,70/6943
Matheus Gaudencio,UFCG,65/9560
Milene Silveira,PUC-RS,38/1199
Mirella Moro,UFMG,m/MirellaMouraMoro
Nazareno Andrade,UFCG,14/1054
Patricia Jaques,UNISINOS,j/PatriciaAugustinJaques
Patricia Tedesco,UFPE,99/8925
Raimundo Barreto,UFAM,04/562
Raquel Prates,UFMG,51/3637
Renan Cattelan,UFU,73/3186
Renata Fortes,ICMC/USP,48/6369
Ricardo Jose Rocha Amorim,UEBA,203/1422
Ricardo Silveira,UFSC,48/5786
Roberto Bittencourt,UEFS,75/3180
Roberto Pereira,UFPR,01/3932
Romero Tori,POLI/USP,31/1696
Romulo Silva,UNIOESTE,164/4896
Rosa Maria Costa,UERJ,42/2251
Rosa Viccari,UFRGS,v/RosaMariaVicari
Rosana Braga,ICMC/USP,07/4304
Rossana Andrade,UFC,61/6138
Roseclea Medina,UFSM,92/5611
Scheila Martins,PUC Minas,51/8733
Sean Siqueira,UNIRIO,73/4321
Seiji Isotani,ICMC/USP,83/1033
Sergio Antonio Andrade de Freitas,UNB,24/7722
Silvia Amelia Bim,UTFPR,131/8176
Silvio Cazella,UFCSPA,92/1958
Simone Bacellar Leal Ferreira,UNIRIO,44/9823
Soraia Prietch,UFMT,139/7426
Taciana Pontual Falcao,UFRPE,10/5013
Thais Castro,UFAM,88/1084
Ulrich Schiel,UFCG,93/5607
Vera Werneck,UERJ,13/1668
Victor Stroele,UFJF,88/6600
Vinicius Pereira,UFMT,54/3748
Yuska Aguiar,UFPB,135/0853
