Adriano Veloso,UFMG
Agma Traina,ICMC/USP
Alexandre Falcao,UNICAMP
Alexandre Plastino,UFF
Aline Paes,UFF
Alneu de Andrade Lopes,ICMC/USP
Altigran Silva,UFAM
Ana Bazzan,UFRGS
Ana Carolina Lorena,UNIFESP
Anderson Rocha,UNICAMP
Andre Backes,UFU
Andre Coelho,UNIFOR
Andre Ponce de Leon Carvalho,ICMC/USP
Andre Rossi,UNESP
Andrey Brito,UFCG
Angelo Brayner,UNIFOR
Anisio Lacerda,CEFET-MG
Antonio Alfredo Ferreira Loureiro,UFMG
Antonio Carlos da Rocha Costa,UFRGS
Aurora Pozo,UFPR
Benjamin Bedregal,UFRN
Bruno Castro da Silva,UFRGS
Caetano Traina,ICMC/USP
Carlos Ferreira,IME/USP
Carlos Lucena,PUC-Rio
Cristiana Bentes,UERJ
Daniel Carlos Guimaraes Pedronette,UNESP
Daniel Fernandes Macedo,UFMG
Daniel Figueiredo,COPPE/UFRJ
Daniel Osaku,UFSCAR
Daniel Schwabe,PUC-Rio
David Martins,UFABC
Dinani Amorim,UEBA
Edleno de Moura,UFAM
Eduardo Nakamura,UFAM
Eduardo Sany Laber,PUC-Rio
Elaine Ribeiro de Faria,UFU
Elizabeth Furtado,UNIFOR
Elizabeth Goldbarg,UFRN
Estevam Hruschka,UFSCAR
Fabio Cappabianco,UNIFESP
Fabricio Benevenuto,UFMG
Fabricio Enembreck,PUC-PR
Fabricio Martins Lopes,UTFPR
Fabricio Olivetti de Franca,UFABC
Felipe Franca,COPPE/UFRJ
Fernando Von Zuben,UNICAMP
Flavia Delicato,DCC/UFRJ
Flavio Figueiredo,UFMG
Francisco Tenorio de Carvalho,UFPE
George Cavalcanti,UFPE
Gerson Zaverucha,COPPE/UFRJ
Gina Maira Oliveira,UFU
Gisele Pappa,UFMG
Gracaliz Dimuro,FURG
Gustavo Batista,ICMC/USP
Gustavo Pavani,UFABC
Heloisa Camargo,UFSCAR
Hyggo Almeida,UFCG
Joao Bertini,UNICAMP
Joao Comba,UFRGS
Joao Paulo Papa,UNESP
Joel Rodrigues,Inatel
Jose Fernando Rodrigues Junior,ICMC/USP
Jose Ferreira de Rezende,COPPE/UFRJ
Jose Marcos Nogueira,UFMG
Jose Neuman de Souza,UFC
Junior Barrera,IME/USP
Jurandy Almeida,UNIFESP
Jussara Almeida,UFMG
Leandro Balby Marinho,UFCG
Leonardo da Rocha,UFSJ
Loic Cerf,UFMG
Lucas Schnorr,UFRGS
Luci Pirmez,NCE/UFRJ
Luis Marti Orosa,UFF
Luis Zarate,PUC Minas
Luiz Fernando Coletta,UNESP
Luiz Henrique Merschmann,UFLA
Marcio Basgalupp,UNIFESP
Marco Goldbarg,UFRN
Marco Molinaro,PUC-Rio
Marcos Andre Goncalves,UFMG
Maria Camila Barioni,UFU
Maria Cristina Ferreira Oliveira,ICMC/USP
Maria do Carmo Nicoletti,UFSCAR
Mariana Recamonde Mendoza,UFRGS
Mario Lemes Proenca,UEL
Marley Vellasco,PUC-Rio
Marta Mattoso,COPPE/UFRJ
Mirella Moro,UFMG
Patricia Jaques,Unisinos
Pedro Olmo,UFMG
Regivan Santiago,UFRN
Renata Galante,UFRGS
Renata Reiser,UFPEL
Renato Assuncao,UFMG
Renato Fileto,UFSC
Renato Krohling,UFES
Renato Tinos,FFCLRP/USP
Renato Vimieiro,UFPE
Ricardo Cerri,UFSCAR
Ricardo Prudencio,UFPE
Ricardo Torres,UNICAMP
Roberto Cesar Junior,IME/USP
Roberto Imbuzeiro Oliveira,IMPA
Roberto Souto Barros,UFPE
Robson Cordeiro,ICMC/USP
Rodrigo Barros,PUC-RS
Rodrygo Santos,UFMG
Rosane Minghim,ICMC/USP
Sandra Avila,UNICAMP
Silvia Costa Botelho,UFRG
Silvia Vergilio,UFPR
Tatiana Tavares,UFPEL
Teresa Ludermir,UFPE
Thelma Colanzi,UEM
Tiago Espinola Ferreira,UFRPE
Vasco Furtado,UNIFOR
Wagner Meira,UFMG
Wesley Nunes Goncalves,UFMS
Willian Amorim,UFGD
Zhao Liang,FFCLRP/USP
