UFMG,16.28
ICMC/USP,14.53
UFPE,9.67
PUC-Rio,7.32
COPPE/UFRJ,4.92
UNIFESP,4.12
UFF,3.18
UFSCar,2.72
UFRN,2.64
UNICAMP,2.39
UFRGS,2.33
UFPR,1.99
FURG,1.98
UFSC,1.73
UNESP,1.65
UFU,1.46
UFAM,1.4
UFMS,1.39
FEEC/UNICAMP,1.33
PUC-PR,1.13
FFCLRP/USP,1.06
 PUC-Rio,1.0
PUC-RS,1.0
UFOP,1.0
UFV,1.0
IME/USP,0.99
UFABC,0.99
Inatel,0.66
PUC Minas,0.66
UEL,0.66
UFSJ,0.66
UNIFOR,0.66
Unisinos,0.66
DCC/UFRJ,0.33
EACH/USP,0.33
FT/UNICAMP,0.33
POLI/USP,0.33
UERJ,0.33
UFBA,0.33
UFCG,0.33
UFES,0.33
UFGD,0.33
UFJF,0.33
UFMA,0.33
UFPA,0.33
UFRPE,0.33
