Adriano Pereira,UFMG,73/6430
Adriano Veloso,UFMG,12/919
Agma Traina,ICMC/USP,t/AgmaJMTraina
Alberto Laender,UFMG,l/AHFLaender
Alexandre Plastino,UFF,54/401
Altigran Silva,UFAM,s/ASdaSilva
Ana Carolina Lorena,UNIFESP,97/2733
Ana Carolina Salgado,UFPE,23/6139
Ana Paula Couto,UFMG,47/2795
Andre de Carvalho,ICMC/USP,c/ACPLFdCarvalho
Andre Rossi,UNESP,86/4146
Andre Santanche,UNICAMP,72/3424
Angelo Brayner,UNIFOR,b/AngeloBrayner
Anisio Lacerda,CEFET-MG,90/844
Antonio Furtado,PUC-Rio,f/AntonioLFurtado
Artur Ziviani,LNCC,47/772
Bernadette Loscio,UFPE,51/6689
Bernardo Pereira Nunes,PUC-Rio,08/10894
Berthier Ribeiro-Neto,UFMG,r/BerthierARibeiroNeto
Bruno M. Nogueira,UFMS,73/991
Caetano Traina Jr,ICMC/USP,t/CaetanoTrainaJr
Carina Dorneles,UFSC,74/2312
Carla Delgado,UFRJ,73/6931
Carlos N. Silla Jr.,PUC-PR,38/3598
Carmem Hara,UFPR,26/3914
Celso Massaki Hirata,ITA,h/CelsoMassakiHirata
Claudia Galarda Varassin,UFES,139/3978
Clodoveu Davis,UFMG,d/ClodoveuADavis
Cristina Ciferri,ICMC/USP,13/4069
Daniel Figueiredo,UFRJ,46/4473
Daniel Kaster,UEL,k/DanielSKaster
Daniel Menasche,UFRJ,44/4915
Daniel Oliveira,UFF,68/7553-1
Daniel Schwabe,PUC-Rio,s/DanielSchwabe
Duncan Ruiz,PUCRS,22/1939
Edleno de Moura,UFAM,m/EdlenoSilvadeMoura
Edmundo de Souza e Silva,UFRJ,96/5137
Edson Matsubara,UFMS,66/2176
Eduardo Ogasawara,CEFET-RJ,24/788
Eduardo Sany Laber,PUC-Rio,49/5557
Elaine Ribeiro de Faria,UFU,79/1997
Elaine Sousa,ICMC/USP,91/5321
Fabio Cozman,USP,g/FabioGagliardiCozman
Fabio Porto,LNCC,p/FabioPorto
Fabricio Benevenuto,UFMG,90/2878
Fernanda Baiao,UNIRIO,b/FAraujoBaiao
Fernando Trinta,UFC,126/6814
Flavio Figueiredo,UFMG,98/7536
Francisco de A. T. de Carvalho,UFPE,65/6740
Frederico Durao,UFBA,22/4396
Gisele Pappa,UFMG,59/701
Giseli Lopes,UFRJ,21/8385
Helena Caseli,UFSCAR,15/2653
Heloisa Camargo,UFSCAR,28/2620
Humberto Rezente,UFU,86/470
Jano Moreira de Souza,UFRJ,m/JMoreiradeSouza
Javam Machado,UFC,12/3896
Joao Eduardo Ferreira,USP,69/279
Joao Paixao,UFRJ,60/10141
Joao Paulo Papa,UNESP,96/3441
Jonathan de Andrade Silva,UFMS,31/1395
Jonice Oliveira,UFRJ,o/JoniceOliveira
Jose Alfredo Ferreira Costa,UFRN,51/4829
Jose Antonio Fernandes de Macedo,UFC,f/JAFernandesdeMacedo
Jose Palazzo de Oliveira,UFRGS,o/JosePalazzoMoreiradeOliveira
Jose Viterbo,UFF,15/374
Juliana Valerio,UFRJ,51/9754
Julio Cesar Nievola,PUC-PR,62/6863
Jussara Almeida,UFMG,34/5480
Karin Becker,UFRGS,00/3080
Kate Revoredo,UNIRIO,67/1904
Leandro Balby Marinho,UFCG,59/4973
Leonardo C. da Rocha,UFSJ,89/1792
Li Weigang,UnB,l/WeigangLi
Liang Zhao,USP,63/5422-1
Loic Cerf,UFMG,43/3578
Luciano Digiampietri,USP,09/6587
Luis Zarate,PUC Minas,05/1768
Luiz Andre Paes Leme,UFF,75/6273
Luiz Fernando Coletta,UNESP,00/8451
Luiz Martins,UFU,53/7538
Luiz Merschmann,UFLA,80/1853
Marcelo Albertini,UFU,61/6050
Marcio Basgalupp,UNIFESP,57/1607
Marco Antonio Casanova,PUC-Rio,c/MarcoACasanova
Marcos Andre Goncalves,UFMG,45/1395
Marcos Quiles,USP,70/1985
Maria Camila N. Barioni,UFU,37/2450
Maria Claudia Cavalcanti,IME-RJ,c/MariaClaudiaReisCavalcanti
Maria Nascimento,USP,94/7230
Marta Mattoso,UFRJ,m/MartaLQueirosMattoso
Mirella Moro,UFMG,m/MirellaMouraMoro
Murillo G. Carneiro,UFU,116/9887
Murilo Naldi,UFSCAR,07/3376
Nazareno Andrade,UFCG,14/1054
Nivio Ziviani,UFMG,z/NZiviani
Pedro Olmo,UFMG,28/3311
Renata Galante,UFRGS,37/2418
Renato Fileto,UFSC,35/2350
Renato Tinos,USP,86/3910
Ricardo Cerri,UFSCAR,94/7227
Ricardo Ciferri,UFSCar,58/1079
Ricardo Prudencio,UFPE,76/1124
Ricardo Torres,UNICAMP,s/RicardodaSilvaTorres
Roberto Cesar Junior,USP,c/RobertoMarcondesCesarJunior
Roberto Imbuzeiro Oliveira,IMPA,74/3915
Rodrigo Barros,PUCRS,33/1197
Rodrygo Santos,UFMG,36/1247
Ronaldo dos Santos Mello,UFSC,82/6647
Ronaldo Prati,UFABC,34/586
Sergio Lifschitz,PUC-Rio,l/SLifschitz
Solange Rezende,ICMC/USP,90/5551
Valeria Times,UFPE,31/4518
Vanessa Braganholo,UFF,84/2055
Vania Bogorny,UFSC,16/2965
Vaninha Vieira,UFBA,17/535
Vinicius Garcia,UFPE,g/ViniciusCardosoGarcia
Virgilio Almeida,UFMG,a/VirgilioAlmeida
Viviane P. Moreira,UFRGS,o/VivianeMoreiraOrengo
Wagner Meira,UFMG,m/WagnerMeiraJr
Wellington Santos Martins,UFG,120/9618
