Alba Melo,UnB
Alberto Ferreira De Souza,UFES
Alessandro Garcia,PUC-Rio
Aleteia de Araujo,UnB
Alex Sandro Roschildt Pinto,UFSC
Alexandre Delbem,ICMC/USP
Alfredo Goldman,IME/USP
Aline Paes,UFF
Altair Olivo Santin,PUC-PR
Altigran Silva,UFAM
Ana Paula Couto da Silva,UFMG
Andre Gregio,UFPR
Andre Luiz Lins de Aquino,UFAL
Andrey Brito,UFCG
Antonio Tadeu Gomes,LNCC
Auri Vincenzi,UFSCar
Bruno Schulze,LNCC
Carlos Eduardo Santos Pires,UFCG
Carmem Hara,UFPR
Celia Ralha,UnB
Cesar Augusto Fonticielha De Rose,PUC-RS
Claudio Geyer,UFRGS
Cristiana Bentes,UERJ
Cristiano Costa,Unisinos
Cristina Boeres,UFF
Cristina Ciferri,ICMC/USP
Daniel Carlos Guimaraes Pedronette,UNESP
Daniel Cordeiro,EACH/USP
Daniel Menasche,DCC/UFRJ
Daniel de Oliveira,UFF
Djamel Sadok,UFPE
Dorgival Guedes,UFMG
Edmundo Madeira,UNICAMP
Edna Barros,UFPE
Edson Borin,UNICAMP
Eduardo Alchieri,UnB
Eduardo Antonio Guimaraes Tavares,UFPE
Edward Moreno,UFS
Eliane Martins,UNICAMP
Fabio Costa,UFG
Fabio Kon,IME/USP
Fabio Porto,LNCC
Fabricio Murai,UFMG
Felipe Franca,COPPE/UFRJ
Fernanda Campos,UFJF
Fernando Dotti,PUC-RS
Fernando Pereira,UFMG
Fernando Trinta,UFC
Flavia Delicato,DCC/UFRJ
Francisco Vilar Brasileiro,UFCG
Genaina Rodrigues,UnB
George Lima,UFBA
Haroldo Gambini Santos,UFOP
Hermes Senger,UFSCar
Javam Machado,UFC
Joao Arthur Brunet,UFCG
Joao Eduardo Ferreira,IME/USP
Joel Rodrigues,Inatel
Jorge Luis Victoria Barbosa,Unisinos
Jose Ferreira de Rezende,COPPE/UFRJ
Jose Maria David,UFJF
Judith Kelner,UFPE
Julio Cezar Estrella,ICMC/USP
Jussara Almeida,UFMG
Kelvin Lopes Dias,UFPE
Laercio Pilla,UFSC
Leandro Marzulo,UERJ
Leandro Villas,UNICAMP
Leonardo Montecchi,UNICAMP
Lucia Drummond,UFF
Luciana Rech,UFSC
Luis Carlos De Bona,UFPR
Luis Henrique Costa,COPPE/UFRJ
Luiz Fernando Bittencourt,UNICAMP
Luiz Gustavo Leao Fernandes,PUC-RS
Marcio Castro,UFSC
Marco Antonio Moreira de Carvalho,UFOP
Marcos Simplicio Jr,POLI/USP
Mario Antonio Ribeiro Dantas,UFJF
Markus Endler,PUC-Rio
Mauricio Pilla,UFPEL
Miguel Campista,COPPE/UFRJ
Nabor Mendonca,UNIFOR
Nelio Cacho,UFRN
Nelson Fonseca,UNICAMP
Paolo Rech,UFRGS
Paulo Maciel,UFPE
Paulo Pires,DCC/UFRJ
Paulo Sergio Lopes de Souza,ICMC/USP
Pedro Braconnot Velloso,COPPE/UFRJ
Philippe Navaux,UFRGS
Raphael Camargo,UFABC
Raquel Lopes,UFCG
Regina Braga,UFJF
Ricardo Dahab,UNICAMP
Ricardo Rodrigues Ciferri,UFSCar
Ricardo Torres,UNICAMP
Rivalino Matias,UFU
Roberto Souto Barros,UFPE
Rodrigo Righi,Unisinos
Rodrigo de Souza Couto,COPPE/UFRJ
Sandra Avila,UNICAMP
Sarita Mazzini Bruschi,ICMC/USP
Silvana Rossetto,DCC/UFRJ
Simone Souza,ICMC/USP
Stenio Fernandes,UFPE
Thelma Colanzi,UEM
Thiago Silva,UTFPR
Tiago Ferreto,PUC-RS
Virgilio Almeida,UFMG
Wagner Meira,UFMG
Waldemar Celes,PUC-Rio
Yuri Frota,UFF
