Alexandre Mota,UFPE
Aline Paes,UFF
Ana Teresa Martins,UFC
Arnaldo Moura,UNICAMP
Augusto Sampaio,UFPE
Carlos Olarte,UFRN
Christiano Braga,UFF
Claudia Nalon,UnB
Edward Hermann Haeusler,PUC-Rio
Elaine Pimentel,UFRN
Francicleber Ferreira,UFC
Gerson Zaverucha,COPPE/UFRJ
Gustavo Carvalho,UFPE
Joao Marcos de Almeida,UFRN
Juliano Iyoda,UFPE
Mario Benevides,DCC/UFRJ
Mario Sergio Alvim,UFMG
Mauricio Ayala Rincon,UnB
Petrucio Viana,UFF
Raimundo Barreto,UFAM
Ruy Queiroz,UFPE
Umberto Rivieccio,UFRN
Viviane Silva,UFF
