Adriano Pereira,UFMG
Afonso Paiva,ICMC/USP
Alana Da Gama,UFPE
Alberto Ferreira De Souza,UFES
Alberto Raposo,PUC-Rio
Alceu Souza Britto,PUC/PR
Alex Vieira,UFJF
Alisson Vasconcelos de Brito,UFPB
Anderson Maciel,UFRGS
Andre Freire,UFLA
Anisio Lacerda,UFMG
Anselmo Cardoso de Paiva,UFMA
Anselmo Montenegro,UFF
Antonio Apolinario,UFBA
Antonio Furtado,PUC-Rio
Antonio Sementille,UNESP
Arnaldo Araujo,UFMG
Asla Medeiros,FGV
Bianchi Meiguins,UFPA
Bruno Castro da Silva,UFRGS
Bruno Feijo,PUC-Rio
Bruno Travencolo,UFU
Bruno Zatt,UFPEL
Carla Freitas,UFRGS
Carlos Silla,PUC-PR
Celio Vinicius Neves de Albuquerque,UFF
Celso Saibel Santos,UFES
Clarisse de Souza,PUC-Rio
Claudine Badue,UFES
Claudio Esperanca,COPPE/UFRJ
Claudio Jung,UFRGS
Claudio de Souza Baptista,UFCG
Creto Vidal,UFC
Cristiano Maciel da Silva,UFSJ
Cristina Nader Vasconcelos,UFF
Daniel Carlos Guimaraes Pedronette,UNESP
Daniela Trevisan,UFF
Danilo Barbosa Coimbra,UFBA
Davi Viana,UFMA
Debora Muchaluat Saade,UFF
Diego Gimenez Passos,UFF
Diego Silva,ICMC/USP
Djamel Sadok,UFPE
Eanes Torres Pereira,UFCG
Eduardo Gastal,UFRGS
Elaine Ribeiro de Faria,UFU
Elmar Melcher,UFCG
Emanuele Santos,UFC
Erickson Rangel do Nascimento,UFMG
Esteban Clua,UFF
Evandro Costa,UFAL
Ezequiel Roberto Zorzal,UNIFESP
Fabricio Benevenuto,UFMG
Fatima Nunes,EACH/USP
Fernando Paulovich,ICMC/USP
Fernando Trinta,UFC
Flavio Silva,UFU
Geraldo Pereira Rocha Filho,UnB
Gilson Giraldi,LNCC
Guilherme Pimentel Telles,UNICAMP
Guilherme Ribeiro Correa,UFPEL
Gustavo Batista,ICMC/USP
Helio Lopes,PUC-Rio
Helio Pedrini,UNICAMP
Isabel Harb Manssour,PUC-RS
Italo Cunha,UFMG
Jefersson dos Santos,UFMG
Jefferson Magalhaes,UFPA
Jefferson Souza,UFU
Jo Ueyama,ICMC/USP
Joao Comba,UFRGS
Joao Paulo Gois,UFABC
Joao Paulo Papa,UNESP
Joao Paulo Silva do Monte Lima,UFRPE
Joaquim Cavalcante,UFC
Joel Rodrigues,Inatel
Jose Antonio Fernandes de Macedo,UFC
Jose Gustavo Paiva,UFU
Judith Kelner,UFPE
Jurandy Almeida,UNIFESP
Jussara Almeida,UFMG
Leticia Rittner,FEEC/UNICAMP
Li Weigang,UnB
Luciana Porcher Nedel,UFRGS
Luciana Zaina,UFSCar
Luciano Gaspary,UFRGS
Luciano Silva,UFPR
Luis Gustavo Nonato,ICMC/USP
Luiz Henrique Merschmann,UFLA
Luiz Henrique de Figueiredo,IMPA
Luiz Satoru Ochi,UFF
Luiza Mourelle,UERJ
Manuel Oliveira,UFRGS
Marcelle Mota,UFPA
Marcelo Albertini,UFU
Marcelo Guimaraes,UNIFESP
Marcelo Manzato,ICMC/USP
Marcelo Walter,UFRGS
Marcelo Zanchetta do Nascimento,UFU
Marcos Lage,UFF
Maria Andreia Rodrigues,UNIFOR
Mario Lemes Proenca,UEL
Moacir Ponti,ICMC/USP
Nadia Nedjah,UERJ
Nazareno Andrade,UFCG
Nelson Fonseca,UNICAMP
Newton Spolaor,UNIOESTE
Nina Hirata,IME/USP
Nivan Ferreira,UFPE
Olga Bellon,UFPR
Paulo Drews,FURG
Pedro Henrique Bugatti,UTFPR
Pedro Olmo,UFMG
Priscila Saito,UTFPR
Rafael Torchelsen,UFPEL
Renato Assuncao,UFMG
Renato Ferreira,UFMG
Ricardo Marroquim,COPPE/UFRJ
Ricardo Rios,UFBA
Ricardo Torres,UNICAMP
Rodrigo Barros,PUC-RS
Rosane Minghim,ICMC/USP
Rudinei Goularte,ICMC/USP
Sergio Campos,UFMG
Silvia Costa Botelho,FURG
Silvio Guimaraes,PUC Minas
Simone Barbosa,PUC-Rio
Soraia Musse,PUC-RS
Sylvio Barbon Junior,UEL
Teofilo de Campos,UnB
Thales Vieira,UFAL
Thiago Oliveira Santos,UFES
Tsang Ing Ren,UFPE
Valdinei Freire,EACH/USP
Vania Neris,UFSCar
Veronica Teichrieb,UFPE
Vinicius Cassol,Unisinos
Waldemar Celes,PUC-Rio
Windson Viana,UFC
Zanoni Dias,UNICAMP
