ICMC/USP,20.31
UFRGS,17.85
UFF,9.12
UFPE,8.52
PUC-Rio,6.8
UFMG,6.05
UFES,5.85
UFU,4.64
UNICAMP,3.58
PUC-RS,3.46
Inatel,3.45
UNESP,3.05
UFSCar,2.64
COPPE/UFRJ,2.6
UFBA,2.13
UFCG,2.06
UFC,2.0
UFMA,1.98
UFPEL,1.86
FURG,1.73
IME/USP,1.73
EACH/USP,1.65
IMPA,1.6
UNIFOR,1.2
UFPR,1.13
UNIFESP,1.13
LNCC,1.06
UTFPR,0.99
FGV,0.8
UFRPE,0.8
PUC-PR,0.66
UEL,0.66
UERJ,0.66
UFAL,0.66
UFLA,0.66
UFPA,0.66
UNIOESTE,0.66
UnB,0.66
FEEC/UNICAMP,0.4
UFABC,0.4
UFJF,0.4
Unisinos,0.4
PUC Minas,0.33
PUC/PR,0.33
UFPB,0.33
UFRN,0.33
UFSJ,0.33
