Adenilton da Silva,UFPE
Alex Vieira,UFJF
Alfredo Goldman,IME/USP
Antonio Augusto Medeiros Frohlich,UFSC
Antonio Carlos Schneider Beck,UFRGS
Arthur Francisco Lorenzon,UFRGS
Bruno Zatt,UFPEL
Cesar Augusto Marcon,PUC-RS
Claudio Machado Diniz,UFRGS
Cristina Meinhardt,FURG
Felipe Franca,COPPE/UFRJ
Felipe de Souza Marques,UFPEL
Fernando Gehm Moraes,PUC-RS
George Cavalcanti,UFPE
Guido Araujo,UNICAMP
Guilherme Ribeiro Correa,UFPEL
Javam Machado,UFC
Joao Paulo Pordeus Gomes,UFC
Jose Luis Guntzel,UFSC
Laercio Pilla,UFSC
Lucas Nascimento Ferreira,UFV
Luigi Carro,UFRGS
Luis Henrique Costa,COPPE/UFRJ
Luiz Claudio Villar dos Santos,UFSC
Marcos Simplicio Jr,POLI/USP
Marilton Aguiar,UFPEL
Mateus Grellert,UFRGS
Miguel Campista,COPPE/UFRJ
Paolo Rech,UFRGS
Paulo Butzen,FURG
Renato Perez Ribas,UFRGS
Ricardo Ferreira,UFV
Ricardo Reis,UFRGS
Sergio Bampi,UFRGS
Tiago Espinola Ferreira,UFRPE
Vanderlei Bonato,ICMC/USP
