2014,CIKM,"Multi-task Sparse Structure Learning.",UNICAMP,André Ricardo Gonçalves; Puja Das; Soumyadeep Chatterjee; Vidyashankar Sivakumar; Fernando J. Von Zuben; Arindam Banerjee,http://doi.acm.org/10.1145/2661829.2662091,null
2014,CIKM,"On Efficient Meta-Level Features for Effective Text Classification.",UFSJ; UFMG; UFG,Sérgio D. Canuto; Thiago Salles; Marcos André Gonçalves; Leonardo C. da Rocha; Gabriel Spada Ramos; Luiz Gonçalves; Thierson Couto Rosa; Wellington Santos Martins,http://doi.acm.org/10.1145/2661829.2662060,null
2015,CIKM,"A Soft Computing Approach for Learning to Aggregate Rankings.",UFMG; UNICAMP,Javier Alvaro Vargas Muñoz; Ricardo da Silva Torres; Marcos André Gonçalves,http://doi.acm.org/10.1145/2806416.2806478,null
2015,CIKM,"Parallel Lazy Semi-Naive Bayes Strategies for Effective and Efficient Document Classification.",UFSJ; UFMG; UFG,Felipe Viegas; Marcos André Gonçalves; Wellington Martins; Leonardo C. da Rocha,http://doi.acm.org/10.1145/2806416.2806565,null
2016,CIKM,"Compression-Based Selective Sampling for Learning to Rank.",UFMG,Rodrigo M. Silva; Guilherme de Castro Mendes Gomes; Mário S. Alvim; Marcos André Gonçalves,http://doi.acm.org/10.1145/2983323.2983813,null
2016,CIKM,"Incorporating Risk-Sensitiveness into Feature Selection for Learning to Rank.",UFMG; UFG,Daniel Xavier de Sousa; Sérgio Daniel Canuto; Thierson Couto Rosa; Wellington Santos Martins; Marcos André Gonçalves,http://doi.acm.org/10.1145/2983323.2983792,null
2016,CIKM,"Towards the Effective Linking of Social Media Contents to Products in E-Commerce Catalogs.",UFAM,Henry S. Vieira; Altigran Soares da Silva; Pável Calado; Marco Cristo; Edleno Silva de Moura,http://doi.acm.org/10.1145/2983323.2983747,null
2017,CIKM,"Extracting Records from the Web Using a Signal Processing Approach.",UFSC,Roberto Panerai Velloso; Carina F. Dorneles,http://doi.acm.org/10.1145/3132847.3132875,null
2013,ICWE,"Identifying Candidate Datasets for Data Interlinking.",PUC-Rio; UFRJ; UFF,Luiz André P. Paes Leme; Giseli Rabello Lopes; Bernardo Pereira Nunes; Marco Antonio Casanova; Stefan Dietze,https://doi.org/10.1007/978-3-642-39200-9_29,null
2013,ICWE,"Semantic Data Driven Interfaces for Web Applications.",PUC-Rio,Vagner Nascimento; Daniel Schwabe,https://doi.org/10.1007/978-3-642-39200-9_5,null
2013,ICWE,"Summaries on the Fly: Query-Based Extraction of Structured Knowledge from Web Documents.",PUC-Rio,Besnik Fetahu; Bernardo Pereira Nunes; Stefan Dietze,https://doi.org/10.1007/978-3-642-39200-9_22,null
2013,ICWE,"USTO.RE: A Private Cloud Storage Software System.",UFC; UFBA; UFPE,Frederico Araujo Durão; Rodrigo Elia Assad; Anderson Fonseca; Jose Fernando S. Carvalho; Vinicius Cardoso Garcia; Fernando Trinta,https://doi.org/10.1007/978-3-642-39200-9_38,null
2014,ICWE,"SSUP - A URL-Based Method to Entity-Page Discovery.",UFSC; UFRGS,Edimar Manica; Renata Galante; Carina F. Dorneles,https://doi.org/10.1007/978-3-319-08245-5_15,null
2015,ICWE,"TV Goes Social: Characterizing User Interaction in an Online Social Network for TV Fans.",UFMG,Pedro Holanda; Bruno Guilherme; Ana Paula Couto da Silva; Olga Goussevskaia,https://doi.org/10.1007/978-3-319-19890-3_13,null
2016,ICWE,"MIRA: A Model-Driven Framework for Semantic Interfaces for Web Applications.",PUC-Rio,Ezequiel Bertti; Daniel Schwabe,https://doi.org/10.1007/978-3-319-38791-8_3,null
2017,ICWE,"Harvesting Forum Pages from Seed Sites.",UFPE,L; u; c; i; a; n; o;  ; B; a; r; b; o; s; a,https://doi.org/10.1007/978-3-319-60131-1_32,null
2014,ICWSM,"Working with Friends: Unveiling Working Affinity Features from Facebook Data.",UFMG,Douglas Castilho; Pedro O. S. Vaz de Melo; Daniele Quercia; Fabrício Benevenuto,http://www.aaai.org/ocs/index.php/ICWSM/ICWSM14/paper/view/8084,null
2014,ICWSM,"You Are What You Eat (and Drink): Identifying Cultural Boundaries by Analyzing Food and Drink Habits in Foursquare.",UFMG,Thiago H. Silva; Pedro O. S. Vaz de Melo; Jussara M. Almeida; Mirco Musolesi; Antonio A. F. Loureiro,http://www.aaai.org/ocs/index.php/ICWSM/ICWSM14/paper/view/8113,null
