Adriano Pereira,UFMG
Adriano Veloso,UFMG
Aline Paes,UFF
Altigran Silva,UFAM
Ana Paula Couto da Silva,UFMG
Anarosa Brandao,POLI/USP
Anna Costa,POLI/USP
Antonio Alfredo Ferreira Loureiro,UFMG
Bernardo Pereira Nunes,PUC-Rio
Carina Dorneles,UFSC
Carlos Eduardo Santos Pires,UFCG
Daniel Carlos Guimaraes Pedronette,UNESP
Diego Amancio,ICMC/USP
Edleno de Moura,UFAM
Eduardo Cerqueira,FCT/UFPA
Eduardo Cunha de Almeida,UFPR
Elizabeth Furtado,UNIFOR
Fabio Cozman,POLI/USP
Fabricio Benevenuto,UFMG
Fabricio Murai,UFMG
Fernanda Baiao,UNIRIO
Flavia Delicato,DCC/UFRJ
Flavia Santoro,UNIRIO
Helio Lopes,PUC-Rio
Humberto Marques,PUC Minas
Jean Martina,UFSC
Jeferson Campos Nobre,UFRGS
Joao Eduardo Ferreira,IME/USP
Joel Rodrigues,Inatel
Jose Fernando Rodrigues Junior,ICMC/USP
Jose Neuman de Souza,UFC
Jussara Almeida,UFMG
Karin Becker,UFRGS
Karina Valdivia Delgado,IME/USP
Leandro Balby Marinho,UFCG
Leonardo da Rocha,UFSJ
Lilian Berton,UNIFESP
Luiz Fernando Bittencourt,UNICAMP
Marcos Andre Goncalves,UFMG
Nelio Cacho,UFRN
Paulo Pires,DCC/UFRJ
Pedro Olmo,UFMG
Renata Galante,UFRGS
Ricardo Torres,UNICAMP
Robson Cordeiro,ICMC/USP
Rodrygo Santos,UFMG
Rossana Andrade,UFC
Sean Siqueira,UNIRIO
Thais Batista,UFRN
Valdinei Freire,EACH/USP
Valeria Times,UFPE
Vanessa Braganholo,UFF
Vasco Furtado,UNIFOR
Virgilio Almeida,UFMG
Wagner Meira,UFMG
Wellington Santos Martins,UFG
