NSDI,NSDI,1
SIGCOMM,SIGCOMM,1
IMC,IMC,1
CoNEXT,CoNEXT,3
INFOCOM,INFOCOM,3
ICNP,ICNP,3
IM,IM,3
NOMS,NOMS,3
PAM,PAM,3
MASCOTS,MASCOTS,3
Networking,Networking,3
CNSM,CNSM,3
MobiCom,MobiCom,1
MobiSys,MobiSys,1
MobiHoc,MobiHoc,3
MSWiM,MSWiM,3
MASS,MASS,3
SenSys,SenSys,3
IEEE Commun. Mag.,IEEE Comm. Magazine,6
IEEE Trans. Wirel. Commun.,IEEE Trans. Wireless Comm.,7
IEEE J. Sel. Areas Commun.,J. Selected Areas Comm.,5
IEEE Trans. Communications,IEEE Trans. Comm.,5
IEEE Wirel. Commun.,IEEE Wireless Commun.,6
IEEE Trans. Mob. Comput.,IEEE Trans. Mobile Comput.,4
IEEE/ACM Trans. Netw.,IEEE/ACM Trans. Networking,4
J. Netw. Comput. Appl.,J. Network Computer App.,5
Comput. Networks,Computer Networks,5
Ad Hoc Networks,Ad Hoc Networks,5
Comput. Commun.,Computer Comm.,5
IEEE Trans. Netw. Serv. Manag.,IEEE Trans. Net. Service  Mgmt.,5
ACM Trans. Sens. Networks,ACM Trans. Sensor Networks,4
IEEE Commun. Surv. Tutorials,IEEE Commun. Surv. Tutorials,5
