Alberto Schaeffer Filho,UFRGS
Aldebaro Klautau,FCT/UFPA
Aldri dos Santos,UFMG
Alex Vieira,UFJF
Altair Olivo Santin,PUC-PR
Ana Paula Couto da Silva,UFMG
Anand Subramanian,UFPB
Anarosa Brandao,POLI/USP
Andre Drummond,UnB
Andre Luiz Lins de Aquino,UFAL
Antonio Alfredo Ferreira Loureiro,UFMG
Augusto Jose Venancio Neto,UFRN
Breno Bernard Nicolau de Franca,UNICAMP
Bruno Kimura,UNIFESP
Bruno Schulze,LNCC
Carla Westphall,UFSC
Carlos Alberto Vieira Campos,UNIRIO
Carlos Becker Westphall,UFSC
Carlos Figueiredo,UEA
Carlos Henrique Costa Ribeiro,ITA
Carlos Kamienski,UFABC
Carlos Maziero,UFPR
Cassio Prazeres,UFBA
Celia Ralha,UnB
Celio Vinicius Neves de Albuquerque,UFF
Celso Massaki Hirata,ITA
Cesar Augusto Fonticielha De Rose,PUC-RS
Christian Rothenberg,FEEC/UNICAMP
Claudio Amorim,COPPE/UFRJ
Cristiano Costa,Unisinos
Cristiano Maciel da Silva,UFSJ
Daniel Carvalho da Cunha,UFPE
Daniel Fernandes Macedo,UFMG
Daniel Guidoni,UFSJ
Daniel Menasche,DCC/UFRJ
Debora Muchaluat Saade,UFF
Denis Rosario,UFPA
Diego Gimenez Passos,UFF
Divanilson Campelo,UFPE
Djamel Sadok,UFPE
Dorgival Guedes,UFMG
Edison Pignaton de Freitas,UFRGS
Edmundo Madeira,UNICAMP
Edmundo de Souza e Silva,COPPE/UFRJ
Eduardo Cerqueira,FCT/UFPA
Eduardo Nakamura,UFAM
Eduardo Souto,UFAM
Elias Duarte,UFPR
Elizabeth Wanner,CEFET-MG
Emanuel Bezerra Rodrigues,UFC
Fabiano Passuelo Hessel,PUC-RS
Fabio Verdi,UFSCar
Fernando Trinta,UFC
Flavia Delicato,DCC/UFRJ
Flavio Figueiredo,UFMG
Flavio Silva,UFU
Frank Siqueira,UFSC
Fred Freitas,UFPE
Gabriel Luca Nazar,UFRGS
Geraldo Robson Mateus,UFMG
Guilherme Maia,UFMG
Gustavo Figueiredo,UFBA
Gustavo Pavani,UFABC
Gustavo Pessin,ITV
Horacio Oliveira,UFAM
Igor Moraes,UFF
Ingrid Oliveira,UFRGS
Islene Garcia,UNICAMP
Italo Cunha,UFMG
Jacir Bordim,UnB
Jeferson Campos Nobre,UFRGS
Jo Ueyama,ICMC/USP
Joao Paulo Papa,UNESP
Joel Rodrigues,Inatel
Jonice Oliveira,DCC/UFRJ
Jose Ferreira de Rezende,COPPE/UFRJ
Jose Marcos Nogueira,UFMG
Jose Neuman de Souza,UFC
Juliano Wickboldt,UFRGS
Jussara Almeida,UFMG
Kelvin Lopes Dias,UFPE
Leandro Villas,UNICAMP
Leobino Sampaio,UFBA
Leonardo Barbosa Oliveira,UFMG
Leticia Peres,UFPR
Li Weigang,UnB
Lincoln Rocha,UFC
Linnyer Ruiz,UEM
Lisandro Zambenedetti Granville,UFRGS
Luci Pirmez,NCE/UFRJ
Luciana Buriol,UFRGS
Luciana Zaina,UFSCar
Luciano Gaspary,UFRGS
Luis Carlos De Bona,UFPR
Luis Henrique Costa,COPPE/UFRJ
Luiz Chaimowicz,UFMG
Luiz Eduardo Soares Oliveira,UFPR
Luiz Fernando Bittencourt,UNICAMP
Luiz Filipe Vieira,UFMG
Magnos Martinello,UFES
Marcelo Marotta,UnB
Marcelo Rubinstein,UERJ
Marco Antonio Zanata Alves,UFPR
Marcos Simplicio Jr,POLI/USP
Marcos Vieira,UFMG
Maria Nascimento,UNIFESP
Marinho Barcellos,UFRGS
Mario Antonio Ribeiro Dantas,UFJF
Mario Lemes Proenca,UEL
Markus Endler,PUC-Rio
Michele Nogueira,UFMG
Michelle Wangham,UNIVALI
Miguel Campista,COPPE/UFRJ
Miguel Castro,UFC
Mirella Moro,UFMG
Moises Ribeiro,UFES
Nelson Fonseca,UNICAMP
Olga Goussevskaia,UFMG
Otto Carlos Duarte,COPPE/UFRJ
Paulo Antonio Leal Rego,UFC
Paulo Maciel,UFPE
Paulo Pires,DCC/UFRJ
Pedro Braconnot Velloso,COPPE/UFRJ
Pedro Frosi,UFU
Pedro Olmo,UFMG
Rafael Lopes Gomes,UECE
Rafael Pasquini,UFU
Rafael de Sousa Junior,UnB
Raimundo Barreto,UFAM
Ricardo Torres,UNICAMP
Rodolfo Villaca,UFES
Rodrigo Righi,Unisinos
Rodrigo Sanches Miani,UFU
Rodrigo de Souza Couto,COPPE/UFRJ
Ronaldo Ferreira,UFMS
Rosa Leao,COPPE/UFRJ
Rossana Andrade,UFC
Sandro Rigo,UNICAMP
Sergio Bampi,UFRGS
Silvana Rossetto,DCC/UFRJ
Stenio Fernandes,UFPE
Sylvio Barbon Junior,UEL
Thiago Noronha,UFMG
Thiago Silva,UTFPR
Valter Roesler,UFRGS
Vinicius Santos,UFMG
Vivek Nigam,UFPB
Wagner Meira,UFMG
Weverton Cordeiro,UFRGS
