UFMG,31.63
UFRGS,25.65
UNICAMP,13.24
Inatel,10.34
UFPR,8.03
COPPE/UFRJ,7.72
DCC/UFRJ,6.45
UFPE,6.39
FCT/UFPA,6.19
UFC,4.53
UFSJ,3.32
UFAL,2.93
UnB,2.92
UFJF,2.66
UNIFESP,2.4
UFAM,2.33
ICMC/USP,2.26
UERJ,2.2
UFF,2.19
UFU,2.19
ITA,1.93
UFES,1.86
PUC-Rio,1.73
FEEC/UNICAMP,1.72
UEM,1.53
UFRN,1.53
UFSC,1.53
PUC-RS,1.39
LNCC,1.2
PUC-PR,1.2
UTFPR,1.06
UFMS,1.0
NCE/UFRJ,0.8
POLI/USP,0.8
PUC Minas,0.8
UECE,0.8
UEL,0.8
UFBA,0.8
Unisinos,0.8
ITV,0.73
IME/USP,0.4
UEA,0.4
UFABC,0.4
UFSCar,0.4
UNIVALI,0.4
CEFET-MG,0.33
