SIGCOMM,ACM SIGCOMM,250,36,14.4,67,top,12
NSDI,Usenix,254,46,18.1,62,top,12
MobiCom,ACM SIGMOBILE,186,35,18.8,45,top,12
MobiSys,ACM SIGMOBILE,188,34,18.1,47,top,12
IMC,ACM SIGCOMM,179,42,23.5,46,top,13
CoNEXT,ACM SIGCOMM,171,31,18.1,35,top,12
INFOCOM,IEEE ComSoc,1395,292,20.9,80,,8
NOMS,IEEE ComSoc/IFIP,213,54,25.4,25,,8
PAM,,87,20,23,25,,12
ICNP,IEEE CS,201,39,19.4,23,,10
Networking,IFIP,150,43,28.7,23,,9
IM,,154,44,28.6,22,,8
CNSM,IEEE CS,116,17,14.7,21,,9
MASCOTS,IEEE CS,84,20,23.8,19,,10
LCN,IEEE CS,197,56,28.4,17,,8
SenSys,ACM SIGMOBILE,119,21,17.6,29,,12
MobiHoc,ACM SIGMOBILE,170,27,15.9,26,,10
MASS,IEEE CS,134,40,29.9,21,,9
MSWiM,ACM SIGSIM,142,29,20.4,15,,8
