European Journal of Operational Research (EJOR),Elsevier,608,86,other,10
Computers & Operations Research (Computers & OR),Elsevier,219,58,,10
Mathematical Programming (Math Program),Springer,101,51,,10
SIAM Journal on Optimization (SIAM J Opt),SIAM,104,48,,10
SIAM Journal on Num. Analysis (SIAM J Num Analysis),SIAM,129,45,,10
Annals of Operations Research (Annals OR),Springer,289,44,,10
SIAM Journal on Computing (SIAM J Comp),SIAM,60,39,,10
SIAM J. on Control And Optimization (SIAM J Contr Opt),SIAM,158,38,,10
Journal of Global Optimization (J Global Opt),Springer,119,35,,10
J. of Optimization Theory and Applications (J Opt Th Appl) ,Springer,178,34,,10
Comput. Optimization and Applications (Comp Opt Appl),Springer,72,31,,10
Journal of The Operational Research Society (JORS),Palgrave,105,31,,10
Mathematics of Operations Research (Math OR),Informs,40,31,,10
INFORMS Journal on Computing (INFORMS J Comp),Informs,24,28,,10
Optimization Letters (Opt Letters),Springer,107,27,,10
Journal of Combinatorial Optimization (J Comb Opt),Springer,138,26,,10
Optimization Methods & Software (Opt Methods & Sw),Taylor Francis,59,25,,10
Num. Linear Algebra With Applications (Num Linear Alg),Wiley,51,24,,10
Int. Transactions in Operational Research (ITOR),Wiley,69,23,,10
Journal of Heuristics (J Heuristics),Springer,20,22,,10
