Ademir Constantino,UEM,117/3036
Alexandre Salles da Cunha,UFMG,18/1842
Andre Ponce de Leon Carvalho,USP,c/ACPLFdCarvalho
Andre Renato Villela da Silva,UFF,67/7433
Aurelio Ribeiro de Oliveira,Unicamp,09/852
Celso Ribeiro,UFF,26/4167
Cid Carvalho de Souza,Unicamp,42/819
Cristiana Bentes,UERJ,b/CristianaBentes
Cristiano Arbex Valle,UFMG,21/2276
Dario Aloise,UERN,80/297
Dilson Lucas Pereira,UFLA,80/4607
Fabio Protti,UFF,61/2851
Flavio Keidi Miyazawa,Unicamp,m/FlavioKeidiMiyazawa
Geraldo Robson Mateus,UFMG,20/1803
Haroldo Gambini Santos,UFOP,86/1473
Horacio Hideki Yanasse,UNIFESP,42/2992
Luciana Buriol,UFRGS,b/LucianaSBuriol
Lucidio Formiga Cabral,UFPB,92/2618
Luiz Satoru Ochi,UFF,o/LuizSatoruOchi
Manoel Bezerra Campelo Neto,UFC,65/3124
Marcone Souza,UFOP,26/4
Marcus Poggi,PUC-Rio,63/4961
Maria Claudia Boeres,UFES,31/2757
Maria Cristina Rangel,UFES,202/5120
Maristela Santos,ICMC/USP,50/8057
Nelson Maculan,UFRJ,94/4688
Paulo Morelato Franca,UNESP,26/3690
Puca Huachi Penna,UFOP,25/11483
Roberto Quirino Nascimento,UFPB,31/8725
Rosiane de Freitas,UFAM,47/7842
Sebastian Alberto Urrutia,UFMG,u/SebastianUrrutia
Simone de Lima Martins,UFF,50/11138
Thiago Noronha,UFMG,43/4309
Vinicius Santos,UFMG,60/9133
