Alexandre Delbem,ICMC/USP
Alexandro Baldassin,UNESP
Alvaro Moreira,UFRGS
Andre Maidl,PUC-PR
Andre Rauber du Bois,UFPEL
Andre Santos,UFPE
Carlos Camarao,UFMG
Edson Borin,UNICAMP
Eduardo Almeida,UFBA
Erika Cota,UFRGS
Fabiano Ferrari,UFSCar
Fabio Mascarenhas,DCC/UFRJ
Fernando Castor,UFPE
Fernando Pereira,UFMG
Francisco Heron de Carvalho,UFC
Gerson Geraldo Cavalheiro,UFPEL
Guido Araujo,UNICAMP
Gustavo Pinto,UFPA
Jose Carlos Maldonado,ICMC/USP
Juliana Kaizer Vizzotto,UFSM
Leonardo Barbosa,UFMG
Leopoldo Teixeira,UFPE
Lucilia Figueiredo,UFOP
Luis Fabricio Goes,PUC Minas
Luiz Martins,UFU
Marcelo d'Amorim,UFPE
Marcio Ribeiro,UFAL
Mauricio Pilla,UFPEL
Melina Mongiovi,UFCG
Paola Accioly,UFCA
Paulo Borba,UFPE
Renata Reiser,UFPEL
Roberto Bigonha,UFMG
Roberto Ierusalimschy,PUC-Rio
Rohit Gheyi,UFCG
Vinicius Santos,UFMG
Vladimir Iorio,UFV
