Abel Guilhermino da Silva Filho,UFPE,AI
Adenauer Yamin,UFPEL,ARCH
Adenilso Simao,ICMC/USP,SE
Adenilton da Silva,UFRPE,AI
Adilson Elias Xavier,COPPE/UFRJ,OR
Adriane Serapiao,UNESP,AI
Adriano Oliveira,UFPE,AI
Adriano Pereira,UFMG,IR
Adriano Veloso,UFMG,IR
Adriao Duarte Doria Neto,UFRN,AI
Agma Traina,ICMC/USP,DATA
Alana Da Gama,UFPE,AI
Alba Melo,UnB,ARCH
Alberto Ferreira De Souza,UFES,ROBOTICS
Alberto Laender,UFMG,IR
Alberto Raposo,PUC-Rio,CHI
Alberto Schaeffer Filho,UFRGS,NET
Alceu Souza Britto,PUC/PR,VISION
Aldri dos Santos,UFPR,NET
Alejandro Frery,UFAL,VISION
Alessandra Alaniz Macedo,FFCLRP/USP,AI
Alessandro Garcia,PUC-Rio,SE
Aleteia de Araujo,UnB,BIO
Alex Garcia,IME/RJ,THEORY
Alex Vieira,UFJF,NET
Alexandre Delbem,ICMC/USP,AI
Alexandre Falcao,UNICAMP,VISION
Alexandre Mota,UFPE,FORMAL
Alexandre Plastino,UFF,DATA
Alexandre Salles da Cunha,UFMG,OR
Alexandre Vasconcelos,UFPE,SE
Alexandro Baldassin,UNESP,PL
Alfredo Goldman,IME/USP,ARCH
Aline Paes,UFF,DATA
Alneu de Andrade Lopes,ICMC/USP,AI
Altair Olivo Santin,PUC-PR,NET
Altigran Silva,UFAM,IR
Aluizio Araujo,UFPE,AI
Alvaro Moreira,UFRGS,DS
Ana Bazzan,UFRGS,AI
Ana Carolina Lorena,UNIFESP,AI
Ana Carolina Salgado,UFPE,AI
Ana Cristina Vendramin,UTFPR,AI
Ana Paula Couto da Silva,UFMG,IR
Ana Teresa Martins,UFC,FORMAL
Ana de Melo,IME/USP,SE
Anarosa Brandao,POLI/USP,AI
Anderson Almeida Ferreira,UFOP,IR
Anderson Maciel,UFRGS,CHI
Anderson Rocha,UNICAMP,VISION
Andre Backes,UFU,AI
Andre Coelho,UNIFOR,AI
Andre Drummond,UnB,NET
Andre Fujita,IME/USP,BIO
Andre Gregio,UFPR,SECURITY
Andre Hora,UFMS,SE
Andre Kashiwabara,UTFPR,BIO
Andre Luiz Lins de Aquino,UFAL,NET
Andre Maidl,PUC-PR,PL
Andre Ponce de Leon Carvalho,ICMC/USP,AI
Andre Renato Villela da Silva,UFF,AI
Andre Rossi,UNESP,OR
Andre Santos,UFPE,PL
Andre Schneider de Oliveira,UTFPR,ROBOTICS
Andreia Malucelli,PUC-PR,SE
Andrey Brito,UFCG,DS
Andrey Pimentel,UFPR,NET
Anelise Munaretto,UTFPR,AI
Angelo Brayner,UNIFOR,ARCH
Anisio Lacerda,CEFET-MG,AI
Anna Costa,POLI/USP,AI
Anne Canuto,UFRN,AI
Anselmo Cardoso de Paiva,UFMA,AI
Antonio Alfredo Ferreira Loureiro,UFMG,NET
Antonio Augusto Medeiros Frohlich,UFSC,HARDWARE
Antonio Carlos Schneider Beck,UFRGS,HARDWARE
Antonio Carlos da Rocha Costa,UFRGS,DATA
Antonio Furtado,PUC-Rio,DBIS
Antonio Miguel Vieira Monteiro,INPE,DBIS
Antonio Tadeu Gomes,LNCC,DS
Aparecido Marana,UNESP,VISION
Arilo Dias Neto,UFAM,SE
Arnaldo Araujo,UFMG,VISION
Arnaldo Moura,UNICAMP,FORMAL
Artur Ziviani,LNCC,NET
Augusto Jose Venancio Neto,UFRN,NET
Augusto Sampaio,UFPE,FORMAL
Aurelio Ribeiro de Oliveira,UNICAMP,OR
Auri Vincenzi,UFSCAR,SE
Aurora Pozo,UFPR,AI
Avelino Zorzo,PUC-RS,SE
Ayla Dantas,UFPB,CSE
Baldoino Fonseca,UFAL,SE
Benjamin Bedregal,UFRN,AI
Bernardo Pereira Nunes,PUC-Rio,DBIS
Bruno Cafeo,UFMS,SE
Bruno Cartaxo,IFPE,SE
Bruno Castro da Silva,UFRGS,DATA
Bruno Feijo,PUC-Rio,SE
Bruno Queiroz Pinto,IFTM,OR
Bruno Schulze,LNCC,NET
Bruno Souza,UFMA,AI
Bruno Zatt,UFPEL,HARDWARE
Caetano Traina,ICMC/USP,DBIS
Carina Dorneles,UFSC,IR
Carina Frota Alves,UFPE,SE
Carla Delgado,DCC/UFRJ,AI
Carla Freitas,UFRGS,VISION
Carla Leitao,PUC-Rio,CSE
Carla Taciana,UFPE,SE
Carla Westphall,UFSC,NET
Carlos Alberto de Jesus Martinhon,UFF,OR
Carlos Alexandre Barros de Mello,UFPE,AI
Carlos Becker Westphall,UFSC,NET
Carlos Camarao,UFMG,PL
Carlos Ferraz,UFPE,AI
Carlos Ferreira,IME/USP,THEORY
Carlos Figueiredo,UEA,NET
Carlos Henrique Costa Ribeiro,ITA,NET
Carlos Kamienski,UFABC,NET
Carlos Lucena,PUC-Rio,SE
Carlos Maziero,UFPR,NET
Carlos Olarte,UFRN,FORMAL
Carlos Silla,PUC-PR,VISION
Carmem Hara,UFPR,DS
Cecilia Baranauskas,UNICAMP,CHI
Celia Ralha,UnB,AI
Celia Zorzo Barcelos,UFU,VISION
Celina de Figueiredo,COPPE/UFRJ,THEORY
Celio Vinicius Neves de Albuquerque,UFF,NET
Celso Massaki Hirata,ITA,NET
Celso Ribeiro,UFF,OR
Celso Saibel Santos,UFES,IR
Cesar Augusto Fonticielha De Rose,PUC-RS,ARCH
Cesar Tacla,UTFPR,AI
Christian Rothenberg,UNICAMP,NET
Christiane von Wangenheim,UFSC,CSE
Christiano Braga,UFF,FORMAL
Christina Chavez,UFBA,SE
Cid Carvalho de Souza,UNICAMP,OR
Clarisse de Souza,PUC-Rio,CHI
Claudia Linhares Sales,UFC,THEORY
Claudia Nalon,UnB,FORMAL
Claudia Werner,COPPE/UFRJ,SE
Claudine Badue,UFES,AI
Claudio Amorim,COPPE/UFRJ,ARCH
Claudio Campelo,UFCG,AI
Claudio Geyer,UFRGS,ARCH
Claudio Jung,UFRGS,VISION
Claudio Sant’Anna,UFBA,SE
Claudio Toledo,ICMC/USP,AI
Claudson Bornstein,DCC/UFRJ,THEORY
Cleber Zanchettin,UFPE,AI
Cleidson Souza,UFPA,SE
Clodis Boscarioli,UNIOESTE,CHI
Clodoaldo Lima,EACH/USP,AI
Clodoveu Davis,UFMG,DBIS
Creto Vidal,UFC,AI
Cristiana Bentes,UERJ,OR
Cristiano Arbex Valle,UFMG,OR
Cristiano Costa,Unisinos,ARCH
Cristiano Maciel da Silva,UFSJ,NET
Cristina Boeres,UFF,ARCH
Cristina Ciferri,ICMC/USP,DBIS
Cristina Fernandes,IME/USP,THEORY
Dalton Guerrero,UFCG,SE
Daltro Nunes,UFRGS,SE
Daniel Batista,IME/USP,DBIS
Daniel Carlos Guimaraes Pedronette,UNESP,VISION
Daniel Cordeiro,EACH/USP,ARCH
Daniel Fernandes Macedo,UFMG,NET
Daniel Figueiredo,COPPE/UFRJ,DATA
Daniel Guidoni,UFSJ,NET
Daniel Kaster,UEL,DBIS
Daniel Menasche,DCC/UFRJ,NET
Daniel Morgato Martin,UFABC,THEORY
Daniel Osaku,UFSCAR,DATA
Daniel Schwabe,PUC-Rio,DATA
Daniel de Oliveira,UFF,ARCH
Danielo Gomes,UFC,ARCH
Danilo Sanches,UTFPR,AI
Dante Augusto Couto Barone,URGS,VISION
Dario Aloise,UERN,OR
David Martins,UFABC,DATA
