2019,Knowledge-Based Syst.,": A semantic indexing scheme for structured, unstructured, and partly structured data.",Joe Tekli; Richard Chbeir; Agma J. M. Traina; Caetano Traina Jr.,https://doi.org/10.1016/j.knosys.2018.11.010,null,J,no_arxiv,3
2017,ACM TKDD,"Modeling Temporal Activity to Detect Anomalous Behavior in Social Media.",Alceu Ferraz Costa; Yuto Yamaguchi; Agma Juci Machado Traina; Caetano Traina Jr.; Christos Faloutsos,https://doi.org/10.1145/3064884,top,J,no_arxiv,1
2017,SDM,"VolTime: Unsupervised Anomaly Detection on Users' Online Activity Volume.",Daniel Y. T. Chino; Alceu Ferraz Costa; Agma J. M. Traina; Christos Faloutsos,https://doi.org/10.1137/1.9781611974973.13,null,C,no_arxiv,2
2016,ICDM,"Vote-and-Comment: Modeling the Coevolution of User Interactions in Social Voting Web Sites.",Alceu Ferraz Costa; Agma Juci Machado Traina; Caetano Traina Jr.; Christos Faloutsos,https://doi.org/10.1109/ICDM.2016.0020,top,C,no_arxiv,2
2015,Inf. Sciences,"Approximate XML structure validation based on document-grammar tree similarity.",Joe Tekli; Richard Chbeir; Agma J. M. Traina; Caetano Traina Jr.; Renato Fileto,https://doi.org/10.1016/j.ins.2014.09.044,null,J,no_arxiv,7
2015,KDD,"RSC: Mining and Modeling Temporal Activity in Social Media.",Alceu Ferraz Costa; Yuto Yamaguchi; Agma Juci Machado Traina; Caetano Traina Jr.; Christos Faloutsos,https://doi.org/10.1145/2783258.2783294,top,C,no_arxiv,19
2019,Inf. Systems,"Querying on large and complex databases by content: Challenges on variety and veracity regarding real applications.",Agma J. M. Traina; Safia Brinis; Glauco Vitor Pedrosa; Letricia P. S. Avalhais; Caetano Traina Jr.,https://doi.org/10.1016/j.is.2019.03.012,null,J,no_arxiv,0
2018,Data & Knowl. Eng.,"The Merkurion approach for similarity searching optimization in Database Management Systems.",Marcos V. N. Bedo; Daniel S. Kaster; Agma J. M. Traina; Caetano Traina Jr.,https://doi.org/10.1016/j.datak.2017.09.003,null,J,no_arxiv,0
2018,Data & Knowl. Eng.,"Full-fledged semantic indexing and querying model designed for seamless integration in legacy RDBMS.",Joe Tekli; Richard Chbeir; Agma J. M. Traina; Caetano Traina; Kokou Yétongnon; Carlos Raymundo Ibañez; Marc Al Assad; Christian Kallas,https://doi.org/10.1016/j.datak.2018.07.007,null,J,no_arxiv,4
2015,Inf. Systems,"Similarity sets: A new concept of sets to seamlessly handle similarity in database management systems.",Ives Rene Venturini Pola; Robson L. F. Cordeiro; Caetano Traina Jr.; Agma J. M. Traina,https://doi.org/10.1016/j.is.2015.01.011,null,J,no_arxiv,3
2017,Multimedia Tools Appl.,"Retrieving 2D shapes by similarity based on bag of salience points.",Glauco Vitor Pedrosa; Agma J. M. Traina; Célia A. Zorzo Barcelos,https://doi.org/10.1007/s11042-016-4046-2,null,J,no_arxiv,1
2018,CIKM,"Efficient and Reliable Estimation of Cell Positions.",Mirela T. Cazzolato; Agma J. M. Traina; Klemens Böhm,https://doi.org/10.1145/3269206.3271734,null,C,no_arxiv,0
2018,PRL,"How to speed up outliers removal in image matching.",Jonathan S. Ramos; Carolina Yukari Veludo Watanabe; Caetano Traina; Agma J. M. Traina,https://doi.org/10.1016/j.patrec.2017.08.010,null,J,no_arxiv,1
