2022,Int. J. Parallel Programming,"A Profile-Based AI-Assisted Dynamic Scheduling Approach for Heterogeneous Architectures.",Tongsheng Geng; Marcos Amaris; Stéphane Zuckerman; Alfredo Goldman; Guang R. Gao; Jean-Luc Gaudiot,https://doi.org/10.1007/s10766-021-00721-2,null,J,no_arxiv,0
2021,Concurrency and Computation,"A CPU-FPGA heterogeneous approach for biological sequence comparison using high-level synthesis.",Carlos Antônio Campos Jorge; Alexandre Solon Nery; Alba C. M. A. Melo; Alfredo Goldman,https://doi.org/10.1002/cpe.6007,null,J,no_arxiv,0
2019,MICRO,"Adding Tightly-Integrated Task Scheduling Acceleration to a RISC-V Multi-core Processor.",Lucas Morais; Vitor Silva; Alfredo Goldman; Carlos Álvarez 0001; Jaume Bosch; Michael Frank 0008; Guido Araujo,https://doi.org/10.1145/3352460.3358271,top,C,no_arxiv,0
2017,Concurrency and Computation,"Autotuning CUDA compiler parameters for heterogeneous applications using the OpenTuner framework.",Pedro Bruel; Marcos Amaris; Alfredo Goldman,https://doi.org/10.1002/cpe.3973,null,J,no_arxiv,0
2017,Concurrency and Computation,"Computer architecture and high performance computing.",Alfredo Goldman; Luciana Arantes; Edward Moreno,https://doi.org/10.1002/cpe.4348,null,J,no_arxiv,0
2019,CCGrid,"Autotuning Under Tight Budget Constraints: A Transparent Design of Experiments Approach.",Pedro Bruel; Steven Quinito Masnada; Brice Videau; Arnaud Legrand; Jean-Marc Vincent; Alfredo Goldman,https://doi.org/10.1109/CCGRID.2019.00026,null,C,no_arxiv,0
2021,IEEE Software,"Improving Parallelism in Git and GNU Compiler Collection: Strategies, Difficulties, and Lessons Learned.",Matheus Tavares Bernardino; Giuliano Belinassi; Paulo Meirelles; Eduardo Martins Guerra; Alfredo Goldman,https://doi.org/10.1109/MS.2020.3020932,null,J,no_arxiv,0
2020,JSEP,"Agile ways of working: A team maturity perspective.",Lucas Gren; Alfredo Goldman; Christian Jacobsson,https://doi.org/10.1002/smr.2244,null,J,http://arxiv.org/abs/1911.09064v1,0
2020,IEEE Software,"Group-Development Psychology Training: The Perceived Effects on Agile Software-Development Teams.",Lucas Gren; Alfredo Goldman; Christian Jacobsson,https://doi.org/10.1109/MS.2019.2955675,null,J,no_arxiv,0
2019,IST,"A model of requirements engineering in software startups.",Jorge Melegati; Alfredo Goldman; Fabio Kon; Xiaofeng Wang 0001,https://doi.org/10.1016/j.infsof.2019.02.001,null,J,no_arxiv,0
