2020,Computer Networks,"On solving the capacitated routing and spectrum allocation problem for flexgrid optical networks.",Carlos M. Araújo; João Marcos P. Silva; Anand Subramanian 0001; Iguatemi E. Fonseca,https://doi.org/10.1016/j.comnet.2020.107535,null,J,no_arxiv,0
2025,Opt Letters,"Population-based iterated local search for batch scheduling on parallel machines with incompatible job families, release dates, and tardiness penalties.",José Maurício Fernandes Medeiros; Anand Subramanian 0001; Eduardo Queiroga,https://doi.org/10.1007/s11590-024-02116-x,null,J,no_arxiv,0
2024,Computers & OR,"A unified exact approach for a broad class of vehicle routing problems with simultaneous pickup and delivery.",Rafael Praxedes; Teobaldo Bulhões; Anand Subramanian 0001; Eduardo Uchoa,https://doi.org/10.1016/j.cor.2023.106467,null,J,no_arxiv,0
2024,EJOR,"Exact and heuristic algorithms for minimizing the makespan on a single machine scheduling problem with sequence-dependent setup times and release dates.",Rafael Morais; Teobaldo Bulhões; Anand Subramanian 0001,https://doi.org/10.1016/j.ejor.2023.11.024,null,J,no_arxiv,0
2024,EJOR,"The maximum length car sequencing problem.",Lara Pontes; Carlos Neves 0005; Anand Subramanian 0001; Maria Battarra,https://doi.org/10.1016/j.ejor.2024.02.024,null,J,no_arxiv,0
2023,Computers & OR,"Hybrid genetic search for the traveling salesman problem with hybrid electric vehicle and time windows.",Yure Rocha; Anand Subramanian 0001,https://doi.org/10.1016/j.cor.2023.106223,null,J,no_arxiv,0
2023,Transp. Science,"Exponential-Size Neighborhoods for the Pickup-and-Delivery Traveling Salesman Problem.",Toni Pacheco; Rafael Martinelli; Anand Subramanian 0001; Túlio A. M. Toffolo; Thibaut Vidal,https://doi.org/10.1287/trsc.2022.1176,null,J,no_arxiv,0
2022,EJOR,"Conference scheduling: A clustering-based approach.",Teobaldo Bulhões; Rubens Correia; Anand Subramanian 0001,https://doi.org/10.1016/j.ejor.2021.04.042,null,J,no_arxiv,0
2022,INFORMS J Compt,"Exact Approaches for Single Machine Total Weighted Tardiness Batch Scheduling.",Artur Alves Pessoa; Teobaldo Bulhões; Vitor Nesello; Anand Subramanian 0001,https://doi.org/10.1287/ijoc.2021.1133,top,J,no_arxiv,0
2022,JORS,"Scheduling the Brazilian OR conference.",Rubens Correia; Anand Subramanian 0001; Teobaldo Bulhões; Puca Huachi Vaz Penna,https://doi.org/10.1080/01605682.2021.1915194,null,J,no_arxiv,0
2021,Computers & OR,"A simple and effective hybrid genetic search for the job sequencing and tool switching problem.",Jordana Mecler; Anand Subramanian 0001; Thibaut Vidal,https://doi.org/10.1016/j.cor.2020.105153,null,J,http://arxiv.org/abs/1910.10021v1,0
2021,Computers & OR,"A hybrid algorithm for the multi-depot heterogeneous dial-a-ride problem.",Igor Malheiros; Rodrigo Ramalho; Bruno Passeti; Teobaldo Bulhões; Anand Subramanian 0001,https://doi.org/10.1016/j.cor.2020.105196,null,J,no_arxiv,0
2021,EJOR,"A satisfiability and workload-based exact method for the resource constrained project scheduling problem with generalized precedence constraints.",Guilherme Henrique Ismael de Azevedo; Artur Alves Pessoa; Anand Subramanian 0001,https://doi.org/10.1016/j.ejor.2019.07.056,null,J,no_arxiv,0
2021,J Global Opt,"Integer programming formulations and efficient local search for relaxed correlation clustering.",Eduardo Queiroga; Anand Subramanian 0001; Rosa Figueiredo 0001; Yuri Frota,https://doi.org/10.1007/s10898-020-00989-7,null,J,no_arxiv,0
2021,JORS,"Exact and metaheuristic approaches for identical parallel machine scheduling with a common server and sequence-dependent setup times.",João Marcos P. Silva; Ewerton Teixeira; Anand Subramanian 0001,https://doi.org/10.1080/01605682.2019.1671153,null,J,no_arxiv,0
2021,Opt Letters,"Personnel scheduling during Covid-19 pandemic.",Giorgio Zucchi; Manuel Iori; Anand Subramanian 0001,https://doi.org/10.1007/s11590-020-01648-2,null,J,no_arxiv,0
2020,Computers & OR,"Optimizing single-finger keyboard layouts on smartphones.",Ana Beatriz Herthel; Anand Subramanian 0001,https://doi.org/10.1016/j.cor.2020.104947,null,J,no_arxiv,0
2020,EJOR,"On the exact solution of vehicle routing problems with backhauls.",Eduardo Queiroga; Yuri Frota; Ruslan Sadykov; Anand Subramanian 0001; Eduardo Uchoa; Thibaut Vidal,https://doi.org/10.1016/j.ejor.2020.04.047,null,J,no_arxiv,0
2020,Opt Letters,"Solution strategies for the vehicle routing problem with backhauls.",Anand Subramanian 0001; Eduardo Queiroga,https://doi.org/10.1007/s11590-020-01564-5,null,J,no_arxiv,0
