2024,Supercomputing,"Allok: a machine learning approach for efficient graph execution on CPU-GPU clusters.",Marcelo K. Moori; Hiago Mayk G. de A. Rocha; Arthur Francisco Lorenzon; Antonio C. S. Beck,https://doi.org/10.1007/s11227-024-06079-9,null,J,no_arxiv,0
2024,IEEE TPDS,"Synergistically Rebalancing the EDP of Container-Based Parallel Applications.",Vinicius S. da Silva; Everton Camargo de Lima; Janaina Schwarzrock; Fábio D. Rossi; Marcelo Caggiani Luizelli; Antonio Carlos Schneider Beck; Arthur Francisco Lorenzon,https://doi.org/10.1109/TPDS.2024.3357353,top,J,no_arxiv,0
2023,J. Parallel Distrib. Comput.,"Energy-aware fully-adaptive resource provisioning in collaborative CPU-FPGA cloud environments.",Michael Guilherme Jordan; Guilherme Korol; Tiago Knorst; Mateus Beck Rutzig; Antonio Carlos Schneider Beck,https://doi.org/10.1016/j.jpdc.2023.02.009,null,J,no_arxiv,0
2023,PDP,"Automatic CPU-GPU Allocation for Graph Execution.",Marcelo K. Moori; Hiago Mayk G. de A. Rocha; Matheus A. Silva; Janaina Schwarzrock; Arthur Francisco Lorenzon; Antonio Carlos Schneider Beck,https://doi.org/10.1109/PDP59025.2023.00013,null,C,no_arxiv,0
2021,Int. J. Parallel Programming,"Enabling Near-Data Accelerators Adoption by Through Investigation of Datapath Solutions.",Paulo C. Santos 0001; João Paulo Cardoso de Lima; Rafael Fão de Moura; Marco A. Z. Alves; Antonio C. S. Beck; Luigi Carro,https://doi.org/10.1007/s10766-020-00674-y,null,J,no_arxiv,0
2021,J. Parallel Distrib. Comput.,"Improving multitask performance and energy consumption with partial-ISA multicores.",Jeckson Dellagostin Souza; Pedro Henrique Exenberger Becker; Antonio Carlos Schneider Beck,https://doi.org/10.1016/j.jpdc.2021.02.007,null,J,no_arxiv,0
2021,J. Parallel Distrib. Comput.,"Mitigating the processor aging through dynamic concurrency throttling.",Thiarles S. Medeiros; Luan Pereira; Fábio Diniz Rossi; Marcelo Caggiani Luizelli; Antonio Carlos Schneider Beck; Arthur Francisco Lorenzon,https://doi.org/10.1016/j.jpdc.2021.05.006,null,J,no_arxiv,0
2021,ACM TECS,"Synergistically Exploiting CNN Pruning and HLS Versioning for Adaptive Inference on Multi-FPGAs at the Edge.",Guilherme Korol; Michael Guilherme Jordan; Mateus Beck Rutzig; Antonio Carlos Schneider Beck,https://doi.org/10.1145/3476990,top,J,no_arxiv,0
2021,IEEE TPDS,"A Runtime and Non-Intrusive Approach to Optimize EDP by Tuning Threads and CPU Frequency for OpenMP Applications.",Janaina Schwarzrock; Charles Cardoso De Oliveira; Marcus Ritt; Arthur Francisco Lorenzon; Antonio Carlos Schneider Beck,https://doi.org/10.1109/TPDS.2020.3046537,top,J,no_arxiv,0
2021,PDP,"Optimizing Parallel Applications via Dynamic Concurrency Throttling and Turbo Boosting.",Sandro M. Marques; Thiarles S. Medeiros; Matheus S. Serpa; Fábio D. Rossi; Marcelo Caggiani Luizelli; Philippe O. A. Navaux; Antonio Carlos Schneider Beck; Arthur Francisco Lorenzon,https://doi.org/10.1109/PDP52278.2021.00032,null,C,no_arxiv,0
2021,PDP,"Boosting Graph Analytics by Tuning Threads and Data Affinity on NUMA Systems.",Hiago Mayk G. de A. Rocha; Janaina Schwarzrock; Arthur Francisco Lorenzon; Antonio Carlos Schneider Beck,https://doi.org/10.1109/PDP52278.2021.00033,null,C,no_arxiv,0
2020,PDP,"Decreasing the Learning Cost of Offline Parallel Application Optimization Strategies.",Gustavo Berned; Fábio Diniz Rossi; Marcelo Caggiani Luizelli; Antonio Carlos Schneider Beck; Arthur Francisco Lorenzon,https://doi.org/10.1109/PDP50117.2020.00028,null,C,no_arxiv,0
2023,Concurr. & Computation,"Mitigating execution unit contention in parallel applications using instruction-aware mapping.",Matheus S. Serpa; Eduardo H. M. Cruz; Matthias Diener; Arthur Francisco Lorenzon; Antonio C. S. Beck; Philippe O. A. Navaux,https://doi.org/10.1002/cpe.6819,null,J,no_arxiv,0
2023,Concurr. & Computation,"Smart resource allocation of concurrent execution of parallel applications.",Vinicius S. da Silva; Angelo Gaspar Diniz Nogueira; Everton Camargo de Lima; Hiago Mayk G. de A. Rocha; Matheus S. Serpa; Marcelo Caggiani Luizelli; Fábio D. Rossi; Philippe O. A. Navaux; Antonio Carlos Schneider Beck; Arthur Francisco Lorenzon,https://doi.org/10.1002/cpe.6600,null,J,no_arxiv,0
2023,Concurr. & Computation,"Improving the efficiency of graph algorithm executions on high-performance computing.",Marcelo K. Moori; Hiago Mayk G. de A. Rocha; Janaina Schwarzrock; Arthur Francisco Lorenzon; Antonio Carlos Schneider Beck,https://doi.org/10.1002/cpe.7419,null,J,no_arxiv,0
2023,DATE,"Pruning and Early-Exit Co-Optimization for CNN Acceleration on FPGAs.",Guilherme Korol; Michael Guilherme Jordan; Mateus Beck Rutzig; Jerónimo Castrillón; Antonio Carlos Schneider Beck,https://doi.org/10.23919/DATE56975.2023.10137244,null,C,no_arxiv,0
2022,DAC,"Using machine learning to optimize graph execution on NUMA machines.",Hiago Mayk G. de A. Rocha; Janaina Schwarzrock; Arthur Francisco Lorenzon; Antonio Carlos Schneider Beck,https://doi.org/10.1145/3489517.3530581,top,C,no_arxiv,0
2022,DATE,"AdaFlow: A Framework for Adaptive Dataflow CNN Acceleration on FPGAs.",Guilherme Korol; Michael Guilherme Jordan; Mateus Beck Rutzig; Antonio Carlos Schneider Beck,https://doi.org/10.23919/DATE54114.2022.9774727,null,C,no_arxiv,0
2021,IEEE Trans. Computers,"Multi-Target Adaptive Reconfigurable Acceleration for Low-Power IoT Processing.",Marcelo Brandalero; Luigi Carro; Antonio Carlos Schneider Beck; Muhammad Shafique 0001,https://doi.org/10.1109/TC.2020.2984736,null,J,no_arxiv,0
2021,ASP-DAC,"Exploiting HLS-Generated Multi-Version Kernels to Improve CPU-FPGA Cloud Systems.",Bernardo Neuhaus Lignati; Michael Guilherme Jordan; Guilherme Korol; Mateus Beck Rutzig; Antonio Carlos Schneider Beck,https://doi.org/10.1145/3394885.3431557,null,C,no_arxiv,0
2021,DAC,"Synergically Rebalancing Parallel Execution via DCT and Turbo Boosting.",Sandro M. Marques; Thiarles S. Medeiros; Fábio Diniz Rossi; Marcelo Caggiani Luizelli; Antonio Carlos Schneider Beck; Arthur Francisco Lorenzon,https://doi.org/10.1109/DAC18074.2021.9586201,top,C,no_arxiv,0
2020,DAC,"Proactive Aging Mitigation in CGRAs through Utilization-Aware Allocation.",Marcelo Brandalero; Bernardo Neuhaus Lignati; Antonio Carlos Schneider Beck; Muhammad Shafique 0001; Michael Hübner 0001,https://doi.org/10.1109/DAC18072.2020.9218586,top,C,no_arxiv,0
2020,DAC,"Enhancing Thread-Level Parallelism in Asymmetric Multicores using Transparent Instruction Offloading.",Jeckson Dellagostin Souza; Madhavan Manivannan; Miquel Pericàs; Antonio Carlos Schneider Beck,https://doi.org/10.1109/DAC18072.2020.9218614,top,C,no_arxiv,0
2020,DAC,"A Machine Learning Approach for Reliability-Aware Application Mapping for Heterogeneous Multicores.",Rafael Billig Tonetto; Hiago Mayk G. de A. Rocha; Gabriel L. Nazar; Antonio Carlos Schneider Beck,https://doi.org/10.1109/DAC18072.2020.9218543,top,C,no_arxiv,0
2020,DATE,"Tuning the ISA for increased heterogeneous computation in MPSoCs.",Pedro Henrique Exenberger Becker; Jeckson Dellagostin Souza; Antonio C. S. Beck,https://doi.org/10.23919/DATE48585.2020.9116547,null,C,no_arxiv,0
