2025,Int. J. Parallel Programming,"Self-Adaptive Micro-Batching for Low-Latency GPU-Accelerated Stream Processing.",Ricardo Leonarczyk; Gabriele Mencagli; Dalvan Griebler,https://doi.org/10.1007/s10766-025-00793-4,null,J,no_arxiv,0
2025,Supercomputing,"Optimization of resource-aware parallel and distributed computing: a review.",Pawel Czarnul; Marcel Antal; Hamza Baniata; Dalvan Griebler; Attila Kertész; Christoph W. Kessler; Andreas Kouloumpris; Salko Kovacic; András Márkus; Maria K. Michael; Panagiota Nikolaou; Isil Öz; Radu Prodan; Gordana Rakic,https://doi.org/10.1007/s11227-025-07295-7,null,J,no_arxiv,0
2025,PDP,"NPB-PSTL: C++ STL Algorithms with Parallel Execution Policies in NAS Parallel Benchmarks.",Júnior Löff; Renato B. Hoffmann; Nicola Bianchessi; Leonardo Mallmann; Dalvan Griebler; Walter Binder,https://doi.org/10.1109/PDP66500.2025.00030,null,C,no_arxiv,0
2024,Future Generation CS,"Benchmarking parallel programming for single-board computers.",Renato B. Hoffmann; Dalvan Griebler; Rodrigo da Rosa Righi; Luiz Gustavo Fernandes,https://doi.org/10.1016/j.future.2024.07.003,null,J,no_arxiv,0
2024,J. Parallel Distrib. Comput.,"General-purpose data stream processing on heterogeneous architectures with WindFlow.",Gabriele Mencagli; Massimo Torquati; Dalvan Griebler; Alessandra Fais; Marco Danelutto,https://doi.org/10.1016/j.jpdc.2023.104782,null,J,no_arxiv,0
2024,Supercomputing,"Performance and programmability of GrPPI for parallel stream processing on multi-cores.",Adriano Marques Garcia; Dalvan Griebler; Claudio Schepke; José Daniel García; Javier Fernández Muñoz; Luiz Gustavo Fernandes,https://doi.org/10.1007/s11227-024-05934-z,null,J,no_arxiv,0
2024,Supercomputing,"Enhancing self-adaptation for efficient decision-making at run-time in streaming applications on multicores.",Adriano Vogel; Marco Danelutto; Massimo Torquati; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1007/s11227-024-06191-w,null,J,no_arxiv,0
2023,Int. J. Parallel Programming,"Assessing Application Efficiency and Performance Portability in Single-Source Programming for Heterogeneous Parallel Systems.",August Ernstsson; Dalvan Griebler; Christoph W. Kessler,https://doi.org/10.1007/s10766-022-00746-1,null,J,no_arxiv,0
2023,Supercomputing,"Micro-batch and data frequency for stream processing on multi-cores.",Adriano Marques Garcia; Dalvan Griebler; Claudio Schepke; Luiz Gustavo Fernandes,https://doi.org/10.1007/s11227-022-05024-y,null,J,no_arxiv,0
2023,PDP,"Revisiting self-adaptation for efficient decision-making at run-time in parallel executions.",Adriano Vogel; Marco Danelutto; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1109/PDP59025.2023.00015,null,C,no_arxiv,0
2022,Concurrency and Computation,"Self-adaptation on parallel stream processing: A systematic review.",Adriano Vogel; Dalvan Griebler; Marco Danelutto; Luiz Gustavo Fernandes,https://doi.org/10.1002/cpe.6759,null,J,no_arxiv,0
2022,Int. J. Parallel Programming,"DSParLib: A C++ Template Library for Distributed Stream Parallelism.",Júnior Löff; Renato B. Hoffmann; Ricardo Pieper; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1007/s10766-022-00737-2,null,J,no_arxiv,0
2022,Supercomputing,"OpenMP as runtime for providing high-level stream parallelism on multi-cores.",Renato B. Hoffmann; Júnior Löff; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1007/s11227-021-04182-9,null,J,no_arxiv,0
2022,PDP,"Evaluating Micro-batch and Data Frequency for Stream Processing Applications on Multi-cores.",Adriano Marques Garcia; Dalvan Griebler; Claudio Schepke; Luiz Gustavo Leão Fernandes,https://doi.org/10.1109/PDP55904.2022.00011,null,C,no_arxiv,0
2021,Concurrency and Computation,"Latency-aware adaptive micro-batching techniques for streamed data compression on graphics processing units.",Charles Michael Stein; Dinei A. Rockenbach; Dalvan Griebler; Massimo Torquati; Gabriele Mencagli; Marco Danelutto; Luiz Gustavo Fernandes,https://doi.org/10.1002/cpe.5786,null,J,no_arxiv,0
2021,Future Generation CS,"The NAS Parallel Benchmarks for evaluating C++ parallel programming frameworks on shared-memory architectures.",Júnior Löff; Dalvan Griebler; Gabriele Mencagli; Gabriell Alves de Araujo; Massimo Torquati; Marco Danelutto; Luiz Gustavo Fernandes,https://doi.org/10.1016/j.future.2021.07.021,null,J,no_arxiv,0
2020,Supercomputing,"Simplifying and implementing service level objectives for stream parallelism.",Dalvan Griebler; Adriano Vogel; Daniele De Sensi; Marco Danelutto; Luiz Gustavo Fernandes,https://doi.org/10.1007/s11227-019-02914-6,null,J,no_arxiv,0
2020,PDP,"Efficient NAS Parallel Benchmark Kernels with CUDA.",Gabriell Alves de Araujo; Dalvan Griebler; Marco Danelutto; Luiz Gustavo Fernandes,https://doi.org/10.1109/PDP50117.2020.00009,null,C,no_arxiv,0
2025,Comput. Stand. Interfaces,"GSParLib: A multi-level programming interface unifying OpenCL and CUDA for expressing stream and data parallelism.",Dinei A. Rockenbach; Gabriell Alves de Araujo; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1016/j.csi.2024.103922,null,J,no_arxiv,0
2023,Comput. Stand. Interfaces,"A parallel programming assessment for stream processing applications on multi-core systems.",Gabriella Andrade; Dalvan Griebler; Rodrigo Pereira dos Santos; Luiz Gustavo Fernandes,https://doi.org/10.1016/j.csi.2022.103691,null,J,no_arxiv,0
