2023,LAK,"Predicting Item Response Theory Parameters Using Question Statements Texts.",Wemerson Marinho; Esteban Walter Gonzalez Clua; Luis Martí; Karla Marinho,https://doi.org/10.1145/3576050.3576139,null,C,no_arxiv,0
2022,Concurrency and Computation,"Experience of using graphical processing unit in power flow computation.",João Victor Daher Daibes; Milton Brown Do Coutto Filho; Julio Cesar Stacchini de Souza; Esteban Walter Gonzalez Clua; Rainer Zanghi,https://doi.org/10.1002/cpe.6762,null,J,no_arxiv,0
2020,Concurrency and Computation,"Accelerating simulations of cardiac electrical dynamics through a multi-GPU platform and an optimized data structure.",Eduardo C. Vasconcellos; Esteban Walter Gonzalez Clua; Flavio H. Fenton; Marcelo Zamith,https://doi.org/10.1002/cpe.5528,null,J,no_arxiv,0
2020,Future Generation CS,"Using machine learning techniques to analyze the performance of concurrent kernel execution on GPUs.",Pablo Carvalho; Esteban Clua; Aline Paes; Cristiana Bentes; Bruno Lopes 0001; Lúcia Maria de A. Drummond,https://doi.org/10.1016/j.future.2020.07.038,null,J,no_arxiv,0
2019,Concurrency and Computation,"Maximizing the GPU resource usage by reordering concurrent kernels submission.",Rommel Anatoli Quintanilla Cruz; Cristiana Bentes; Bernardo B. Labronici; Eduardo C. Vasconcellos; Esteban Clua; Pablo Carvalho; Lúcia M. A. Drummond,https://doi.org/10.1002/cpe.4409,null,J,no_arxiv,0
2018,Future Generation CS,"Filtering irrelevant sequential data out of game session telemetry though similarity collapses.",Troy C. Kohwalter; Leonardo Murta 0001; Esteban Clua,https://doi.org/10.1016/j.future.2018.03.004,null,J,no_arxiv,0
2018,Int. J. HCI,"Multi-Device Classification Model for Game Interaction Techniques.",Felipe Breyer; Judith Kelner; Esteban Clua,https://doi.org/10.1080/10447318.2018.1461762,null,J,no_arxiv,0
2022,Computers & Graphics,"Spatially and color consistent environment lighting estimation using deep neural networks for mixed reality.",Bruno Augusto Dorta Marques; Esteban Walter Gonzalez Clua; Anselmo Antunes Montenegro; Cristina Nader Vasconcelos,https://doi.org/10.1016/j.cag.2021.08.007,null,J,http://arxiv.org/abs/2108.07903v1,0
2018,Computers & Graphics,"Deep spherical harmonics light probe estimator for mixed reality games.",Bruno A. D. Marques; Esteban Walter Gonzalez Clua; Cristina Nader Vasconcelos,https://doi.org/10.1016/j.cag.2018.09.003,null,J,no_arxiv,0
2022,TSE,"Dominoes: An Interactive Exploratory Data Analysis Tool for Software Relationships.",Jose Ricardo da Silva Junior; Daniel Prett Campagna; Esteban Clua; Anita Sarma; Leonardo Murta 0001,https://doi.org/10.1109/TSE.2020.2988241,top,J,no_arxiv,0
2020,PRL,"Towards practical implementations of person re-identification from full video frames.",Felix O. Sumari; Luigy Machaca; Jose Huaman; Esteban W. G. Clua; Joris Guérin,https://doi.org/10.1016/j.patrec.2020.08.023,null,J,no_arxiv,0
