2015,Expert Systems Appl.,"A hybrid iterated local search and variable neighborhood descent heuristic applied to the cell formation problem.",Ivan C. Martins; Rian G. S. Pinheiro; Fábio Protti; Luiz Satoru Ochi,https://doi.org/10.1016/j.eswa.2015.07.050,null,J,no_arxiv,10
2019,ITOR,"New algorithms for the minimum coloring cut problem.",Augusto Bordini; Fábio Protti; Thiago Gouveia da Silva; Gilberto Farias de Sousa Filho,https://doi.org/10.1111/itor.12494,null,J,http://arxiv.org/abs/1703.09258v2,1
2019,J Comb Opt,"Deadlock resolution in wait-for graphs by vertex/arc deletion.",Alan Diêgo Aurélio Carneiro; Fábio Protti; Uéverton S. Souza,https://doi.org/10.1007/s10878-018-0279-5,null,J,no_arxiv,0
2018,Annals OR,"And/or-convexity: a graph convexity based on processes and deadlock models.",Carlos Vinícius G. C. Lima; Fábio Protti; Dieter Rautenbach; Uéverton S. Souza; Jayme Luiz Szwarcfiter,https://doi.org/10.1007/s10479-017-2666-1,null,J,no_arxiv,0
2018,Opt Letters,"A matheuristic for the cell formation problem.",Rian Gabriel S. Pinheiro; Ivan C. Martins; Fábio Protti; Luiz Satoru Ochi,https://doi.org/10.1007/s11590-017-1200-3,null,J,no_arxiv,0
2017,Annals OR,"New heuristics for the Bicluster Editing Problem.",Gilberto Farias de Sousa Filho; Teobaldo L. Bulhões Júnior; Lucídio dos Anjos F. Cabral; Luiz Satoru Ochi; Fábio Protti,https://doi.org/10.1007/s10479-016-2261-x,null,J,no_arxiv,1
2016,EJOR,"On solving manufacturing cell formation via Bicluster Editing.",Rian G. S. Pinheiro; Ivan C. Martins; Fábio Protti; Luiz S. Ochi; Luidi Gelabert Simonetti; Anand Subramanian,https://doi.org/10.1016/j.ejor.2016.05.010,null,J,http://arxiv.org/abs/1312.3288v1,6
2016,ITOR,"A parallel hybrid metaheuristic for bicluster editing.",Gilberto Farias de Sousa Filho; Teobaldo L. Bulhões Júnior; Lucídio dos Anjos F. Cabral; Luiz Satoru Ochi; Fábio Protti,https://doi.org/10.1111/itor.12215,null,J,no_arxiv,3
2016,J Comb Opt,"Efficient algorithms for cluster editing.",Lucas de O. Bastos; Luiz Satoru Ochi; Fábio Protti; Anand Subramanian; Ivan César Martins; Rian Gabriel S. Pinheiro,https://doi.org/10.1007/s10878-014-9756-7,null,J,no_arxiv,8
2014,Annals OR,"Algorithmic aspects of Steiner convexity and enumeration of Steiner trees.",Mitre Costa Dourado; Rodolfo Alves de Oliveira; Fábio Protti,https://doi.org/10.1007/s10479-014-1607-5,null,J,no_arxiv,0
2018,Discrete Applied Math.,"A computational study of f-reversible processes on graphs.",Carlos Vinícius G. C. Lima; Leonardo I. L. Oliveira; Valmir C. Barbosa; Mitre Costa Dourado; Fábio Protti; Jayme Luiz Szwarcfiter,https://doi.org/10.1016/j.dam.2017.07.005,null,J,no_arxiv,0
2018,Discrete Applied Math.,"Algorithms, kernels and lower bounds for the Flood-It game parameterized by the vertex cover number.",Michael R. Fellows; Fábio Protti; Frances A. Rosamond; Maise Dantas da Silva; Uéverton S. Souza,https://doi.org/10.1016/j.dam.2017.07.004,null,J,no_arxiv,0
2018,Theor. Comput. Sci.,"Cograph generation with linear delay.",Átila A. Jones; Fábio Protti; Renata R. Del-Vecchio,https://doi.org/10.1016/j.tcs.2017.12.037,null,J,http://arxiv.org/abs/1612.05827v1,0
2017,Discrete Applied Math.,"Tractability, hardness, and kernelization lower bound for and/or graph solution.",Uéverton dos Santos Souza; Fábio Protti,https://doi.org/10.1016/j.dam.2017.07.029,null,J,no_arxiv,0
2016,Discrete Applied Math.,"Clique cycle-transversals in distance-hereditary graphs.",Andreas Brandstädt; Simone Esposito; Loana Tito Nogueira; Fábio Protti,https://doi.org/10.1016/j.dam.2014.12.007,null,J,no_arxiv,0
2016,Discrete Mathematics,"On the geodetic iteration number of distance-hereditary graphs.",Mitre Costa Dourado; Rodolfo Alves de Oliveira; Fábio Protti; Dieter Rautenbach,https://doi.org/10.1016/j.disc.2015.09.025,null,J,no_arxiv,1
2015,Discrete Applied Math.,"Cycles in complementary prisms.",Dirk Meierling; Fábio Protti; Dieter Rautenbach; Aline Ribeiro de Almeida,https://doi.org/10.1016/j.dam.2015.04.016,null,J,no_arxiv,2
2015,Theor. Comput. Sci.,"The predecessor-existence problem for k-reversible processes.",Leonardo I. L. Oliveira; Valmir Carneiro Barbosa; Fábio Protti,https://doi.org/10.1016/j.tcs.2014.10.018,null,J,no_arxiv,1
2015,Theor. Comput. Sci.,"Tractability and hardness of flood-filling games on trees.",Michael R. Fellows; Uéverton dos Santos Souza; Fábio Protti; Maise Dantas da Silva,https://doi.org/10.1016/j.tcs.2015.02.008,null,J,no_arxiv,3
2015,Theor. Comput. Sci.,"Complexity analysis of P-convexity problems on bounded-degree and planar graphs.",Lucia Draque Penso; Fábio Protti; Dieter Rautenbach; Uéverton dos Santos Souza,https://doi.org/10.1016/j.tcs.2015.10.003,null,J,no_arxiv,8
