2017,ACM Comput. Surveys,"A Survey on Ensemble Learning for Data Stream Classification.",Heitor Murilo Gomes; Jean Paul Barddal; Fabrício Enembreck; Albert Bifet,http://doi.acm.org/10.1145/3054925,null,J,no_arxiv,30
2017,ACM Comput. Surveys,"The Need for Affective Trust Applied to Trust and Reputation Models.",Jones Granatyr; Nardine Osman; João Dias; Maria Augusta Silveira Netto Nunes; Judith Masthoff; Fabrício Enembreck; Otto Robert Lessing; Carles Sierra; Ana Paiva; Edson Emílio Scalabrin,http://doi.acm.org/10.1145/3078833,null,J,no_arxiv,0
2015,ACM Comput. Surveys,"Trust and Reputation Models for Multiagent Systems.",Jones Granatyr; Vanderson Botelho; Otto Robert Lessing; Edson Emílio Scalabrin; Jean-Paul A. Barthès; Fabrício Enembreck,http://doi.acm.org/10.1145/2816826,null,J,no_arxiv,11
2017,Machine Learning,"Adaptive random forests for evolving data stream classification.",Heitor Murilo Gomes; Albert Bifet; Jesse Read; Jean Paul Barddal; Fabrício Enembreck; Bernhard Pfharinger; Geoff Holmes; Talel Abdessalem,https://doi.org/10.1007/s10994-017-5642-8,null,J,no_arxiv,13
2016,ECML/PKDD,"On Dynamic Feature Weighting for Feature Drifting Data Streams.",Jean Paul Barddal; Heitor Murilo Gomes; Fabrício Enembreck; Bernhard Pfahringer; Albert Bifet,https://doi.org/10.1007/978-3-319-46227-1_9,null,C,no_arxiv,2
2016,Inf. Systems,"SNCStream: Extending a high quality true anytime data stream clustering algorithm.",Jean Paul Barddal; Heitor Murilo Gomes; Fabrício Enembreck; Jean-Paul A. Barthès,https://doi.org/10.1016/j.is.2016.06.007,null,J,no_arxiv,5
2017,JSS,"A survey on feature drift adaptation: Definition, benchmark, challenges and future directions.",Jean Paul Barddal; Heitor Murilo Gomes; Fabrício Enembreck; Bernhard Pfahringer,https://doi.org/10.1016/j.jss.2016.07.005,null,J,no_arxiv,10
2018,PR,"A framework for dynamic classifier selection oriented by the classification problem difficulty.",Andre L. Brun; Alceu S. Britto Jr.; Luiz S. Oliveira; Fabrício Enembreck; Robert Sabourin,https://doi.org/10.1016/j.patcog.2017.10.038,null,J,no_arxiv,2
2016,ICPR,"A benchmark of classifiers on feature drifting data streams.",Jean Paul Barddal; Heitor Murilo Gomes; Alceu de Souza Britto Jr.; Fabrício Enembreck,https://doi.org/10.1109/ICPR.2016.7899959,null,C,no_arxiv,0
2016,ICPR,"Overcoming feature drifts via dynamic feature weighted k-nearest neighbor learning.",Jean Paul Barddal; Heitor Murilo Gomes; Jones Granatyr; Alceu de Souza Britto Jr.; Fabrício Enembreck,https://doi.org/10.1109/ICPR.2016.7899960,null,C,no_arxiv,0
