2024,J. Parallel Distrib. Comput.,"DuMato: An efficient warp-centric subgraph enumeration system for GPU.",Samuel Ferraz; Vinícius Vitor dos Santos Dias; Carlos H. C. Teixeira; Srinivasan Parthasarathy 0001; George Teodoro; Wagner Meira Jr.,https://doi.org/10.1016/j.jpdc.2024.104903,null,J,no_arxiv,0
2023,Parallel Computing,"Spatial-aware data partition for distributed memory parallelization of ANN search in multimedia retrieval.",Guilherme Andrade; Renato Ferreira 0001; George Teodoro,https://doi.org/10.1016/j.parco.2022.102992,null,J,no_arxiv,0
2022,J. Parallel Distrib. Comput.,"Efficient microscopy image analysis on CPU-GPU systems with cost-aware irregular data partitioning.",Willian Barreiros Jr.; Alba C. M. A. Melo; Jun Kong; Renato Ferreira 0001; Tahsin M. Kurç; Joel H. Saltz; George Teodoro,https://doi.org/10.1016/j.jpdc.2022.02.004,null,J,no_arxiv,0
2021,J. Parallel Distrib. Comput.,"Online multimedia retrieval on CPU-GPU platforms with adaptive work partition.",Rafael Souza; André Fernandes; Thiago S. F. X. Teixeira; George Teodoro; Renato Ferreira 0001,https://doi.org/10.1016/j.jpdc.2020.10.001,null,J,no_arxiv,0
2021,IEEE TPDS,"Parallel Fine-Grained Comparison of Long DNA Sequences in Homogeneous and Heterogeneous GPU Platforms With Pruning.",Marco Antonio C. de Figueiredo; João Paulo Navarro; Edans Flavius de Oliveira Sandes; George Teodoro; Alba C. M. A. Melo,https://doi.org/10.1109/TPDS.2021.3084069,top,J,no_arxiv,0
2020,Concurrency and Computation,"Optimizing parameter sensitivity analysis of large-scale microscopy image analysis workflows with multilevel computation reuse.",Willian Barreiros Jr.; Jeremias Moreira; Tahsin M. Kurç; Jun Kong; Alba C. M. A. Melo; Joel H. Saltz; George Teodoro,https://doi.org/10.1002/cpe.5403,null,J,no_arxiv,0
2020,Concurrency and Computation,"Using GPU to accelerate the pairwise structural RNA alignment with base pair probabilities.",Daniel Sundfeld; George Teodoro; Jakob Hull Havgaard; Jan Gorodkin; Alba C. M. A. Melo,https://doi.org/10.1002/cpe.5468,null,J,no_arxiv,0
2020,PDP,"Parallel Comparison of Huge DNA Sequences in Multiple GPUs with Block Pruning.",Marco Antonio C. de Figueiredo; Edans Flavius de Oliveira Sandes; George Teodoro; Alba C. M. A. Melo,https://doi.org/10.1109/PDP50117.2020.00011,null,C,no_arxiv,0
2022,Bioinformatics,"A spatial attention guided deep learning system for prediction of pathological complete response using breast cancer histopathology images.",Hongyi Duanmu; Shristi Bhattarai; Hongxiao Li; Zhan Shi; Fusheng Wang 0001; George Teodoro; Keerthi Gogineni; Preeti Subhedar; Umay Kiraz; Emiel A. M. Janssen; Ritu Aneja; Jun Kong,https://doi.org/10.1093/bioinformatics/btac558,null,J,no_arxiv,0
2021,Bioinformatics,"Foveal blur-boosted segmentation of nuclei in histopathology images with shape prior knowledge and probability map constraints.",Hongyi Duanmu; Fusheng Wang 0001; George Teodoro; Jun Kong,https://doi.org/10.1093/bioinformatics/btab418,null,J,no_arxiv,0
2020,Inf. Systems,"Bitmap filter: Speeding up exact set similarity joins with bitwise operations.",Edans F. de O. Sandes; George Luiz Medeiros Teodoro; Alba C. M. A. Melo,https://doi.org/10.1016/j.is.2019.101449,null,J,http://arxiv.org/abs/1711.07295v1,0
