2022,BMC Bioinformatics,"Semantic interoperability: ontological unpacking of a viral conceptual model.",Anna Bernasconi 0002; Giancarlo Guizzardi; Oscar Pastor 0001; Veda C. Storey,https://doi.org/10.1186/s12859-022-05022-0,null,J,no_arxiv,0
2023,Data & Knowl. Eng.,"A FAIR catalog of ontology-driven conceptual models.",Tiago Prince Sales; Pedro Paulo F. Barcelos; Claudenir M. Fonseca; Isadora Valle Souza; Elena Romanenko; César Henrique Bernabé; Luiz Olavo Bonino da Silva Santos; Mattia Fumagalli; Joshua Kritz; João Paulo A. Almeida; Giancarlo Guizzardi,https://doi.org/10.1016/j.datak.2023.102210,null,J,no_arxiv,0
2023,Data & Knowl. Eng.,"Legal powers, subjections, disabilities, and immunities: Ontological analysis and modeling patterns.",Cristine Griffo; João Paulo A. Almeida; João A. O. Lima; Tiago Prince Sales; Giancarlo Guizzardi,https://doi.org/10.1016/j.datak.2023.102219,null,J,no_arxiv,0
2023,Inf. Systems,"Assessing the value of ontologically unpacking a conceptual model for human genomics.",Alberto García S.; Anna Bernasconi 0002; Giancarlo Guizzardi; Oscar Pastor 0001; Veda C. Storey; José Ignacio Panach,https://doi.org/10.1016/j.is.2023.102242,null,J,no_arxiv,0
2023,CAiSE,"Ontological Representation of FAIR Principles: A Blueprint for FAIRer Data Sources.",Anna Bernasconi 0002; Alberto García Simón; Giancarlo Guizzardi; Luiz Olavo Bonino da Silva Santos; Veda C. Storey,https://doi.org/10.1007/978-3-031-34560-9_16,null,C,no_arxiv,0
2023,CAiSE,"Enabling Representation Learning in Ontology-Driven Conceptual Modeling Using Graph Neural Networks.",Syed Juned Ali; Giancarlo Guizzardi; Dominik Bork,https://doi.org/10.1007/978-3-031-34560-9_17,null,C,no_arxiv,0
2023,EDOC,"A System Core Ontology for Capability Emergence Modeling.",Rodrigo F. Calhau; Tiago Prince Sales; Italo Jose da Silva Oliveira; Satyanarayana Kokkula; Luís Ferreira Pires; David Cameron; Giancarlo Guizzardi; João Paulo A. Almeida,https://doi.org/10.1007/978-3-031-46587-1_1,null,C,no_arxiv,0
2023,EDOC,"What Do I Get from Modeling? - An Empirical Study on Using Structural Conceptual Models.",Isadora Valle Sousa; Tiago Prince Sales; Eduardo Guerra 0002; Luiz Olavo Bonino da Silva Santos; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-031-46587-1_2,null,C,no_arxiv,0
2022,Data & Knowl. Eng.,"Ontologically correct taxonomies by construction.",Jeferson O. Batista; João Paulo A. Almeida; Eduardo Zambon; Giancarlo Guizzardi,https://doi.org/10.1016/j.datak.2022.102012,null,J,no_arxiv,0
2022,Data & Knowl. Eng.,"Conceptual model visual simulation and the inductive learning of missing domain constraints.",Mattia Fumagalli; Tiago Prince Sales; Fernanda Araújo Baião; Giancarlo Guizzardi,https://doi.org/10.1016/j.datak.2022.102040,null,J,no_arxiv,0
2022,ER,"A FAIR Model Catalog for Ontology-Driven Conceptual Modeling Research.",Pedro Paulo F. Barcelos; Tiago Prince Sales; Mattia Fumagalli; Claudenir M. Fonseca; Isadora Valle Sousa; Elena Romanenko; Joshua Kritz; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-031-17995-2_1,null,C,no_arxiv,0
2022,ER,"Incorporating Types of Types in Ontology-Driven Conceptual Modeling.",Claudenir M. Fonseca; Giancarlo Guizzardi; João Paulo A. Almeida; Tiago Prince Sales; Daniele Porello,https://doi.org/10.1007/978-3-031-17995-2_2,null,C,no_arxiv,0
2022,ER,"Pattern Discovery in Conceptual Models Using Frequent Itemset Mining.",Mattia Fumagalli; Tiago Prince Sales; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-031-17995-2_4,null,C,no_arxiv,0
2022,ER,"Legal Power-Subjection Relations: Ontological Analysis and Modeling Pattern.",Cristine Griffo; Tiago Prince Sales; Giancarlo Guizzardi; João Paulo A. Almeida,https://doi.org/10.1007/978-3-031-17995-2_5,null,C,no_arxiv,0
2022,ER,"An Ontology of Security from a Risk Treatment Perspective.",Italo Jose da Silva Oliveira; Tiago Prince Sales; Riccardo Baratella; Mattia Fumagalli; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-031-17995-2_26,null,C,no_arxiv,0
2021,Data & Knowl. Eng.,"Types and taxonomic structures in conceptual modeling: A novel ontological theory and engineering support.",Giancarlo Guizzardi; Claudenir M. Fonseca; João Paulo A. Almeida; Tiago Prince Sales; Alessander Botti Benevides; Daniele Porello,https://doi.org/10.1016/j.datak.2021.101891,null,J,no_arxiv,0
2021,Data & Knowl. Eng.,"An ontological analysis of software system anomalies and their associated risks.",Bruno Borlini Duarte; Ricardo de Almeida Falbo; Giancarlo Guizzardi; Renata S. S. Guizzardi; Vítor E. Silva Souza,https://doi.org/10.1016/j.datak.2021.101892,null,J,no_arxiv,0
2021,Data & Knowl. Eng.,"Multi-level conceptual modeling: Theory, language and application.",Claudenir M. Fonseca; João Paulo A. Almeida; Giancarlo Guizzardi; Victorio Albani de Carvalho,https://doi.org/10.1016/j.datak.2021.101894,null,J,no_arxiv,0
