2020,ICPE,"Sampling Effect on Performance Prediction of Configurable Systems: A Case Study.",Juliana Alves Pereira; Mathieu Acher; Hugo Martin 0003; Jean-Marc Jézéquel,https://doi.org/10.1145/3358960.3379137,null,C,no_arxiv,0
2024,FSE,"Understanding Developers' Discussions and Perceptions on Non-functional Requirements: The Case of the Spring Ecosystem.",Anderson Oliveira; João Lucas Correia; Wesley K. G. Assunção; Juliana Alves Pereira; Rafael Maiani de Mello; Daniel Coutinho; Caio Barbosa; Paulo Vítor C. F. Libório; Alessandro Garcia 0001,https://doi.org/10.1145/3643750,top,C,no_arxiv,0
2024,SQJ,"An exploratory evaluation of code smell agglomerations.",Amanda Santana; Eduardo Figueiredo 0001; Juliana Alves Pereira; Alessandro Garcia 0001,https://doi.org/10.1007/s11219-024-09680-6,null,J,no_arxiv,0
2024,TSE,"On the Usefulness of Automatically Generated Microservice Architectures.",Luiz Carvalho; Thelma Elita Colanzi; Wesley K. G. Assunção; Alessandro F. Garcia 0001; Juliana Alves Pereira; Marcos Kalinowski; Rafael Maiani de Mello; Maria Julia de Lima; Carlos Lucena,https://doi.org/10.1109/TSE.2024.3361209,top,J,no_arxiv,0
2024,ICSME,"Unraveling the Impact of Code Smell Agglomerations on Code Stability.",Amanda Santana; Eduardo Figueiredo 0001; Juliana Alves Pereira,https://doi.org/10.1109/ICSME58944.2024.00049,null,C,no_arxiv,0
2023,MSR,"Don't Forget the Exception! : Considering Robustness Changes to Identify Design Problems.",Anderson Oliveira; João Lucas Correia; Leonardo da Silva Sousa; Wesley K. G. Assunção; Daniel Coutinho; Alessandro F. Garcia 0001; Willian Nalepa Oizumi; Caio Barbosa; Anderson G. Uchôa; Juliana Alves Pereira,https://doi.org/10.1109/MSR59073.2023.00064,null,C,no_arxiv,0
2022,EMSE,"Analysis of a many-objective optimization approach for identifying microservices from legacy systems.",Wesley K. G. Assunção; Thelma Elita Colanzi; Luiz Carvalho; Alessandro Garcia 0001; Juliana Alves Pereira; Maria Julia de Lima; Carlos Lucena,https://doi.org/10.1007/s10664-021-10049-7,null,J,no_arxiv,0
2022,TSE,"Transfer Learning Across Variants and Versions: The Case of Linux Kernel Size.",Hugo Martin 0003; Mathieu Acher; Juliana Alves Pereira; Luc Lesoil; Jean-Marc Jézéquel; Djamel Eddine Khelladi,https://doi.org/10.1109/TSE.2021.3116768,top,J,no_arxiv,0
2022,SANER,"On the Influential Interactive Factors on Degrees of Design Decay: A Multi-Project Study.",Daniel Coutinho; Anderson G. Uchôa; Caio Barbosa; Vinícius Soares; Alessandro F. Garcia 0001; Marcelo Schots; Juliana Alves Pereira; Wesley K. G. Assunção,https://doi.org/10.1109/SANER53432.2022.00093,null,C,no_arxiv,0
2021,JSS,"Learning software configuration spaces: A systematic literature review.",Juliana Alves Pereira; Mathieu Acher; Hugo Martin 0003; Jean-Marc Jézéquel; Goetz Botterweck; Anthony Ventresque,https://doi.org/10.1016/j.jss.2021.111044,null,J,http://arxiv.org/abs/1906.03018v1,0
2021,MSR,"Predicting Design Impactful Changes in Modern Code Review: A Large-Scale Empirical Study.",Anderson G. Uchôa; Caio Barbosa; Daniel Coutinho; Willian Nalepa Oizumi; Wesley K. G. Assunção; Silvia Regina Vergilio; Juliana Alves Pereira; Anderson Oliveira; Alessandro F. Garcia 0001,https://doi.org/10.1109/MSR52588.2021.00059,null,C,no_arxiv,0
2021,SANER,"A Multi-Criteria Strategy for Redesigning Legacy Features as Microservices: An Industrial Case Study.",Wesley K. G. Assunção; Thelma Elita Colanzi; Luiz Carvalho; Juliana Alves Pereira; Alessandro F. Garcia 0001; Maria Julia de Lima; Carlos Lucena,https://doi.org/10.1109/SANER50967.2021.00042,null,C,no_arxiv,0
2020,ICSME,"On the Performance and Adoption of Search-Based Microservice Identification with toMicroservices.",Luiz Carvalho; Alessandro F. Garcia 0001; Thelma Elita Colanzi; Wesley K. G. Assunção; Juliana Alves Pereira; Baldoino Fonseca; Márcio Ribeiro 0001; Maria Julia de Lima; Carlos Lucena,https://doi.org/10.1109/ICSME46990.2020.00060,null,C,no_arxiv,0
