2019,ACM Comput. Surveys,"Machine Learning in Network Centrality Measures: Tutorial and Outlook.",Felipe Grando; Lisandro Zambenedetti Granville; Luís C. Lamb,https://doi.org/10.1145/3237192,null,J,http://arxiv.org/abs/1810.11760v1,1
2018,IEEE Internet Computing,"Considering Jurisdiction When Assessing End-to-End Network Neutrality.",Marcio Barbosa de Carvalho; Vinicius Garcez Schaurich; Lisandro Zambenedetti Granville,https://doi.org/10.1109/MIC.2018.2877836,null,J,no_arxiv,0
2019,IEEE Comm. Magazine,"FENDE: Marketplace-Based Distribution, Execution, and Life Cycle Management of VNFs.",Lucas Bondan; Muriel Figueredo Franco; Leonardo da Cruz Marcuzzo; Giovanni Venâncio; Ricardo Luis dos Santos; Ricardo J. Pfitscher; Eder J. Scheid; Burkhard Stiller; Filip De Turck; Elias Procópio Duarte Jr.; Alberto E. Schaeffer Filho; Carlos Raniery Paula dos Santos; Lisandro Zambenedetti Granville,https://doi.org/10.1109/MCOM.2018.1800507,null,J,no_arxiv,3
2019,Computer Networks,"Guiltiness: A practical approach for quantifying virtual network functions performance.",Ricardo José Pfitscher; Arthur Selle Jacobs; Luciano Zembruzki; Ricardo Luis dos Santos; Eder John Scheid; Muriel Figueredo Franco; Alberto E. Schaeffer Filho; Lisandro Zambenedetti Granville,https://doi.org/10.1016/j.comnet.2019.06.001,null,J,no_arxiv,0
2019,IM,"Enabling Dynamic SLA Compensation Using Blockchain-based Smart Contracts.",Eder John Scheid; Bruno Rodrigues; Lisandro Zambenedetti Granville; Burkhard Stiller,http://dl.ifip.org/db/conf/im/im2019/188772.pdf,null,C,no_arxiv,
2019,Networking,"BRAIN: Blockchain-based Reverse Auction for Infrastructure Supply in Virtual Network Functions-as-a -Service.",Muriel Figueredo Franco; Eder John Scheid; Lisandro Zambenedetti Granville; Burkhard Stiller,https://doi.org/10.23919/IFIPNetworking.2019.8816843,null,C,no_arxiv,0
2018,IEEE Comm. Magazine,"MEICAN: Simplifying DCN Life-Cycle Management from End-User and Operator Perspectives in Inter-Domain Environments.",Juliano Araujo Wickboldt; Mauricio Quatrin Guerreiro; Lisandro Zambenedetti Granville; Luciano Paschoal Gaspary; Marcos Felipe Schwarz; Chin Guok; Vangelis Chaniotakis; Andrew Lake; John Macauley,https://doi.org/10.1109/MCOM.2017.1601205,null,J,no_arxiv,0
2018,NOMS,"Artificial neural network model to predict affinity for virtual network functions.",Arthur Selle Jacobs; Ricardo José Pfitscher; Ricardo Luis dos Santos; Muriel Figueredo Franco; Eder John Scheid; Lisandro Zambenedetti Granville,https://doi.org/10.1109/NOMS.2018.8406253,null,C,no_arxiv,0
2018,NOMS,"A model for quantifying performance degradation in virtual network function service chains.",Ricardo J. Pfitscher; Arthur Selle Jacobs; Eder J. Scheid; Muriel Figueredo Franco; Ricardo Luis dos Santos; Alberto E. Schaeffer Filho; Lisandro Zambenedetti Granville,https://doi.org/10.1109/NOMS.2018.8406268,null,C,no_arxiv,1
2017,IEEE Comm. Magazine,"Quiet Dogs Can Bite: Which Booters Should We Go After, and What Are Our Mitigation Options?",José Jair Santanna; Ricardo de Oliveira Schmidt; Daphné Tuncer; Anna Sperotto; Lisandro Zambenedetti Granville; Aiko Pras,https://doi.org/10.1109/MCOM.2017.1600992,null,J,no_arxiv,1
2017,Computer Networks,"MARS: From traffic containment to network reconfiguration in malware-analysis systems.",João Marcelo Ceron; Cintia Borges Margi; Lisandro Zambenedetti Granville,https://doi.org/10.1016/j.comnet.2017.10.003,null,J,no_arxiv,1
2017,Computer Comm.,"A framework for SDN integrated management based on a CIM model and a vertical management plane.",Felipe Estrada Solano; Armando Ordóñez; Lisandro Zambenedetti Granville; Oscar Mauricio Caicedo Rendon,https://doi.org/10.1016/j.comcom.2016.08.006,null,J,no_arxiv,2
2017,J. Network Computer App.,"ARKHAM: An Advanced Refinement toolkit for Handling Service Level Agreements in Software-Defined Networking.",Cristian Cleder Machado; Juliano Araujo Wickboldt; Lisandro Zambenedetti Granville; Alberto E. Schaeffer Filho,https://doi.org/10.1016/j.jnca.2017.04.009,null,J,no_arxiv,2
2017,IM,"Affinity measurement for NFV-enabled networks: A criteria-based approach.",Arthur Selle Jacobs; Ricardo Luis dos Santos; Muriel Figueredo Franco; Eder John Scheid; Ricardo José Pfitscher; Lisandro Zambenedetti Granville,https://doi.org/10.23919/INM.2017.7987272,null,C,no_arxiv,1
2017,IM,"INSpIRE: Integrated NFV-based Intent Refinement Environment.",Eder J. Scheid; Cristian Cleder Machado; Muriel Figueredo Franco; Ricardo Luis dos Santos; Ricardo J. Pfitscher; Alberto E. Schaeffer Filho; Lisandro Zambenedetti Granville,https://doi.org/10.23919/INM.2017.7987279,null,C,no_arxiv,4
2016,Computer Networks,"A joint CPU-RAM energy efficient and SLA-compliant approach for cloud data centers.",Pedro H. P. Castro; Vívian L. Barreto; Sand Luz Correa; Lisandro Zambenedetti Granville; Kleber Vieira Cardoso,https://doi.org/10.1016/j.comnet.2015.11.026,null,J,no_arxiv,8
2016,Computer Networks,"Rich dynamic mashments: An approach for network management based on mashups and situation management.",Oscar Mauricio Caicedo Rendon; Felipe Estrada Solano; Vinicius Tavares Guimaraes; Liane Margarida Rockenbach Tarouco; Lisandro Zambenedetti Granville,https://doi.org/10.1016/j.comnet.2015.10.024,null,J,no_arxiv,2
2016,IEEE Trans. Net. Service  Mgmt.,"Using Empirical Estimates of Effective Bandwidth in Network-Aware Placement of Virtual Machines in Datacenters.",Runxin Wang; Juliano Araujo Wickboldt; Rafael Pereira Esteves; Lei Shi 0008; Brendan Jennings; Lisandro Zambenedetti Granville,https://doi.org/10.1109/TNSM.2016.2530309,null,J,no_arxiv,10
2016,CNSM,"Booter blacklist: Unveiling DDoS-for-hire websites.",José Jair Santanna; Ricardo de Oliveira Schmidt; Daphné Tuncer; Joey de Vries; Lisandro Zambenedetti Granville; Aiko Pras,https://doi.org/10.1109/CNSM.2016.7818410,null,C,no_arxiv,3
2016,NOMS,"SDEFIX - Identifying elephant flows in SDN-based IXP networks.",Luis Augusto Dias Knob; Rafael Pereira Esteves; Lisandro Zambenedetti Granville; Liane Margarida Rockenbach Tarouco,https://doi.org/10.1109/NOMS.2016.7502792,null,C,no_arxiv,0
2016,NOMS,"ATLANTIC: A framework for anomaly traffic detection, classification, and mitigation in SDN.",Anderson Santos da Silva; Juliano Araujo Wickboldt; Lisandro Zambenedetti Granville; Alberto E. Schaeffer Filho,https://doi.org/10.1109/NOMS.2016.7502793,null,C,no_arxiv,4
2015,IEEE Comm. Magazine,"Software-defined networking: management requirements and challenges.",Juliano Araujo Wickboldt; Wanderson Paim de Jesus; Pedro Heleno Isolani; Cristiano Bonato Both; Juergen Rochol; Lisandro Zambenedetti Granville,https://doi.org/10.1109/MCOM.2015.7010546,null,J,no_arxiv,64
2015,Computer Networks,"Managing mobile cloud computing considering objective and subjective perspectives.",Marcelo Antonio Marotta; Leonardo Roveda Faganello; Matias Artur Klafke Schimuneck; Lisandro Zambenedetti Granville; Juergen Rochol; Cristiano Bonato Both,https://doi.org/10.1016/j.comnet.2015.09.040,null,J,no_arxiv,10
2015,Computer Comm.,"Towards automated composition of convergent services: A survey.",Armando Ordóñez; Vidal Alcázar; Oscar Mauricio Caicedo Rendon; Paolo Falcarin; Juan Carlos Corrales; Lisandro Zambenedetti Granville,https://doi.org/10.1016/j.comcom.2015.07.025,null,J,no_arxiv,3
2015,IEEE Wireless Commun.,"Resource sharing in heterogeneous cloud radio access networks.",Marcelo Antonio Marotta; Nicholas J. Kaminski; Lisandro Zambenedetti Granville; Juergen Rochol; Luiz A. DaSilva; Cristiano Bonato Both,https://doi.org/10.1109/MWC.2015.7143329,null,J,no_arxiv,26
2015,IM,"Evaluating SNMP, NETCONF, and RESTful web services for router virtualization management.",Paulo Roberto da Paz Ferraz Santos; Rafael Pereira Esteves; Lisandro Zambenedetti Granville,https://doi.org/10.1109/INM.2015.7140284,null,C,no_arxiv,4
2015,IM,"Capitalizing on SDN-based SCADA systems: An anti-eavesdropping case-study.",Eduardo Germano da Silva; Luis Augusto Dias Knob; Juliano Araujo Wickboldt; Luciano Paschoal Gaspary; Lisandro Zambenedetti Granville; Alberto E. Schaeffer Filho,https://doi.org/10.1109/INM.2015.7140289,null,C,no_arxiv,11
2015,IM,"Interactive monitoring, visualization, and configuration of OpenFlow-based SDN.",Pedro Heleno Isolani; Juliano Araujo Wickboldt; Cristiano Bonato Both; Juergen Rochol; Lisandro Zambenedetti Granville,https://doi.org/10.1109/INM.2015.7140294,null,C,no_arxiv,22
2015,IM,"Policy authoring for software-defined networking management.",Cristian Cleder Machado; Juliano Araujo Wickboldt; Lisandro Zambenedetti Granville; Alberto E. Schaeffer Filho,https://doi.org/10.1109/INM.2015.7140295,null,C,no_arxiv,7
2015,IM,"Booters - An analysis of DDoS-as-a-service attacks.",José Jair Santanna; Roland van Rijswijk-Deij; Rick Hofstede; Anna Sperotto; Mark Wierbosch; Lisandro Zambenedetti Granville; Aiko Pras,https://doi.org/10.1109/INM.2015.7140298,null,C,no_arxiv,39
