2023,Interact. Comput.,"Virtual Flipped Classroom in HCI Courses: Case Studies on the Experience of Brazilian Students.",Luciana A. M. Zaina; Suellen R. Martinelli,https://doi.org/10.1093/iwc/iwad015,null,J,no_arxiv,0
2021,Int. J. HC Studies,"UX information in the daily work of an agile team: A distributed cognition analysis.",Luciana A. M. Zaina; Helen Sharp; Leonor Barroca 0001,https://doi.org/10.1016/j.ijhcs.2020.102574,null,J,no_arxiv,0
2024,IEEE ToE,"Challenge-Based Learning for Competency Development in Engineering Education, a Prisma-Based Systematic Literature Review.",Andreia Leles; Luciana Zaina; José Roberto Cardoso,https://doi.org/10.1109/TE.2024.3417908,null,J,no_arxiv,0
2022,Multimedia Tools Appl.,"Considering emotions and contextual factors in music recommendation: a systematic literature review.",Willian Assunção; Lara S. G. Piccolo; Luciana A. M. Zaina,https://doi.org/10.1007/s11042-022-12110-z,null,J,no_arxiv,0
2020,IEEE Trans. Net. Service  Mgmt.,"Usability Matters: A Human-Computer Interaction Study on Network Management Tools.",Fábio Luciano Verdi; Hélio Tibagí de Oliveira; Leobino N. Sampaio; Luciana A. M. Zaina,https://doi.org/10.1109/TNSM.2020.2987036,null,J,no_arxiv,0
2024,IST,"UX Research practices related to Long-Term UX: A Systematic Literature Review.",Suéllen Martinelli; Larissa Albano Lopes; Luciana A. M. Zaina,https://doi.org/10.1016/j.infsof.2024.107431,null,J,no_arxiv,0
2024,SPE,"Work-from-home impacts on software project: A global study on software development practices and stakeholder perceptions.",Anh Nguyen-Duc 0001; Dron Khanna; Giang Huong Le; Des Greer; Xiaofeng Wang 0001; Luciana Martinez Zaina; Gerardo Matturro; Jorge Melegati; Eduardo Martins Guerra; Petri Kettunen; Sami Hyrynsalmi; Henry Edison; Afonso Sales; Rafael Chanin; Didzis Rutitis; Kai-Kristian Kemell; Abdullah Aldaeej; Tommi Mikkonen; Juan Garbajosa; Pekka Abrahamsson,https://doi.org/10.1002/spe.3306,null,J,no_arxiv,0
2023,EMSE,"What do software startups need from UX work?",Luciana A. M. Zaina; Joelma Choma; Jullia Saad; Leonor Barroca 0001; Helen Sharp; Letícia Machado; Cleidson R. B. de Souza,https://doi.org/10.1007/s10664-023-10322-x,null,J,no_arxiv,0
2022,IST,"An approach to explore sequential interactions in cognitive activities of software engineering.",Joelma Choma; Eduardo M. Guerra 0001; Tiago Silva da Silva; Luciana Martinez Zaina,https://doi.org/10.1016/j.infsof.2021.106730,null,J,no_arxiv,0
2022,IST,"Influences of UX factors in the Agile UX context of software startups.",Joelma Choma; Eduardo M. Guerra 0001; Alexandre Alvaro; Roberto Pereira; Luciana A. M. Zaina,https://doi.org/10.1016/j.infsof.2022.107041,null,J,no_arxiv,0
2022,JSS,"Preventing accessibility barriers: Guidelines for using user interface design patterns in mobile applications.",Luciana A. M. Zaina; Renata P. M. Fortes; Vitor Casadei; Leornardo Seiji Nozaki; Débora Maria Barroso Paiva,https://doi.org/10.1016/j.jss.2021.111213,null,J,no_arxiv,0
2022,JSS,"On the evaluation of usability design guidelines for improving network monitoring tools interfaces.",Sofia A. M. Silveira; Luciana A. M. Zaina; Leobino N. Sampaio; Fábio L. Verdi,https://doi.org/10.1016/j.jss.2022.111223,null,J,no_arxiv,0
2021,IST,"UX work in software startups: A thematic analysis of the literature.",Jullia Saad; Suéllen Martinelli; Letícia S. Machado; Cleidson R. B. de Souza; Alexandre Alvaro; Luciana Aparecida Martinez Zaina,https://doi.org/10.1016/j.infsof.2021.106688,null,J,no_arxiv,0
