2024,Future Generation CS,"Benchmarking parallel programming for single-board computers.",Renato B. Hoffmann; Dalvan Griebler; Rodrigo da Rosa Righi; Luiz Gustavo Fernandes,https://doi.org/10.1016/j.future.2024.07.003,null,J,no_arxiv,0
2024,Supercomputing,"Performance and programmability of GrPPI for parallel stream processing on multi-cores.",Adriano Marques Garcia; Dalvan Griebler; Claudio Schepke; José Daniel García; Javier Fernández Muñoz; Luiz Gustavo Fernandes,https://doi.org/10.1007/s11227-024-05934-z,null,J,no_arxiv,0
2024,Supercomputing,"Enhancing self-adaptation for efficient decision-making at run-time in streaming applications on multicores.",Adriano Vogel; Marco Danelutto; Massimo Torquati; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1007/s11227-024-06191-w,null,J,no_arxiv,0
2023,Supercomputing,"Micro-batch and data frequency for stream processing on multi-cores.",Adriano Marques Garcia; Dalvan Griebler; Claudio Schepke; Luiz Gustavo Fernandes,https://doi.org/10.1007/s11227-022-05024-y,null,J,no_arxiv,0
2023,PDP,"Revisiting self-adaptation for efficient decision-making at run-time in parallel executions.",Adriano Vogel; Marco Danelutto; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1109/PDP59025.2023.00015,null,C,no_arxiv,0
2022,Concurrency and Computation,"Self-adaptation on parallel stream processing: A systematic review.",Adriano Vogel; Dalvan Griebler; Marco Danelutto; Luiz Gustavo Fernandes,https://doi.org/10.1002/cpe.6759,null,J,no_arxiv,0
2022,Int. J. Parallel Programming,"DSParLib: A C++ Template Library for Distributed Stream Parallelism.",Júnior Löff; Renato B. Hoffmann; Ricardo Pieper; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1007/s10766-022-00737-2,null,J,no_arxiv,0
2022,Supercomputing,"OpenMP as runtime for providing high-level stream parallelism on multi-cores.",Renato B. Hoffmann; Júnior Löff; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1007/s11227-021-04182-9,null,J,no_arxiv,0
2022,PDP,"Evaluating Micro-batch and Data Frequency for Stream Processing Applications on Multi-cores.",Adriano Marques Garcia; Dalvan Griebler; Claudio Schepke; Luiz Gustavo Leão Fernandes,https://doi.org/10.1109/PDP55904.2022.00011,null,C,no_arxiv,0
2021,Concurrency and Computation,"Latency-aware adaptive micro-batching techniques for streamed data compression on graphics processing units.",Charles Michael Stein; Dinei A. Rockenbach; Dalvan Griebler; Massimo Torquati; Gabriele Mencagli; Marco Danelutto; Luiz Gustavo Fernandes,https://doi.org/10.1002/cpe.5786,null,J,no_arxiv,0
2021,Future Generation CS,"The NAS Parallel Benchmarks for evaluating C++ parallel programming frameworks on shared-memory architectures.",Júnior Löff; Dalvan Griebler; Gabriele Mencagli; Gabriell Alves de Araujo; Massimo Torquati; Marco Danelutto; Luiz Gustavo Fernandes,https://doi.org/10.1016/j.future.2021.07.021,null,J,no_arxiv,0
2025,Comput. Stand. Interfaces,"GSParLib: A multi-level programming interface unifying OpenCL and CUDA for expressing stream and data parallelism.",Dinei A. Rockenbach; Gabriell Alves de Araujo; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1016/j.csi.2024.103922,null,J,no_arxiv,0
2023,Comput. Stand. Interfaces,"A parallel programming assessment for stream processing applications on multi-core systems.",Gabriella Andrade; Dalvan Griebler; Rodrigo Pereira dos Santos; Luiz Gustavo Fernandes,https://doi.org/10.1016/j.csi.2022.103691,null,J,no_arxiv,0
2023,SPE,"NAS Parallel Benchmarks with CUDA and beyond.",Gabriell Alves de Araujo; Dalvan Griebler; Dinei A. Rockenbach; Marco Danelutto; Luiz Gustavo Fernandes,https://doi.org/10.1002/spe.3056,null,J,no_arxiv,0
2021,SPE,"Providing high-level self-adaptive abstractions for stream parallelism on multicores.",Adriano Vogel; Dalvan Griebler; Luiz Gustavo Fernandes,https://doi.org/10.1002/spe.2948,null,J,no_arxiv,0
