2016,Expert Systems Appl.,"An efficient hybrid algorithm for the Traveling Car Renter Problem.",André Renato Villela da Silva; Luiz Satoru Ochi,https://doi.org/10.1016/j.eswa.2016.07.038,null,J,no_arxiv,5
2015,Expert Systems Appl.,"A hybrid iterated local search and variable neighborhood descent heuristic applied to the cell formation problem.",Ivan C. Martins; Rian G. S. Pinheiro; Fábio Protti; Luiz Satoru Ochi,https://doi.org/10.1016/j.eswa.2015.07.050,null,J,no_arxiv,6
2018,J. Parallel Distrib. Comput.,"Exploring parallel multi-GPU local search strategies in a metaheuristic framework.",Eyder Rios; Luiz Satoru Ochi; Cristina Boeres; Vitor Nazário Coelho; Igor Machado Coelho; Ricardo C. Farias,https://doi.org/10.1016/j.jpdc.2017.06.011,null,J,no_arxiv,4
2018,EJOR,"Large neighborhood-based metaheuristic and branch-and-price for the pickup and delivery problem with split loads.",Matheus Nohra Haddad; Rafael Martinelli; Thibaut Vidal; Simone L. Martins; Luiz Satoru Ochi; Marcone Jamilson Freitas Souza; Richard F. Hartl,https://doi.org/10.1016/j.ejor.2018.04.017,null,J,no_arxiv,1
2018,Opt Letters,"A matheuristic for the cell formation problem.",Rian Gabriel S. Pinheiro; Ivan C. Martins; Fábio Protti; Luiz Satoru Ochi,https://doi.org/10.1007/s11590-017-1200-3,null,J,no_arxiv,0
2017,Annals OR,"New heuristics for the Bicluster Editing Problem.",Gilberto Farias de Sousa Filho; Teobaldo L. Bulhões Júnior; Lucídio dos Anjos F. Cabral; Luiz Satoru Ochi; Fábio Protti,https://doi.org/10.1007/s10479-016-2261-x,null,J,no_arxiv,0
2017,Computers & OR,"A multi-objective green UAV routing problem.",Bruno N. Coelho; Vitor Nazário Coelho; Igor Machado Coelho; Luiz S. Ochi; Roozbeh Haghnazar Koochaksaraei; Demetrius Zuidema; Milton S. F. Lima; Adilson Rodrigues da Costa,https://doi.org/10.1016/j.cor.2017.04.011,null,J,no_arxiv,5
2016,EJOR,"On solving manufacturing cell formation via Bicluster Editing.",Rian G. S. Pinheiro; Ivan C. Martins; Fábio Protti; Luiz S. Ochi; Luidi Gelabert Simonetti; Anand Subramanian,https://doi.org/10.1016/j.ejor.2016.05.010,null,J,http://arxiv.org/abs/1312.3288v1,4
2016,ITOR,"A parallel hybrid metaheuristic for bicluster editing.",Gilberto Farias de Sousa Filho; Teobaldo L. Bulhões Júnior; Lucídio dos Anjos F. Cabral; Luiz Satoru Ochi; Fábio Protti,https://doi.org/10.1111/itor.12215,null,J,no_arxiv,3
2016,J Comb Opt,"Efficient algorithms for cluster editing.",Lucas de O. Bastos; Luiz Satoru Ochi; Fábio Protti; Anand Subramanian; Ivan César Martins; Rian Gabriel S. Pinheiro,https://doi.org/10.1007/s10878-014-9756-7,null,J,no_arxiv,7
2016,Transp. Science,"Large Neighborhoods with Implicit Customer Selection for Vehicle Routing Problems with Profits.",Thibaut Vidal; Nelson Maculan; Luiz Satoru Ochi; Puca Huachi Vaz Penna,https://doi.org/10.1287/trsc.2015.0584,null,J,http://arxiv.org/abs/1401.3794v2,12
2015,Computers & OR,"An iterated local search heuristic for the split delivery vehicle routing problem.",Marcos Melo Silva; Anand Subramanian; Luiz Satoru Ochi,https://doi.org/10.1016/j.cor.2014.08.005,null,J,no_arxiv,37
2015,Opt Letters,"A new hybrid heuristic for replica placement and request distribution in content distribution networks.",Tiago Araújo Neves; Luiz Satoru Ochi; Célio Vinicius N. de Albuquerque,https://doi.org/10.1007/s11590-014-0770-6,null,J,no_arxiv,2
