2018,Concurrency and Computation,"On the use of HCM to develop a resource allocation algorithm for heterogeneous clusters.",Thiago Marques Soares; Rodrigo Weber dos Santos; Marcelo Lobosco,https://doi.org/10.1002/cpe.4899,null,J,no_arxiv,0
2017,Supercomputing,"Multilevel parallelism scheme in a genetic algorithm applied to cardiac models with mass-spring systems.",Ricardo Silva Campos; Bernardo Martins Rocha; Marcelo Lobosco; Rodrigo Weber dos Santos,https://doi.org/10.1007/s11227-016-1798-4,null,J,no_arxiv,0
2020,BMC Bioinformatics,"Validation of a yellow fever vaccine model using data from primary vaccination in children and adults, re-vaccination and dose-response in adults and studies with immunocompromised individuals.",Carla Rezende Barbosa Bonin; Guilherme Côrtes Fernandes; Reinaldo de Menezes Martins; Luiz Antonio Bastos Camacho; Andréa Teixeira-Carvalho; Lícia Maria Henrique da Mota; Sheila Maria Barbosa de Lima; Ana Carolina Campi-Azevedo; Olindo Assis Martins-Filho; Rodrigo Weber dos Santos; Marcelo Lobosco,https://doi.org/10.1186/s12859-020-03845-3,null,J,no_arxiv,0
2020,IEEE BIBM,"Uncertain Quantification of Immunological Memory to Yellow Fever Virus.",Larissa de L. e Silva; Maicom P. Xavier; Rodrigo Weber dos Santos; Marcelo Lobosco; Ruy Freitas Reis,https://doi.org/10.1109/BIBM49941.2020.9313282,null,C,no_arxiv,0
2020,IEEE BIBM,"A simplified model of the Human Immune System response to the COVID-19.",Maicom Peters Xavier; Ruy Freitas Reis; Rodrigo Weber dos Santos; Marcelo Lobosco,https://doi.org/10.1109/BIBM49941.2020.9313418,null,C,no_arxiv,0
2019,BMC Bioinformatics,"A personalized computational model of edema formation in myocarditis based on long-axis biventricular MRI images.",Ruy Freitas Reis; Juliano Lara Fernandes; Thaiz Ruberti Schmal; Bernardo Martins Rocha; Rodrigo Weber dos Santos; Marcelo Lobosco,https://doi.org/10.1186/s12859-019-3139-0,null,J,no_arxiv,0
2019,IEEE BIBM,"Quantitative Validation of a Yellow Fever Vaccine Model.",Carla Rezende Barbosa Bonin; Marcelo Lobosco; Guilherme Côrtes Fernandes; Reinaldo de Menezes Martins; Luiz Antonio Bastos Camacho; Lícia Maria Henrique da Mota; Sheila Maria Barbosa de Lima; Ana Carolina Campi-Azevedo; Olindo Assis Martins-Filho; Rodrigo Weber dos Santos,https://doi.org/10.1109/BIBM47256.2019.8983128,null,C,no_arxiv,0
2019,IEEE BIBM,"Modeling the Increase of Interstitial Pressure During Viral Infections.",Lara Turetta Pompei; Ruy Freitas Reis; Rodrigo Weber dos Santos; Marcelo Lobosco,https://doi.org/10.1109/BIBM47256.2019.8983171,null,C,no_arxiv,0
2019,IEEE BIBM,"Stochastic Petri Net Models for the Study of Macrophage Reprogramming.",Elvis H. Ribeiro; Alexandre Bittencourt Pigozzo; Carolina R. Xavier; Rodrigo Weber dos Santos; Marcelo Lobosco,https://doi.org/10.1109/BIBM47256.2019.8983135,null,C,no_arxiv,0
2018,IEEE BIBM,"An Hydro-Mechanical Model of Edema Formation Applied to Bacterial Myocarditis.",Ruy Freitas Reis; Bernardo Martins Rocha; Rodrigo Weber dos Santos; Marcelo Lobosco,http://doi.ieeecomputersociety.org/10.1109/BIBM.2018.8621422,null,C,no_arxiv,0
2017,IEEE BIBM,"A simplified mathematical-computational model of the immune response to the yellow fever vaccine.",Carla Rezende Barbosa Bonin; Guilherme Côrtes Fernandes; Rodrigo Weber dos Santos; Marcelo Lobosco,https://doi.org/10.1109/BIBM.2017.8217872,null,C,no_arxiv,0
2017,IEEE BIBM,"On the use of Gillespie stochastic simulation algorithm in a model of the human immune system response to the Yellow Fever vaccine.",Micael P. Xavier; Carla Rezende Barbosa Bonin; Rodrigo Weber dos Santos; Marcelo Lobosco,https://doi.org/10.1109/BIBM.2017.8217880,null,C,no_arxiv,0
