2024,Neurocomputing,"On Representation Learning-based Methods for Effective, Efficient, and Scalable Code Retrieval.",Celso França; Rennan C. Lima; Cláudio M. V. de Andrade; Washington Cunha; Pedro O. S. Vaz de Melo; Berthier A. Ribeiro-Neto; Leonardo Rocha 0001; Rodrygo L. T. Santos; Adriana S. Pagano; Marcos André Gonçalves,https://doi.org/10.1016/j.neucom.2024.128172,null,J,no_arxiv,0
2023,ACM Comput. Surveys,"A Comparative Survey of Instance Selection Methods applied to Non-Neural and Transformer-Based Text Classification.",Washington Cunha; Felipe Viegas; Celso França; Thierson Rosa; Leonardo Rocha 0001; Marcos André Gonçalves,https://doi.org/10.1145/3582000,null,J,no_arxiv,0
2022,Inf. Sciences,"How to build high quality L2R training data: Unsupervised compression-based selective sampling for learning to rank.",Rodrigo M. Silva; Guilherme C. M. Gomes; Mário S. Alvim; Marcos André Gonçalves,https://doi.org/10.1016/j.ins.2022.04.012,null,J,no_arxiv,0
2022,Inf. Sciences,"A reinforcement learning approach for single redundant view co-training text classification.",Bruno B. M. Paiva; Erickson R. Nascimento; Marcos André Gonçalves; Fabiano Belém,https://doi.org/10.1016/j.ins.2022.09.065,null,J,no_arxiv,0
2021,Inf. Sciences,"Individualized extreme dominance (IndED): A new preference-based method for multi-objective recommender systems.",Reinaldo Silva Fortes; Daniel Xavier de Sousa; Dayanne Gouveia Coelho; Anísio Mendes Lacerda; Marcos André Gonçalves,https://doi.org/10.1016/j.ins.2021.05.037,null,J,no_arxiv,0
2025,ACM TOIS,"A Noise-Oriented and Redundancy-Aware Instance Selection Framework.",Washington Cunha; Alejandro Moreo Fernández; Andrea Esuli; Fabrizio Sebastiani 0001; Leonardo Rocha 0001; Marcos André Gonçalves,https://doi.org/10.1145/3705000,top,J,no_arxiv,0
2020,Inf. Systems,"Exploiting semantic relationships for unsupervised expansion of sentiment lexicons.",Felipe Viegas; Mário S. Alvim; Sérgio D. Canuto; Thierson Rosa; Marcos André Gonçalves; Leonardo Rocha 0001,https://doi.org/10.1016/j.is.2020.101606,null,J,no_arxiv,0
2025,Inf. Process. Mgmt.,"Risk-sensitive optimization of neural deep learning ranking models with applications in ad-hoc retrieval and recommender systems.",Pedro Henrique Silva Rodrigues; Daniel Xavier de Sousa; Celso França; Gestefane Rabbi; Thierson Couto Rosa; Marcos André Gonçalves,https://doi.org/10.1016/j.ipm.2025.104126,null,J,no_arxiv,0
2025,ICWSM,"Join the Chat: How Curiosity Sparks Participation in Telegram Groups.",Giordano Paoletti; Jussara M. Almeida; Luca Vassio; Marcos André Gonçalves; Marco Mellia,https://doi.org/10.1609/icwsm.v19i1.35884,null,C,http://arxiv.org/abs/2503.13635v1,0
2023,Inf. Process. Mgmt.,"On the class separability of contextual embeddings representations - or The classifier does not matter when the (text) representation is so good!.",Cláudio Moisés Valiense de Andrade; Fabiano Belém; Washington Cunha; Celso França; Felipe Viegas; Leonardo Rocha 0001; Marcos André Gonçalves,https://doi.org/10.1016/j.ipm.2023.103336,null,J,no_arxiv,0
2023,SIGIR,"An Effective, Efficient, and Scalable Confidence-based Instance Selection Framework for Transformer-Based Text Classification.",Washington Cunha; Celso França; Guilherme Fonseca; Leonardo Rocha 0001; Marcos André Gonçalves,https://doi.org/10.1145/3539618.3591638,top,C,no_arxiv,0
2022,SIGIR,"Risk-Sensitive Deep Neural Learning to Rank.",Pedro Henrique Silva Rodrigues; Daniel Xavier de Sousa; Thierson Couto Rosa; Marcos André Gonçalves,https://doi.org/10.1145/3477495.3532056,top,C,no_arxiv,0
2021,Inf. Process. Mgmt.,"On the cost-effectiveness of neural and non-neural approaches and representations for text classification: A comprehensive comparative study.",Washington Cunha; Vítor Mangaravite; Christian Gomes; Sérgio D. Canuto; Elaine Resende; Cecilia Nascimento; Felipe Viegas; Celso França; Wellington Santos Martins; Jussara M. Almeida; Thierson Rosa; Leonardo Rocha 0001; Marcos André Gonçalves,https://doi.org/10.1016/j.ipm.2020.102481,null,J,no_arxiv,0
2020,Inf. Process. Mgmt.,"Fine-grained tourism prediction: Impact of social and environmental features.",Amir Khatibi; Fabiano Belém; Ana Paula Couto da Silva; Jussara M. Almeida; Marcos André Gonçalves,https://doi.org/10.1016/j.ipm.2019.102057,null,J,no_arxiv,0
2020,Inf. Process. Mgmt.,"Extended pre-processing pipeline for text classification: On the role of meta-feature representations, sparsification and selective sampling.",Washington Cunha; Sérgio D. Canuto; Felipe Viegas; Thiago Salles; Christian Gomes; Vítor Mangaravite; Elaine Resende; Thierson Rosa; Marcos André Gonçalves; Leonardo Rocha 0001,https://doi.org/10.1016/j.ipm.2020.102263,null,J,no_arxiv,0
2020,Inf. Process. Mgmt.,"Fixing the curse of the bad product descriptions - Search-boosted tag recommendation for E-commerce products.",Fabiano Muniz Belém; Rodrigo M. Silva; Cláudio Moisés Valiense de Andrade; Gabriel Person; Felipe Mingote; Raphael Ballet; Helton Alponti; Henrique P. de Oliveira; Jussara M. Almeida; Marcos André Gonçalves,https://doi.org/10.1016/j.ipm.2020.102289,null,J,no_arxiv,0
2020,CIKM,"Keep it Simple, Lazy - MetaLazy: A New MetaStrategy for Lazy Text Classification.",Luiz Felipe Mendes; Marcos André Gonçalves; Washington Cunha; Leonardo Rocha 0001; Thierson Couto Rosa; Wellington Martins,https://doi.org/10.1145/3340531.3412180,null,C,no_arxiv,0
