2021,Proc. VLDB,"Data Management in Microservices: State of the Practice, Challenges, and Research Directions.",Rodrigo N. Laigner; Yongluan Zhou; Marcos Antonio Vaz Salles; Yijian Liu; Marcos Kalinowski,http://www.vldb.org/pvldb/vol14/p3348-laigner.pdf,top,J,http://arxiv.org/abs/2103.00170v2,0
2020,Inf. Systems,"XChange: A semantic diff approach for XML documents.",Alessandreia Marta de Oliveira; Troy C. Kohwalter; Marcos Kalinowski; Leonardo Murta 0001; Vanessa Braganholo,https://doi.org/10.1016/j.is.2020.101610,null,J,no_arxiv,0
2025,IST,"A multivocal literature review on the benefits and limitations of industry-leading AutoML tools.",Luigi Quaranta; Kelly Azevedo; Fabio Calefato; Marcos Kalinowski,https://doi.org/10.1016/j.infsof.2024.107608,null,J,no_arxiv,0
2025,JSS,"Attributes of a great requirements engineer.",Larissa Barbosa L. Pinheiro; Sávio Freire; Rita Suzana Pitangueira Maciel; Manoel G. Mendonça; Marcos Kalinowski; Zadia Codabux; Rodrigo O. Spínola,https://doi.org/10.1016/j.jss.2024.112200,null,J,http://arxiv.org/abs/2411.00966v1,0
2024,EMSE,"Investigating the online recruitment and selection journey of novice software engineers: Anti-patterns and recommendations.",Miguel Setúbal; Tayana Conte; Marcos Kalinowski; Allysson Allex Araújo,https://doi.org/10.1007/s10664-024-10498-w,null,J,no_arxiv,0
2024,JSS,"Identifying concerns when specifying machine learning-enabled systems: A perspective-based approach.",Hugo Villamizar; Marcos Kalinowski; Hélio Lopes 0001; Daniel Méndez 0001,https://doi.org/10.1016/j.jss.2024.112053,null,J,no_arxiv,0
2024,TSE,"On the Usefulness of Automatically Generated Microservice Architectures.",Luiz Carvalho; Thelma Elita Colanzi; Wesley K. G. Assunção; Alessandro F. Garcia 0001; Juliana Alves Pereira; Marcos Kalinowski; Rafael Maiani de Mello; Maria Julia de Lima; Carlos Lucena,https://doi.org/10.1109/TSE.2024.3361209,top,J,no_arxiv,0
2023,IST,"Lessons learned to improve the UX practices in agile projects involving data science and process automation.",Bruna Ferreira; Silvio Marques; Marcos Kalinowski; Hélio Lopes 0001; Simone D. J. Barbosa,https://doi.org/10.1016/j.infsof.2022.107106,null,J,http://arxiv.org/abs/2211.13827v1,0
2023,IST,"Negative effects of gamification in education software: Systematic mapping and practitioner perceptions.",Cláuvin Almeida; Marcos Kalinowski; Anderson G. Uchôa; Bruno Feijó,https://doi.org/10.1016/j.infsof.2022.107142,null,J,no_arxiv,0
2023,IST,"A systematic mapping study and practitioner insights on the use of software engineering practices to develop MVPs.",Silvio Alonso; Marcos Kalinowski; Bruna Ferreira; Simone D. J. Barbosa; Hélio Lopes 0001,https://doi.org/10.1016/j.infsof.2022.107144,null,J,no_arxiv,0
2023,JSS,"Psychometric instruments in software engineering research on personality: Status quo after fifty years.",Danilo Almeida Felipe; Marcos Kalinowski; Daniel Graziotin; Jean Carlos Natividade,https://doi.org/10.1016/j.jss.2023.111740,null,J,http://arxiv.org/abs/2211.13817v3,0
