2023,Future Generation CS,"Tinycubes: A modular technology for interactive visual analysis of historical and continuously updated spatiotemporal data.",Nilson Luís Damasceno; Marcos Lage; Antônio A. de A. Rocha,https://doi.org/10.1016/j.future.2023.01.007,null,J,no_arxiv,0
2020,CHI,"Urban Mosaic: Visual Exploration of Streetscapes Using Large-Scale Image Data.",Fabio Miranda 0001; Maryam Hosseini; Marcos Lage; Harish Doraiswamy; Graham Dove; Cláudio T. Silva,https://doi.org/10.1145/3313831.3376399,top,C,no_arxiv,0
2025,IEEE TVCG,"Curio: A Dataflow-Based Framework for Collaborative Urban Visual Analytics.",Gustavo Moreira; Maryam Hosseini; Carolina Veiga Ferreira de Souza; Lucas Alexandre; Nicola Colaninno; Daniel de Oliveira 0001; Nivan Ferreira; Marcos Lage; Fabio Miranda 0001,https://doi.org/10.1109/TVCG.2024.3456353,top,J,no_arxiv,0
2024,Computers & Graphics,"Assessing the landscape of toolkits, frameworks, and authoring tools for urban visual analytics systems.",Leonardo Ferreira; Gustavo Moreira; Maryam Hosseini; Marcos Lage; Nivan Ferreira; Fabio Miranda 0001,https://doi.org/10.1016/j.cag.2024.104013,null,J,no_arxiv,0
2024,Computer Graphics Forum,"The State of the Art in Visual Analytics for 3D Urban Data.",Fabio Miranda 0001; Thomas Ortner; Gustavo Moreira; Maryam Hosseini; Milena Vuckovic; Filip Biljecki; Cláudio T. Silva; Marcos Lage; Nivan Ferreira,https://doi.org/10.1111/cgf.15112,null,J,http://arxiv.org/abs/2404.15976v1,0
2024,IEEE TVCG,"PW: A Visual Approach for Building, Managing, and Analyzing Weather Simulation Ensembles at Runtime.",Carolina Veiga Ferreira de Souza; Suzanna Maria Bonnet; Daniel de Oliveira 0001; Márcio Cataldi; Fabio Miranda 0001; Marcos Lage,https://doi.org/10.1109/TVCG.2023.3326514,top,J,no_arxiv,0
2024,IEEE TVCG,"The Urban Toolkit: A Grammar-Based Framework for Urban Visual Analytics.",Gustavo Moreira; Maryam Hosseini; Md Nafiul Alam Nipu; Marcos Lage; Nivan Ferreira; Fabio Miranda 0001,https://doi.org/10.1109/TVCG.2023.3326598,top,J,no_arxiv,0
2023,IEEE TVCG,"A Comparison of Spatiotemporal Visualizations for 3D Urban Analytics.",Roberta C. Ramos Mota; Nivan Ferreira; Julio Daniel Silva; Marius Horga; Marcos Lage; Luis Ceferino; Usman R. Alim; Ehud Sharlin; Fabio Miranda 0001,https://doi.org/10.1109/TVCG.2022.3209474,top,J,http://arxiv.org/abs/2208.05370v1,0
2022,Computers & Graphics,"Visualizing simulation ensembles of extreme weather events.",Carolina Veiga Ferreira de Souza; Priscila da Cunha Luz Barcellos; Lhaylla Crissaff; Márcio Cataldi; Fabio Miranda 0001; Marcos Lage,https://doi.org/10.1016/j.cag.2022.01.007,null,J,no_arxiv,0
2022,Computer Graphics Forum,"Urban Rhapsody: Large-scale exploration of urban soundscapes.",João Rulff; Fabio Miranda 0001; Maryam Hosseini; Marcos Lage; Mark Cartwright; Graham Dove; Juan Pablo Bello; Cláudio T. Silva,https://doi.org/10.1111/cgf.14534,null,J,no_arxiv,0
2022,IEEE TVCG,"UrbanRama: Navigating Cities in Virtual Reality.",Shaoyu Chen; Fabio Miranda 0001; Nivan Ferreira; Marcos Lage; Harish Doraiswamy; Corinne Brenner; Connor DeFanti; Michael Koutsoubis; Luc Wilson; Ken Perlin; Cláudio T. Silva,https://doi.org/10.1109/TVCG.2021.3099012,top,J,http://arxiv.org/abs/2112.06082v1,0
