2022,Annals OR,"Computing the hull number in toll convexity.",Mitre Costa Dourado,https://doi.org/10.1007/s10479-022-04694-4,null,J,http://arxiv.org/abs/1905.00109v2,0
2022,J Comb Opt,"A general framework for path convexities.",João Vinicius C. Thompson; Loana Tito Nogueira; Fábio Protti; Raquel S. F. Bravo; Mitre Costa Dourado; Uéverton S. Souza,https://doi.org/10.1007/s10878-020-00618-9,null,J,http://arxiv.org/abs/1702.06112v2,0
2025,Discrete Applied Math.,"Characterizations of graph classes via convex geometries: A survey.",Mitre Costa Dourado; Marisa Gutierrez; Fábio Protti; Rudini Menezes Sampaio; Silvia B. Tondato,https://doi.org/10.1016/j.dam.2024.09.010,null,J,http://arxiv.org/abs/2203.15878v7,0
2024,Theor. Comput. Sci.,"Computing the hull and interval numbers in the weakly toll convexity.",Mitre Costa Dourado; Marisa Gutierrez; Fábio Protti; Silvia B. Tondato,https://doi.org/10.1016/j.tcs.2024.114501,null,J,http://arxiv.org/abs/2303.07414v1,0
2023,Discrete Applied Math.,"On the generalized Helly property of hypergraphs, cliques, and bicliques.",Mitre Costa Dourado; Luciano N. Grippo; Martín D. Safe,https://doi.org/10.1016/j.dam.2023.01.006,null,J,http://arxiv.org/abs/2201.12610v1,0
2022,Discrete Applied Math.,"Computational and structural aspects of the geodetic and the hull numbers of shadow graphs.",S. V. Ullas Chandran; Mitre Costa Dourado; Maya G. S. Thankachy,https://doi.org/10.1016/j.dam.2021.10.005,null,J,no_arxiv,0
2022,Discrete Applied Math.,"Computing the zig-zag number of directed graphs.",Mitre Costa Dourado; Celina M. H. de Figueiredo; Alexsander Andrade de Melo; Mateus de Oliveira Oliveira; Uéverton S. Souza,https://doi.org/10.1016/j.dam.2021.09.013,null,J,no_arxiv,0
2022,Discrete Applied Math.,"On the Δ-interval and the Δ-convexity numbers of graphs and graph products.",Bijo S. Anand; Mitre Costa Dourado; Prasanth G. Narasimha-Shenoi; Sabeer Sain Ramla,https://doi.org/10.1016/j.dam.2021.07.041,null,J,no_arxiv,0
2022,Discrete Applied Math.,"Computational and structural aspects of the geodetic and the hull numbers of shadow graphs.",S. V. Ullas Chandran; Mitre Costa Dourado; Maya G. S. Thankachy,https://doi.org/10.1016/j.dam.2021.12.019,null,J,no_arxiv,0
2022,Theor. Comput. Sci.,"The hull number in the convexity of induced paths of order 3.",Mitre Costa Dourado; Lucia Draque Penso; Dieter Rautenbach,https://doi.org/10.1016/j.tcs.2022.01.004,null,J,no_arxiv,0
2020,Discrete Applied Math.,"Global defensive alliances in the lexicographic product of paths and cycles.",Rommel M. Barbosa; Mitre Costa Dourado; Leila Roling Scariot da Silva,https://doi.org/10.1016/j.dam.2019.12.024,null,J,http://arxiv.org/abs/1810.08256v1,0
2020,Discrete Applied Math.,"Complexity aspects of ℓ-chord convexities.",Mitre Costa Dourado; Rodolfo Alves de Oliveira,https://doi.org/10.1016/j.dam.2020.04.022,null,J,no_arxiv,0
2020,Theor. Comput. Sci.,"On the Carathéodory and exchange numbers of geodetic convexity in graphs.",Bijo S. Anand; S. V. Ullas Chandran; Manoj Changat; Mitre Costa Dourado; Ferdoos Hossein Nezhad; Prasanth G. Narasimha-Shenoi,https://doi.org/10.1016/j.tcs.2019.10.041,null,J,no_arxiv,0
2020,Theor. Comput. Sci.,"Computing the hull number in Δ-convexity.",Bijo S. Anand; Arun Anil; Manoj Changat; Mitre Costa Dourado; Sabeer Sain Ramla,https://doi.org/10.1016/j.tcs.2020.08.024,null,J,no_arxiv,0
