2025,JSS,"Towards the UX Support to Software Startups: On the relationship of professional expertise and UX work in the Brazilian scenario.",Guilherme Corredato Guerino; Renato Balancieri; Gislaine Camila Lapasini Leal; Rafael Prikladnicki,https://doi.org/10.1016/j.jss.2024.112246,null,J,no_arxiv,0
2024,IST,"Product managers in software startups: A grounded theory.",Jorge Melegati; Igor Wiese; Eduardo M. Guerra 0001; Rafael Chanin; Abdullah Aldaeej; Tommi Mikkonen; Rafael Prikladnicki; Xiaofeng Wang 0001,https://doi.org/10.1016/j.infsof.2024.107516,null,J,no_arxiv,0
2024,IST,"On meetings involving remote software teams: A systematic literature review.",Anielle S. L. de Andrade; Victoria Jackson; Rafael Prikladnicki; André van der Hoek,https://doi.org/10.1016/j.infsof.2024.107541,null,J,no_arxiv,0
2024,ICSE,"Co-Creation in Fully Remote Software Teams.",Victoria Jackson; Rafael Prikladnicki; André van der Hoek,https://doi.org/10.1145/3597503.3623297,top,C,no_arxiv,0
2023,IEEE Software,"Co-Designing for a Hybrid Workplace Experience in Software Development.",Zhendong Wang; Yi-Hung Chou; Kayla Fathi; Tobias Schimmer; Peter Colligan; David F. Redmiles; Rafael Prikladnicki,https://doi.org/10.1109/MS.2022.3229894,null,J,no_arxiv,0
2023,IEEE Software,"Team Creativity in a Hybrid Software Development World: Eight Approaches.",Victoria Jackson; Rafael Prikladnicki; André van der Hoek; Lisa Marshall,https://doi.org/10.1109/MS.2022.3229353,null,J,no_arxiv,0
2022,IEEE Software,"Collaboration Tools for Developers.",Victoria Jackson; André van der Hoek; Rafael Prikladnicki; Christof Ebert,https://doi.org/10.1109/MS.2021.3132137,null,J,no_arxiv,0
2022,TSE,"What Makes Agile Software Development Agile?",Marco Kuhrmann; Paolo Tell; Regina Hebig; Jil Klünder; Jürgen Münch; Oliver Linssen; Dietmar Pfahl; Michael Felderer; Christian R. Prause; Stephen G. MacDonell; Joyce Nakatumba-Nabende; David Raffo; Sarah Beecham; Eray Tüzün; Gustavo López 0001; Nicolás Paez; Diego Fontdevila; Sherlock A. Licorish; Steffen Küpper; Günther Ruhe; Eric Knauss; Özden Özcan-Top; Paul M. Clarke; Fergal McCaffery; Marcela Genero; Aurora Vizcaíno; Mario Piattini; Marcos Kalinowski; Tayana Conte; Rafael Prikladnicki; Stephan Krusche; Ahmet Coskunçay; Ezequiel Scott; Fabio Calefato; Svetlana Pimonova; Rolf-Helge Pfeiffer; Ulrik Pagh Schultz; Rogardt Heldal; Masud Fazal-Baqaie; Craig Anslow; Maleknaz Nayebi; Kurt Schneider; Stefan Sauer 0001; Dietmar Winkler 0001; Stefan Biffl; María Cecilia Bastarrica; Ita Richardson,https://doi.org/10.1109/TSE.2021.3099532,top,J,http://arxiv.org/abs/2109.11435v1,0
2021,IEEE Software,"Behavioral Science and Diversity in Software Engineering.",Jeffrey C. Carver; Henry Muccini; Birgit Penzenstadler; Rafael Prikladnicki; Alexander Serebrenik; Thomas Zimmermann 0001,https://doi.org/10.1109/MS.2020.3042683,null,J,no_arxiv,0
2021,TSE,"A Progression Model of Software Engineering Goals, Challenges, and Practices in Start-Ups.",Eriks Klotins; Michael Unterkalmsteiner; Panagiota Chatzipetrou; Tony Gorschek; Rafael Prikladnicki; Nirnaya Tripathi; Leandro Bento Pompermaier,https://doi.org/10.1109/TSE.2019.2900213,top,J,no_arxiv,0
2020,IEEE Software,"Practices and Tools for Software Start-Ups.",Gislaine Camila Lapasini Leal; Rafael Prikladnicki; Christof Ebert; Renato Balancieri; Leandro Bento Pompermaier,https://doi.org/10.1109/MS.2019.2946783,null,J,no_arxiv,0
