2024,Knowledge-Based Syst.,"Generalized linear models for symbolic polygonal data.",Rafaella L. S. do Nascimento; Renata M. C. R. de Souza; Francisco José de A. Cysneiros,https://doi.org/10.1016/j.knosys.2024.111569,null,J,no_arxiv,0
2024,Neural Computing Applications,"Recommendation systems with user and item profiles based on symbolic modal data.",Delmiro D. Sampaio Neto; Telmo de Menezes e Silva Filho; Renata M. C. R. Souza,https://doi.org/10.1007/s00521-024-10411-y,null,J,no_arxiv,0
2023,Neural Computing Applications,"Classifying breast lesions in Brazilian thermographic images using convolutional neural networks.",Flávia R. S. Brasileiro; Delmiro D. Sampaio Neto; Telmo de Menezes e Silva Filho; Renata M. C. R. de Souza; Marcus C. de Araújo,https://doi.org/10.1007/s00521-023-08720-9,null,J,no_arxiv,0
2022,Expert Systems Appl.,"A three-stage approach for modeling multiple time series applied to symbolic quartile data.",Dailys Maite Aliaga Reyes; Renata M. C. R. de Souza; Adriano L. I. de Oliveira,https://doi.org/10.1016/j.eswa.2021.115884,null,J,no_arxiv,0
2022,Expert Systems Appl.,"Exploratory spatial analysis for interval data: A new autocorrelation index with COVID-19 and rent price applications.",Wanessa W. L. Freitas; Renata M. C. R. de Souza; Getúlio J. A. Amaral; Fernanda De Bastiani,https://doi.org/10.1016/j.eswa.2022.116561,null,J,no_arxiv,0
2021,Knowledge-Based Syst.,"Kohonen map-wise regression applied to interval data.",Leandro Carlos de Souza; Bruno A. Pimentel; Telmo de Menezes e Silva Filho; Renata M. C. R. de Souza,https://doi.org/10.1016/j.knosys.2021.107091,null,J,no_arxiv,0
2021,Soft Computing,"psda: A tool for extracting knowledge from symbolic data with an application in Brazilian educational data.",Wagner J. F. Silva; Renata M. C. R. Souza; Francisco José de A. Cysneiros,https://doi.org/10.1007/s00500-020-05252-5,null,J,no_arxiv,0
2024,Inf. Sciences,"Parametrized linear regression for boxplot-multivalued data applied to the Brazilian Electric Sector.",Dailys Maite Aliaga Reyes; Leandro Carlos de Souza; Renata M. C. R. de Souza; Adriano L. I. de Oliveira,https://doi.org/10.1016/j.ins.2023.119758,null,J,no_arxiv,0
2020,Inf. Sciences,"Dynamic time series smoothing for symbolic interval data applied to neuroscience.",Diego C. Nascimento; Bruno A. Pimentel; Renata Souza 0002; João P. Leite; Dylan J. Edwards; Taiza E. G. Santos; Francisco Louzada 0001,https://doi.org/10.1016/j.ins.2019.12.026,null,J,no_arxiv,0
2020,ESEM,"Teamwork Quality and Team Success in Software Development: A Non-exact Replication Study.",Any Caroliny Duarte Batista de Almeida; Renata M. C. R. de Souza; Fabio Q. B. da Silva; Leandro de Almeida Melo; George Marsicano,https://doi.org/10.1145/3382494.3410632,null,C,no_arxiv,0
2023,IEEE TPAMI,"A Clustering Algorithm for Polygonal Data Applied to Scientific Journal Profiles.",Wagner J. F. Silva; Pedro J. C. Souza; Renata M. C. R. Souza; Francisco José de A. Cysneiros,https://doi.org/10.1109/TPAMI.2023.3297022,top,J,no_arxiv,0
