2022,JSS,"Prevalence, common causes and effects of technical debt: Results from a family of surveys with the IT industry.",Robert Ramac; Vladimir Mandic; Nebojsa Tausan; Nicolli Rios; Sávio Freire; Boris Pérez; Camilo Castellanos; Darío Correal; Alexia Pacheco; Gustavo López 0001; Clemente Izurieta; Carolyn Seaman; Rodrigo O. Spínola,https://doi.org/10.1016/j.jss.2021.111114,null,J,http://arxiv.org/abs/2109.13771v1,0
2021,IST,"Technical debt payment and prevention through the lenses of software architects.",Boris Pérez; Camilo Castellanos; Darío Correal; Nicolli Rios; Sávio Freire; Rodrigo Oliveira Spínola; Carolyn Budinger Seaman; Clemente Izurieta,https://doi.org/10.1016/j.infsof.2021.106692,null,J,no_arxiv,0
2021,IEEE Software,"On the Relationship Between Technical Debt Management and Process Models.",Nicolli Rios; Sávio Freire; Boris Perez; Camilo Castellanos; Darío Correal; Manoel G. Mendonça; Davide Falessi; Clemente Izurieta; Carolyn B. Seaman; Rodrigo Oliveira Spínola,https://doi.org/10.1109/MS.2021.3058652,null,J,no_arxiv,0
2021,IEEE Software,"Pitfalls and Solutions for Technical Debt Management in Agile Software Projects.",Sávio Freire; Nicolli Rios; Boris Pérez; Camilo Castellanos; Darío Correal; Robert Ramac; Vladimir Mandic; Nebojsa Tausan; Alexia Pacheco; Gustavo López 0001; Manoel Gomes de Mendonça Neto; Clemente Izurieta; Davide Falessi; Carolyn Seaman; Rodrigo Oliveira Spínola,https://doi.org/10.1109/MS.2021.3101990,null,J,no_arxiv,0
2021,IEEE Software,"Technical and Nontechnical Prioritization Schema for Technical Debt: Voice of TD-Experienced Practitioners.",Vladimir Mandic; Nebojsa Tausan; Robert Ramac; Sávio Freire; Nicolli Rios; Boris Pérez; Camilo Castellanos; Darío Correal; Alexia Pacheco; Gustavo López 0001; Clemente Izurieta; Davide Falessi; Carolyn Seaman; Rodrigo Oliveira Spínola,https://doi.org/10.1109/MS.2021.3103121,null,J,no_arxiv,0
2020,EMSE,"The practitioners' point of view on the concept of technical debt and its causes and consequences: a design for a global family of industrial surveys and its first results from Brazil.",Nicolli Rios; Rodrigo Oliveira Spínola; Manoel G. Mendonça; Carolyn B. Seaman,https://doi.org/10.1007/s10664-020-09832-9,null,J,no_arxiv,0
2020,IST,"Identifying self-admitted technical debt through code comment analysis with a contextualized vocabulary.",Mário André de Freitas Farias; Manoel Gomes de Mendonça Neto; Marcos Kalinowski; Rodrigo Oliveira Spínola,https://doi.org/10.1016/j.infsof.2020.106270,null,J,no_arxiv,0
2019,TOSEM,"Status Quo in Requirements Engineering: A Theory and a Global Family of Surveys.",Stefan Wagner 0001; Daniel Méndez Fernández; Michael Felderer; Antonio Vetrò; Marcos Kalinowski; Roel J. Wieringa; Dietmar Pfahl; Tayana Conte; Marie-Therese Christiansson; Desmond Greer; Casper Lassenius; Tomi Männistö; Maleknaz Nayebi; Markku Oivo; Birgit Penzenstadler; Rafael Prikladnicki; Guenther Ruhe; André Schekelmann; Sagar Sen; Rodrigo O. Spínola; Ahmet Tuzcu; Jose Luis de la Vara; Dietmar Winkler 0001,https://doi.org/10.1145/3306607,top,J,http://arxiv.org/abs/1805.07951v4,0
2018,IST,"Technical debt and agile software development practices and processes: An industry practitioner survey.",Johannes Holvitie; Sherlock A. Licorish; Rodrigo O. Spínola; Sami Hyrynsalmi; Stephen G. MacDonell; Thiago Souto Mendes; Jim Buchan; Ville Leppänen,https://doi.org/10.1016/j.infsof.2017.11.015,null,J,no_arxiv,0
2018,IST,"A tertiary study on technical debt: Types, management strategies, research trends, and base information for practitioners.",Nicolli S. R. Alves; Manoel Gomes de Mendonça Neto; Rodrigo Oliveira Spínola,https://doi.org/10.1016/j.infsof.2018.05.010,null,J,no_arxiv,0
2017,EMSE,"Naming the pain in requirements engineering - Contemporary problems, causes, and effects in practice.",Daniel Méndez Fernández; Stefan Wagner 0001; Marcos Kalinowski; Michael Felderer; Priscilla Mafra; Antonio Vetrò; Tayana Conte; Marie-Therese Christiansson; Des Greer; Casper Lassenius; Tomi Männistö; M. Nayabi; Markku Oivo; Birgit Penzenstadler; Dietmar Pfahl; Rafael Prikladnicki; Günther Ruhe; André Schekelmann; Sagar Sen; Rodrigo O. Spínola; Ahmet Tuzcu; Jose Luis de la Vara; Roel J. Wieringa,https://doi.org/10.1007/s10664-016-9451-7,null,J,no_arxiv,0
