2023,Engineering Appl. of AI,"Trace encoding in process mining: A survey and benchmarking.",Gabriel M. Tavares; Rafael Seidi Oyamada; Sylvio Barbon; Paolo Ceravolo,https://doi.org/10.1016/j.engappai.2023.107028,null,J,http://arxiv.org/abs/2301.02167v1,0
2023,Expert Systems Appl.,"Induction motor short circuit diagnosis and interpretation under voltage unbalance and load variation conditions.",Avyner Lorran O. Vitor; Alessandro Goedtel; Sylvio Barbon; Gustavo Henrique Bazan; Marcelo Favoretto Castoldi; Wesley Angelino de Souza,https://doi.org/10.1016/j.eswa.2023.119998,null,J,no_arxiv,0
2022,Expert Systems Appl.,"Unsupervised online anomaly detection in Software Defined Network environments.",Gustavo F. Scaranti; Luiz Fernando Carvalho; Sylvio Barbon Junior; Jaime Lloret 0001; Mario Lemes Proença Jr.,https://doi.org/10.1016/j.eswa.2021.116225,null,J,no_arxiv,0
2022,Neurocomputing,"Adaptive ensemble of self-adjusting nearest neighbor subspaces for multi-label drifting data streams.",Gavin Alberghini; Sylvio Barbon Junior; Alberto Cano 0001,https://doi.org/10.1016/j.neucom.2022.01.075,null,J,no_arxiv,0
2020,Applied Soft Comput.,"DSTARS: A multi-target deep structure for tracking asynchronous regressor stacking.",Saulo Martiello Mastelini; Everton Jose Santana; Ricardo Cerri; Sylvio Barbon Jr.,https://doi.org/10.1016/j.asoc.2020.106215,null,J,no_arxiv,0
2024,Data Min. Knowl. Discov.,"Better trees: an empirical study on hyperparameter tuning of classification decision tree induction algorithms.",Rafael Gomes Mantovani; Tomás Horváth; André L. D. Rossi; Ricardo Cerri; Sylvio Barbon Junior; Joaquin Vanschoren; André C. P. L. F. de Carvalho,https://doi.org/10.1007/s10618-024-01002-5,null,J,http://arxiv.org/abs/1812.02207v3,0
2022,Inf. Sciences,"Using meta-learning for multi-target regression.",Gabriel Jonas Aguiar; Everton José Santana; André C. P. L. F. de Carvalho; Sylvio Barbon Junior,https://doi.org/10.1016/j.ins.2021.11.003,null,J,no_arxiv,0
2024,BPM,"CoSMo: A Framework to Instantiate Conditioned Process Simulation Models.",Rafael Seidi Oyamada; Gabriel Marques Tavares; Sylvio Barbon Junior; Paolo Ceravolo,https://doi.org/10.1007/978-3-031-70396-6_19,null,C,http://arxiv.org/abs/2303.17879v4,0
2024,CAiSE,"Enhancing Predictive Process Monitoring with Time-Related Feature Engineering.",Rafael Seidi Oyamada; Gabriel Marques Tavares; Sylvio Barbon Junior; Paolo Ceravolo,https://doi.org/10.1007/978-3-031-61057-8_5,null,C,no_arxiv,0
2023,Inf. Systems,"A meta-learning configuration framework for graph-based similarity search indexes.",Rafael Seidi Oyamada; Larissa Capobianco Shimomura; Sylvio Barbon Jr.; Daniel S. Kaster,https://doi.org/10.1016/j.is.2022.102123,null,J,no_arxiv,0
2022,Multimedia Tools Appl.,"Sport action mining: Dribbling recognition in soccer.",Sylvio Barbon Junior; Allan Pinto; João Vitor Barroso; Fabio Giuliano Caetano; Felipe Arruda Moura; Sergio Augusto Cunha; Ricardo da Silva Torres,https://doi.org/10.1007/s11042-021-11784-1,null,J,no_arxiv,0
2022,Multimedia Tools Appl.,"Deep computer vision system for cocoa classification.",Jessica Fernandes Lopes; Victor G. Turrisi da Costa; Douglas Fernandes Barbin; Luis Jam Pier Cruz-Tirado; Baeten Vincent; Sylvio Barbon Junior,https://doi.org/10.1007/s11042-022-13097-3,null,J,no_arxiv,0
2020,IEEE Trans. Net. Service  Mgmt.,"Evaluating the Four-Way Performance Trade-Off for Data Stream Classification in Edge Computing.",Jessica Fernandes Lopes; Everton Jose Santana; Victor G. Turrisi da Costa; Bruno Bogaz Zarpelão; Sylvio Barbon Junior,https://doi.org/10.1109/TNSM.2020.2983921,null,J,no_arxiv,0
2023,PR,"Meta-learning for dynamic tuning of active learning on stream classification.",Vinicius Eiji Martins; Alberto Cano 0001; Sylvio Barbon Junior,https://doi.org/10.1016/j.patcog.2023.109359,null,J,no_arxiv,0
