2017,J Comb Opt,"The k-hop connected dominating set problem: approximation and hardness.",Rafael S. Coelho; Phablo F. S. Moura; Yoshiko Wakabayashi,https://doi.org/10.1007/s10878-017-0128-y,null,J,no_arxiv,0
2016,Math Program,"The convex recoloring problem: polyhedra, facets and computational experiments.",Manoel B. Campêlo; Alexandre S. Freire; Karla Roberta Lima; Phablo F. S. Moura; Yoshiko Wakabayashi,https://doi.org/10.1007/s10107-015-0880-7,null,J,no_arxiv,4
2015,Math Program,"Packing in generalized kernel systems: a framework that generalizes packing of branchings.",Mario Leston Rey; Yoshiko Wakabayashi,https://doi.org/10.1007/s10107-014-0746-4,null,J,no_arxiv,2
2018,Discrete Applied Math.,"Decomposing highly connected graphs into paths of length five.",Fábio Botler; Guilherme Oliveira Mota; M. T. I. Oshiro; Yoshiko Wakabayashi,https://doi.org/10.1016/j.dam.2016.08.001,null,J,no_arxiv,3
2018,LATIN,"A Tight Lower Bound for an Online Hypercube Packing Problem and Bounds for Prices of Anarchy of a Related Game.",Yoshiharu Kohayakawa; Flávio Keidi Miyazawa; Yoshiko Wakabayashi,https://doi.org/10.1007/978-3-319-77404-6_51,null,C,http://arxiv.org/abs/1712.06763v1,0
2018,WG,"Covering a Graph with Nontrivial Vertex-Disjoint Paths: Existence and Optimization.",Renzo Gómez; Yoshiko Wakabayashi,https://doi.org/10.1007/978-3-030-00256-5_19,null,C,no_arxiv,0
2017,J. Comb. Theory Series B,"Decomposing highly edge-connected graphs into paths of any given length.",Fábio Botler; Guilherme Oliveira Mota; M. T. I. Oshiro; Yoshiko Wakabayashi,https://doi.org/10.1016/j.jctb.2016.07.010,null,J,no_arxiv,7
2016,Algorithmica,"Polynomial-Time Approximation Schemes for Circle and Other Packing Problems.",Flávio Keidi Miyazawa; Lehilton L. C. Pedrosa; Rafael Crivellari Saliba Schouery; Maxim Sviridenko; Yoshiko Wakabayashi,https://doi.org/10.1007/s00453-015-0052-4,null,J,no_arxiv,5
2015,Discrete Mathematics,"Decompositions of triangle-free 5-regular graphs into paths of length five.",Fábio Botler; Guilherme Oliveira Mota; Yoshiko Wakabayashi,https://doi.org/10.1016/j.disc.2015.04.018,null,J,no_arxiv,5
2014,Discrete Applied Math.,"Convex recoloring of paths.",Karla Roberta Lima; Yoshiko Wakabayashi,https://doi.org/10.1016/j.dam.2013.02.034,null,J,no_arxiv,4
2014,Theor. Comput. Sci.,"Hardness and inapproximability of convex recoloring problems.",Manoel B. Campêlo; Cristiana G. Huiban; Rudini M. Sampaio; Yoshiko Wakabayashi,https://doi.org/10.1016/j.tcs.2014.03.017,null,J,no_arxiv,2
2014,ESA,"Polynomial-Time Approximation Schemes for Circle Packing Problems.",Flávio Keidi Miyazawa; Lehilton L. C. Pedrosa; Rafael Crivellari Saliba Schouery; Maxim Sviridenko; Yoshiko Wakabayashi,https://doi.org/10.1007/978-3-662-44777-2_59,null,C,no_arxiv,3
