Aldo von Wangenhein,UFSC
Alisson Vasconcelos de Brito,UFPB
Aluizio Araujo,UFPE
Ana Cristina Vendramin,UTFPR
Andre Schneider de Oliveira,UTFPR
Anelise Munaretto,UTFPR
Claudio Toledo,ICMC/USP
Denis Fernando Wolf,ICMC/USP
Djamel Sadok,UFPE
Douglas Guimaraes Macharet,UFMG
Edison Pignaton de Freitas,UFRGS
Edson Prestes e Silva,UFRGS
Erickson Rangel do Nascimento,UFMG
Felipe Franca,COPPE/UFRJ
Gabriel de Oliveira Ramos,Unisinos
Genaina Rodrigues,UnB
Guilherme Sousa Bastos,UNIFEI
Gustavo Pessin,ITV
Hansenclever Bassani,UFPE
Jefferson Souza,UFU
Joao Alcantara,UFC
Joao Fabro,UTFPR
Joao Paulo Pordeus Gomes,UFC
Joao Paulo Silva do Monte Lima,UFRPE
Joel Luis Carbonera,UFRGS
Jorge Luis Victoria Barbosa,Unisinos
Judith Kelner,UFPE
Kalinka Castelo Branco,ICMC/USP
Kelen Vivaldini,UFSCar
Luiz Chaimowicz,UFMG
Luiz Marcos Goncalves,UFRN
Marco Aurelio Wehrmeister,UTFPR
Marcos Vieira,UFMG
Mariana Kolberg,UFRGS
Mario Antonio Ribeiro Dantas,UFJF
Mario Fernando Montenegro Campos,UFMG
Mario Sergio Alvim,UFMG
Moises Ribeiro,UFES
Paulo Drews,FURG
Paulo Roberto Ferreira Junior,UFPEL
Paulo Santos,FEI
Reinaldo Bianchi,FEI
Renan Maffei,UFRGS
Renato Assuncao,UFMG
Roberto Celio Limao de Oliveira,FCT/UFPA
Roberto Inoue,UFSCar
Rodrigo Zelir Azzolin,FURG
Roseli Francelin Romero,ICMC/USP
Silvia Costa Botelho,FURG
Thales Vieira,UFAL
Tiago Pereira do Nascimento,UFPB
Veronica Teichrieb,UFPE
Vinicius Menezes de Oliveira,FURG
