Adenilso Simao,ICMC/USP,24/261
Ana Regina Rocha,UFRJ,r/AnaReginaRocha
Andre Hora,UFMS,54/7440
Alessandro Garcia,PUC-Rio,g/AlessandroFGarcia
Alexandre Correa,UNIRIO,29/79
Arilo Dias Neto,UFAM,27/11253
Arndt von Staa,PUC-Rio,58/3312
Auri Vincenzi,UFG,05/4141
Baldoino Fonseca,UFAL,22/7095
Bruno Cafeo,UFMS,46/10082
Carlos Lucena,PUC-Rio,l/CarlosJosePereiradeLucena
Christiane von Wangenheim,UFSC,w/ChristianeGressevonWangenheim
Christina Chavez,UFBA,c/ChristinavonFlachGChavez
Claudia Werner,COPPE/UFRJ,w/CMLWerner
Claudio Sant’Anna,UFBA,64/4218
Cleidson Souza,UFPA,29/7640
Dalton Guerrero,UFCG,g/DaltonSereyGuerrero
Edson Oliveira Jr,UEM,166/2179
Eduardo Almeida,UFBA,a/EduardoSantanadeAlmeida
Eduardo Figueiredo,UFMG,03/335
Eduardo Guerra,ITA,126/5953
Elder Cirilo,UFSJ,49/1805
Elisa Yumi Nakagawa,ICMC/USP,67/5214
Ellen Barbosa,ICMC/USP,66/2060
Evandro Costa,UFAL,04/6610
Fabiano Ferrari,UFSCAR,48/5007
Fabio Q. B. da Silva,UFPE,66/5081
Fernanda Alencar,UFPE,31/5316
Fernanda Baiao,UNI-Rio,b/FAraujoBaiao
Fernando Castor,UFPE,f/FCFilho
Fernando Figueira Filho,UFRN,27/902
Flavia Santoro,UNI-Rio,33/6173
Genaina Rodrigues,UNB,34/64
Giancarlo Guizzardi,UFES,11/78
Glauco Carneiro,UNIFACS,93/3808
Gleison Santos,UNI-Rio,78/2800
Guilherme Travassos,COPPE/UFRJ,t/GuilhermeTravassos
Gustavo Pinto,UFPA,36/11116-1
Henrique Rebelo,UFPE,27/5017
Humberto Marques,PUC Minas,49/2329
Igor Steinmacher,UTFPR,70/3474
Igor Wiese,UTFPR,06/10439
Ingrid Oliveira,UFRGS,48/5352
Itana Gimenes,UEM,87/4940
Jaelson Castro,UFPE,c/JBdCastro
Joao Paulo Almeida,UFES,91/3408
Jose Carlos Maldonado,ICMC/USP,28/2292
Julio Leite,PUC-Rio,l/JCSdoPradoLeite
Kiev Gama,UFPE,46/3866
Kecia Ferreira,CEFET/MG,121/2557
Leonardo Murta,UFF,25/3645
Leopoldo Teixeira,UFPE,62/8372
Lincoln Rocha,UFC,31/6913
Marcelo d'Amorim,UFPE,16/608
Marcelo Maia,UFU,97/4668
Marcelo Fantinato,USP,83/468
Marcio Barros,UNIRIO,36/2479
Marcio Delamaro,ICMC/USP,84/3153
Marcio Ribeiro,UFAL,r/MarcioRibeiro
Marco Gerosa,IME/USP,68/5072
Marco Graciotto Silva,UTFPR,26/693
Marco Tulio Valente,UFMG,o/MarcoTuliodeOliveiraValente
Marcos Kalinowski,PUC-Rio,38/3792
Monalessa Barcellos,UFES,97/7540
Nabor Mendonca,UNIFOR,79/4708
Nelio Cacho,UFRN,39/2172
Otavio Lemos,UNIFESP,80/3784
Paulo Borba,UFPE,b/PauloBorba
Patricia Machado,UFCG,26/5792
Pedro Santos Neto,UFPI,23/3085
Rafael Prikladnicki,PUCRS,39/5605
Raphael Pereira de Oliveira,IFS,75/7435
Raul Wazlawick,UFSC,71/3416
Regina Braga,UFJF,32/9021
Ricardo Falbo,UFES,32/4078
Ricardo Terra,UFLA,23/5199
Roberta Coelho,UFRN,61/561
Rodrigo Bonifacio,UNB,21/824
Rohit Gheyi,UFCG,10/3240
Rosana Braga,ICMC/USP,07/4304
Rossana Andrade,UFC,61/6138
Sandra Fabbri,UFSCar,75/5829
Sergio Soares,UFPE,58/232
Silvia Vergilio,UFPR,99/4290
Simone Souza,ICMC/USP,35/1622
Tayana Conte,UFAM,48/5
Thais Batista,UFRN,b/TVBatista
Tiago Massoni,UFCG,91/4481
Toacy Oliveira,COPPE/UFRJ,o/ToacyCavalcantedeOliveira
Uira Kulesza,UFRN,78/6010
Valter Camargo,UFSCar,37/1266
Vander Alves,UNB,15/5448
Vera Werneck,UERJ,13/1668
Viviane Silva,UFF,72/2728
