Andre Hora
Alessandro Garcia
Baldoino Fonseca
Bruno Cafeo
Carlos Lucena
Eduardo Almeida
Eduardo Figueiredo
Elder Cirilo
Elisa Yumi Nakagawa
Evandro Costa
Fabio Q. B. da Silva
Fernando Castor
Fernando Figueira Filho
Giancarlo Guizzardi
Guilherme Travassos
Gustavo Pinto
Humberto Marques Neto
Igor Steinmacher
Igor Wiese
Ingrid Oliveira de Nunes
Jose Carlos Maldonado
Julio Leite
Kecia Ferreira
Leonardo Murta
Leopoldo Teixeira
Marcelo d'Amorim
Marcelo de Almeida Maia
Marcio Delamaro
Marcio Ribeiro
Marco Gerosa
Marco Tulio Valente
Nelio Cacho
Otavio Lemos
Paulo Borba
Ricardo Terra
Roberta Coelho
Rodrigo Bonifacio de Almeida
Rohit Gheyi
Sergio Soares
Tayana Conte
Thais Batista
Uira Kulesza
Vander Alves
