UFPE,47.85
PUC-Rio,26.27
UFMG,23.6
UTFPR,20.89
UnB,15.24
UFPA,14.73
UFBA,13.11
UFAL,13.03
UFCG,11.31
UFC,11.09
UFPR,9.72
UFAM,9.26
UFSCar,8.99
PUC-RS,8.85
ICMC/USP,8.0
UFF,7.86
UNIRIO,7.46
IME/USP,6.52
COPPE/UFRJ,5.6
UFRN,5.37
UEM,5.26
UFU,5.19
UFRGS,4.66
UFMS,4.6
IFAL,4.53
UFLA,3.73
DCC/UFRJ,3.13
UNICAMP,3.06
IFCE,2.85
UFES,2.4
EACH/USP,2.26
IFPE,2.19
Unisinos,1.93
UFPI,1.79
CEFET-MG,1.6
IFMG,1.53
UNIFOR,1.39
UNESP,1.13
IFS,0.8
UFAPE,0.8
UFMA,0.8
UFPEL,0.8
UNIFESP,0.8
FGV,0.73
CEFET-RJ,0.4
IFMS,0.4
ITA,0.4
Inatel,0.4
PUCPR,0.4
UFCA,0.4
UFJF,0.4
UFS,0.4
UFSC,0.4
UFV,0.4
UNIFACS,0.4
UNIFEI,0.4
UPE,0.4
IMD/UFRN,0.33
UERJ,0.33
