CCS,CCS,1
IEEE Symposium on Security and Privacy,IEEE S&P,1
USENIX Security Symposium,USENIX Sec,1
NDSS,NDSS,1
CRYPTO,CRYPTO,1
EUROCRYPT,EUROCRYPT,1
CHES,CHES,3
ASIACRYPT (1),ASIACRYPT,3
ASIACRYPT (2),ASIACRYPT,3
ASIACRYPT (3),ASIACRYPT,3
CSF,CSF,3
ACSAC,ACSAC,3
AsiaCCS,AsiaCCS,3
Public Key Cryptography (1),PKC,3
Public Key Cryptography (2),PKC,3
TCC (1),TCC,3
TCC (2),TCC,3
IEEE Trans. Inf. Forensics Secur.,IEEE Trans. Inf. Forensics Sec.,5
Comput. Secur.,Computers & Security,5
IEEE Trans. Dependable Secur. Comput.,IEEE Trans. Dependable Sec. Comput.,4
IEEE Secur. Priv.,IEEE Security & Privacy,6
J. Cryptol.,J. Cryptology,5
ACM Trans. Priv. Secur.,ACM Trans. Privacy & Security,4
