Alceu Souza Britto,PUCPR
Aldri dos Santos,UFMG
Altair Olivo Santin,PUCPR
Anderson Rocha,UNICAMP
Andre Gregio,UFPR
Antonio Augusto Medeiros Frohlich,UFSC
Celio Vinicius Neves de Albuquerque,UFF
Claudomiro Sales,UFPA
Cleber Zanchettin,UFPE
Daniel Menasche,DCC/UFRJ
David Menotti,UFPR
Diego Gimenez Passos,UFF
Eduardo Viegas,PUCPR
Elaine Ribeiro de Faria,UFU
Fernanda Madeiral,UFPE
Gustavo Batista,ICMC/USP
Heitor Ramos,UFMG
Hilder Vitor Lima Pereira,UNICAMP
Joel Rodrigues,Inatel
Lasaro Camargos,UFU
Leonardo Barbosa Oliveira,UFMG
Lisandro Zambenedetti Granville,UFRGS
Luiz Eduardo Soares Oliveira,UFPR
Marcelo d'Amorim,UFPE
Marco Antonio Zanata Alves,UFPR
Marcos Simplicio Jr,POLI/USP
Mario Sergio Alvim,UFMG
Mauro Fonseca,UTFPR
Paolo Rech,UFRGS
Paulo Licio de Geus,UNICAMP
Paulo Maciel,UFPE
Philippe Navaux,UFRGS
Rafael de Sousa Junior,UnB
Ricardo Massa Ferreira Lima,UFPE
Rivalino Matias,UFU
Rodrigo Sanches Miani,UFU
Ronaldo Ferreira,UFMS
Zanoni Dias,UNICAMP
