CCS,ACM SIGSAC,836,151,18.0,71,top,
IEEE S&P,IEEE,463,60,12.9,68,top,
USENIX Security,USENIX,572,85,14.8,61,top,
NDSS,Internet Society,422,68,16.1,56,top,
CRYPTO,IACR,,,,53,top,
EUROCRYPT,IACR,,,,53,top,
ASIACRYPT,IACR,243,67,27.6,36,,
Theory of Cryptography (TCC),IACR,,,,34,,
CHES,IACR,130,33,25.4,32,,
AsiaCCS,ACM SIGSAC,,,,31,,
Public-Key Cryptography (PKC),IACR,,,,30,,
ACSAC,ACM,244,48,19.7,29,,
Fast Soft Encryption (FSE) (2016),IACR,91,29,31.9,28,,
Computer Security Foundations (CSF),IEEE CS,94,32,34.0,23,,
Selected Areas in Cryptography (SACrypyt),"-",63,23,36.5,23,,
